[&R] (((((216_6:0,216_7:0)200_4:1.009,(216_4:1.008,216_5:0.008)206_4:0.001)157_2:1.717,(216_1:0,216_2:0)204_1:3.726)90_1:1.492,(((216_12:0,216_13:0)191_7:1.247,(216_14:0.077,216_15:1.077)193_9:1.17)142_4:2.036,((216_10:1.236,216_11:1.236)194_6:0.929,(216_8:1.046,216_9:0.046)195_5:1.119)150_3:1.118)91_3:0.935)33_1:3.782)I0;
I0,0,0,0,0,0,0,0,0,0,0
33_1,0:0.05/2:0.95,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0,0,0,0:0.05/2:0.95,0
91_3,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.23/2:0.77,0,0:0.01/2:0.99,0
150_3,2,0:0.13/1:0.87,1,1,0,0,0:0.03/2:0.97,0,2,0
195_5,2,0:0.01/1:0.99,1,1,0,0:0.04/2:0.96,2,0,2,0
216_9,2,1,1,1,0,2,2,0,2,0
216_8,2,1,1,1,1,2,2,0,2,0
194_6,2,0:0.03/1:0.97,1,1,0:0.2/2:0.8,0,0:0.01/2:0.99,0,2,0
216_11,2,1,1,1,2,2,2,0,2,0
216_10,2,1,1,1,2,0,2,2,2,0
142_4,2,0:0.11/2:0.89,1,1,0,0:0.11/1:0.89,0:0.03/2:0.97,0,2,0
193_9,2,0:0.01/2:0.99,1,1,0:0.06/1:0.94,0:0.01/1:0.99,2,0,2,0
216_15,2,2,1,1,1,1,2,0,2,1
216_14,2,2,1,1,1,1,2,0,2,0
191_7,2,2,1,1,0,1,2,2,2,0
216_13,2,2,1,1,0,1,2,2,2,0
216_12,2,2,1,1,0,1,2,2,2,0
90_1,0:0.02/2:0.98,0:0.33/1:0.67,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0:0.02/2:0.98,0:0.33/1:0.67
204_1,2,1,1,1,1,0,1,2,2,1
216_2,2,1,1,1,1,0,1,2,2,1
216_1,2,1,1,1,1,0,1,2,2,1
157_2,2,1,1,1,0,0,0:0.01/2:0.99,0,2,1
206_4,2,1,1,1,0,0,2,0,2,1
216_5,2,1,1,1,0,0,2,0,2,1
216_4,2,1,1,1,1,0,2,0,2,1
200_4,2,1,1,1,0,2,2,0,2,1
216_7,2,1,1,1,0,2,2,0,2,1
216_6,2,1,1,1,0,2,2,0,2,1
