[&R] (((((216_6:6.249,216_7:5.249)200_4:10.924,(216_4:0.034,216_5:4.034)206_4:16.139)157_2:31.984,(216_1:2.076,216_2:4.076)204_1:47.081)90_1:43.154,(((216_12:0.056,216_13:5.056)191_7:13.285,(216_14:2.057,216_15:3.057)193_9:14.284)142_4:28.924,((216_10:5.145,216_11:3.145)194_6:13.93,(216_8:7.175,216_9:2.175)195_5:10.9)150_3:27.19)91_3:52.046)33_1:47.689)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33_1,0:0.16/2:0.84,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/1:0.84,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0:0.16/1:0.84,0,0,0,0:0.16/2:0.84,0,0,0,0,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0,0,0:0.16/2:0.84,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0:0.16/1:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0:0.16/1:0.84,0,0,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0,0,0,0,0:0.16/1:0.84,0,0,0:0.16/1:0.84,0,0,0,0:0.16/1:0.84,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0,0:0.16/1:0.84,0,0,0,0,0,0,0,0,0,0,0,0:0.16/2:0.84,0,0,0:0.16/1:0.84,0
91_3,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.08/1:0.92,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/2:0.92,0,0,0,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0:0.01/2:0.99,0,0,0:0.08/2:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/2:0.92,0,0,0,0,0,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0,0,0,0:0.01/1:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.08/1:0.92,0,0,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0,0,0,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/1:0.99,0,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0,0,0,0,0,0,0,0,0,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.01/1:0.99,0:0.08/1:0.92
150_3,2,0,2,1,0,1,2,0,0,2,2,0,2,0:0.04/1:0.96,0,0,2,1,0,0,0,2,2,1,2,0:0.04/1:0.96,0,0,2,0,0,1,0,0,2,0:0.04/1:0.96,1,1,2,1,2,0,1,2,1,0,1,0,0,2,2,0:0.04/1:0.96,0:0.04/2:0.96,2,1,1,2,0:0.04/1:0.96,2,2,0:0.04/2:0.96,0,0:0.04/1:0.96,1,1,2,0,0,0,0:0.04/2:0.96,0,1,2,2,2,0,0:0.04/2:0.96,0:0.04/2:0.96,1,1,1,0,0,1,0:0.04/1:0.96,0,0,0,1,1,2,1,0:0.04/1:0.96,1,0,0,2,1,0:0.04/2:0.96,1,1,1,0,0,0,0,1,1,0,0,0:0.04/1:0.96,0:0.04/1:0.96,1,0,1,2,0:0.04/2:0.96,0:0.04/2:0.96,0,2,0,2,0,0,2,1,1,0,1,2,1,1,0:0.04/1:0.96,2,2,2,2,2,0:0.04/1:0.96,2,0,2,0:0.04/1:0.96,2,0:0.04/2:0.96,0:0.04/2:0.96,0,2,2,2,0,0,1,2,0,2,2,1,0,2,0,2,0,1,1,2,0,0,0,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,0:0.04/1:0.96,0,0,0,0,0,0,1,2,1,0,1,1
195_5,2,0,2,1,0,1,2,0,0:0.02/1:0.98,2,2,0,2,1,0:0.02/2:0.98,0,2,1,0,0,0:0.02/1:0.98,2,2,1,2,1,0:0.02/2:0.98,0,2,0,0,1,0,0,2,1,1,1,2,1,2,0,1,2,1,0,1,0:0.02/2:0.98,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,1,1,1,0,0,1,1,0,0,0,1,1,2,1,1,1,0,0,2,1,2,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,2,2,0,2,0:0.02/1:0.98,2,0,0,2,1,1,0,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,0:0.02/1:0.98,2,2,2,0,0,1,2,0,2,2,1,0,2,0,2,0,1,1,2,0,0,0:0.02/2:0.98,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,1,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0,0,1,2,1,0,1,1
216_9,2,0,2,1,2,1,2,0,1,2,2,0,2,1,2,0,2,1,0,0,1,2,2,1,2,1,2,0,2,0,0,1,0,0,2,1,1,1,2,1,2,0,1,2,1,0,1,2,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,1,1,1,0,0,1,1,0,0,0,1,1,2,1,1,1,0,0,2,1,2,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,2,2,2,0,2,1,2,0,0,2,1,1,0,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,1,2,2,2,0,0,1,2,0,2,2,1,0,2,0,2,0,1,1,2,0,0,2,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,1,2,1,0,0,0,0,1,2,1,0,1,1
216_8,2,0,2,1,0,1,2,0,1,2,2,0,2,1,2,0,2,1,0,0,1,2,2,1,2,1,2,2,2,0,0,1,0,0,2,1,1,1,2,1,2,0,1,2,1,0,1,2,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,1,1,1,0,0,1,1,0,0,0,1,1,2,1,1,1,0,0,2,1,2,1,1,1,0,2,2,0,1,1,0,0,1,1,1,0,1,2,2,2,0,2,1,2,0,0,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,1,2,2,2,0,0,1,2,0,2,2,1,0,2,0,2,0,1,1,2,0,0,2,2,1,0,0,1,2,1,0,1,1,1,1,0,2,1,2,0,0,1,2,1,0,0,0,0,1,2,1,0,1,1
194_6,2,0,2,1,0,1,2,0,0,2,2,0,2,1,0,0,2,1,0,0:0.01/1:0.99,0,2,2,1,2,1,0,0:0.01/2:0.99,2,0,0,1,0,0,2,1,1,1,2,1,2,0,1,2,1,0,1,0,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,1,1,1,0:0.01/2:0.99,0:0.01/1:0.99,1,1,0,0,0,1,1,2,1,1,1,0,0:0.01/2:0.99,2,1,2,1,1,1,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,1,1,0,0,1,1,1,0,1,2,2,2,0,2,0,2,0,0,2,1,1,0,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,0,2,2,2,0,0,1,2,0:0.01/1:0.99,2,2,1,0,2,0:0.01/2:0.99,2,0,1,1,2,0:0.01/2:0.99,0:0.01/2:0.99,0,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,1,0,0:0.01/2:0.99,0,0,0,0,1,2,1,0,1,1
216_11,2,0,2,1,0,1,2,0,0,2,2,0,2,1,0,0,2,1,0,1,0,2,2,1,2,1,0,2,2,0,0,1,0,0,2,1,1,1,2,1,2,0,1,2,1,0,1,0,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,1,1,2,2,2,0,2,2,1,1,1,2,1,1,1,0,0,0,1,1,2,1,1,1,0,2,2,1,2,1,1,1,0,2,1,2,1,1,0,0,1,1,1,0,1,2,2,2,0,2,0,2,0,0,2,1,1,0,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,0,2,2,2,0,0,1,2,1,2,2,1,0,2,2,2,0,1,1,2,2,2,1,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,1,0,1,0,2,0,0,0,0,1,2,1,0,1,1
216_10,2,0,2,1,0,1,2,0,0,2,2,0,2,1,2,0,2,1,0,1,0,2,2,1,2,1,0,2,2,0,0,1,2,0,2,1,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,1,2,2,1,1,2,1,2,2,2,0,1,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,1,1,1,2,1,1,1,0,0,0,1,1,2,1,1,1,0,2,2,1,2,1,1,1,0,2,1,2,1,1,0,0,1,1,1,0,1,2,2,2,0,2,2,2,0,0,2,1,1,0,1,2,1,1,1,2,2,2,2,2,1,2,0,2,1,2,2,2,0,2,2,2,0,0,1,2,1,2,2,1,0,2,2,2,0,1,1,2,2,2,2,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0,0,1,0,2,0,0,0,0,1,2,1,0,1,1
142_4,2,0:0.04/2:0.96,2,1,0,1,2,0,0:0.04/2:0.96,2,2,0,2,0,0:0.04/2:0.96,0,2,1,0,0:0.04/1:0.96,0,2,2,1,2,0,0,0,2,0:0.04/2:0.96,0,1,0:0.04/2:0.96,0,2,0:0.04/2:0.96,1,1,2,1,2,0:0.04/2:0.96,1,2,1,0,1,0,0,2,2,0,0,2,1,1,2,0,2,2,0,0,0,1,1,2,0,0:0.04/1:0.96,0,0:0.04/1:0.96,0,1,2,2,2,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,1,1,1,0,0,1,0,0,0,0:0.04/2:0.96,1,1,2,1,0,1,0,0,2,1,0,1,1,1,0,0:0.04/2:0.96,0,0,1,1,0:0.04/2:0.96,0,0:0.04/2:0.96,0,1,0,1,2,0,0,0,2,0,2,0,0,2,1,1,0,1,2,1,1,0,2,2,2,2,2,0,2,0,2,0,2,0:0.04/1:0.96,0,0:0.04/2:0.96,2,2,2,0,0:0.04/2:0.96,1,2,0:0.04/2:0.96,2,2,1,0,2,0,2,0,1,1,2,0,0:0.04/1:0.96,0,2,1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0:0.04/2:0.96,0,0,0:0.04/2:0.96,0,0,0:0.04/2:0.96,0:0.04/1:0.96,0,1,2,1,0,1,1
193_9,2,2,2,1,0,1,2,0,2,2,2,1,2,1,2,0,2,1,0,1,0,2,2,1,2,0,0,0,2,2,0,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,2,2,1,1,2,0,2,2,0,2,0,1,1,2,1,1,2,1,0,1,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,2,1,0,1,0,0,2,1,0,1,1,1,0,2,1,0,1,1,2,0,2,0,1,2,1,2,2,0,2,2,0,2,0,0,2,1,1,0,1,2,1,1,2,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,0,2,1,2,2,2,2,1,0,2,0,2,0,1,1,2,0,1,0,2,1,0,2,1,2,1,0,1,0,1,1,0,0,1,2,2,0,0,2,0,0,2,1,0,1,2,1,0,1,1
216_15,2,2,2,1,0,1,2,0,2,2,2,1,2,1,2,0,2,1,0,1,0,2,2,1,2,0,0,0,2,2,0,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,2,2,1,1,2,0,2,2,0,2,0,1,1,2,1,1,2,1,0,1,2,2,2,1,1,1,1,1,1,2,0,1,0,0,0,2,1,1,2,1,0,1,0,0,2,1,0,1,1,1,0,2,1,0,1,1,2,0,2,0,1,2,1,2,2,0,2,2,0,2,0,0,2,1,1,0,1,2,1,1,2,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,0,2,1,2,2,2,2,1,0,2,0,2,0,1,1,2,0,1,0,2,1,2,2,1,2,1,0,1,0,1,1,0,0,1,2,2,2,0,2,0,0,2,1,0,1,2,1,0,1,1
216_14,2,2,2,1,0,1,2,0,2,2,2,1,2,1,2,0,2,1,0,1,0,2,2,1,2,0,1,0,2,2,0,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,2,2,1,1,2,0,2,2,0,2,0,1,1,2,1,1,2,1,0,1,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,2,1,0,1,0,0,2,1,0,1,1,1,0,2,1,0,1,1,2,0,2,0,1,2,1,2,2,0,2,2,0,2,0,0,2,1,1,1,1,2,1,1,2,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,0,2,1,2,2,2,2,1,0,2,0,2,0,1,1,2,0,1,0,2,1,0,2,1,2,1,0,1,0,1,1,0,0,1,2,2,0,0,2,0,0,2,1,0,1,2,1,0,1,1
191_7,2,2,2,1,0,1,2,0,2,2,2,0,2,0,2,0,2,1,2,1,0,2,2,1,2,0,0,0,2,2,0,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,0,2,1,1,2,0,2,2,0,0,2,1,1,2,0,1,0,1,0,1,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,2,1,2,1,1,2,2,1,0,1,1,1,2,2,0,0,1,1,2,0,2,0,1,0,1,2,1,0,0,2,0,2,0,0,2,1,1,0,1,2,1,1,0,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,2,2,1,2,2,2,2,1,0,2,0,2,2,1,1,2,0,1,0,2,1,0,0,1,0,1,0,1,0,1,1,0,1,1,2,2,1,0,2,2,0,2,1,0,1,2,1,0,1,1
216_13,2,2,2,1,0,1,2,0,2,2,2,2,2,0,2,0,2,1,2,1,0,2,2,1,2,0,0,0,2,2,2,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,0,2,1,1,2,0,2,2,0,0,2,1,1,2,0,1,0,1,0,1,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,2,1,2,1,1,2,2,1,0,1,1,1,2,2,0,0,1,1,2,0,2,0,1,0,1,2,1,0,0,2,0,2,0,0,2,1,1,0,1,2,1,1,0,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,0,2,2,1,1,2,2,1,0,2,1,0,0,1,2,1,0,1,0,1,1,0,1,1,2,2,1,0,2,2,0,2,1,0,1,2,1,0,1,1
216_12,2,2,2,1,0,1,2,0,2,2,2,0,2,0,2,0,2,1,2,1,0,2,2,1,2,0,0,0,2,2,0,1,2,0,2,2,1,1,2,1,2,2,1,2,1,0,1,0,0,2,2,0,0,2,1,1,2,0,2,2,0,0,2,1,1,2,0,1,0,1,0,1,2,2,2,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,2,1,2,1,1,2,2,1,0,1,1,1,2,2,0,0,1,1,2,0,2,0,1,0,1,2,1,0,0,2,0,2,0,0,2,1,1,0,1,2,1,1,0,2,2,2,2,2,0,2,0,2,0,2,1,0,2,2,2,2,2,2,1,2,2,2,2,1,0,2,0,2,2,1,1,2,0,1,0,2,1,0,0,1,0,1,0,1,0,1,1,0,1,1,2,2,1,0,2,2,0,2,1,0,1,2,1,0,1,1
