[&R] (((((216_6:8.287,216_7:3.287)200_4:18.336,(216_4:2.059,216_5:3.059)206_4:21.563)157_2:40.312,(216_1:3.172,216_2:6.172)204_1:53.762)90_1:33.864,(((216_12:11.523,216_13:4.523)191_7:13.312,(216_14:3.156,216_15:5.156)193_9:19.679)142_4:34.603,((216_10:4.076,216_11:2.076)194_6:16.837,(216_8:3.077,216_9:3.077)195_5:17.836)150_3:30.525)91_3:41.36)33_1:49.202)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33_1,0:0.12/2:0.88,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0,0,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0,0,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/1:0.88,0,0,0,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0,0,0,0,0:0.12/2:0.88,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0:0.12/1:0.88,0,0,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0,0,0,0,0,0,0,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0,0,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/1:0.88,0,0,0
91_3,0:0.01/2:0.99,0:0.12/2:0.88,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0:0.12/2:0.88,0,0,0,0:0.01/2:0.99,0:0.12/2:0.88,0,0,0,0,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0,0:0.12/1:0.88,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.12/2:0.88,0,0,0,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0:0.01/1:0.99,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0,0,0,0:0.01/2:0.99,0,0,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.12/2:0.88,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.12/2:0.88,0,0:0.01/2:0.99,0:0.12/1:0.88,0:0.01/1:0.99,0:0.12/1:0.88,0,0:0.01/1:0.99,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/2:0.99,0:0.12/2:0.88,0,0:0.01/1:0.99,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/2:0.99,0,0:0.12/1:0.88,0:0.01/2:0.99,0,0,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.12/1:0.88,0:0.01/2:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.12/2:0.88,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.12/1:0.88,0,0,0,0:0.01/1:0.99,0,0:0.12/1:0.88,0
150_3,2,0:0.01/2:0.99,2,2,0:0.06/1:0.94,0,0,0,0,0:0.01/2:0.99,0,0,0,2,0:0.01/2:0.99,0,0,0:0.06/2:0.94,0:0.06/2:0.94,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.06/1:0.94,0,0:0.06/1:0.94,1,1,0,0:0.06/2:0.94,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.06/1:0.94,1,1,0:0.01/2:0.99,1,0:0.06/2:0.94,0:0.01/1:0.99,1,0,1,2,1,0,0:0.06/1:0.94,0:0.01/2:0.99,0:0.06/1:0.94,0,0,1,0:0.01/1:0.99,2,1,1,2,0,0:0.06/1:0.94,0:0.01/2:0.99,0,0:0.06/1:0.94,0:0.01/2:0.99,1,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.06/1:0.94,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0:0.06/1:0.94,2,0,0,0,0,0,2,0,0,0:0.01/1:0.99,2,2,0,2,1,0:0.01/2:0.99,1,0,0,1,0:0.06/2:0.94,0,0:0.06/1:0.94,0,1,0,0,0:0.06/2:0.94,0,1,0:0.01/1:0.99,2,2,0,0,1,0,0,0:0.01/2:0.99,0,1,0:0.06/1:0.94,0,2,0,0:0.01/2:0.99,0:0.06/1:0.94,2,0:0.01/1:0.99,1,0:0.01/1:0.99,0,1,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,2,2,0:0.01/2:0.99,0,1,0:0.01/2:0.99,0:0.06/2:0.94,0:0.01/1:0.99,2,1,0,2,0,0,1,0:0.01/1:0.99,2,0,0:0.01/1:0.99,2,0,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,1,2,0:0.06/1:0.94,0:0.01/1:0.99,2,0:0.06/2:0.94,0,0:0.06/2:0.94,0:0.06/1:0.94,0,2,1,0,1,0,0:0.06/2:0.94,0:0.01/2:0.99,2,0,2,0,0:0.06/2:0.94,0:0.01/1:0.99,0,0,0:0.06/2:0.94,1,0,0:0.01/1:0.99,0
195_5,2,2,2,2,1,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,1,0,2,1,0,1,0,1,1,1,1,2,2,0,0,2,1,1,1,2,1,2,1,1,0,1,2,1,1,1,2,1,0,1,1,1,2,1,1,2,0,1,2,0,1,2,1,1,1,1,1,0,1,2,1,1,2,0,1,2,0,0,2,0,0,2,0,0,1,2,2,0,2,1,2,1,0,0,1,2,0,1,0,1,0,0,2,0,1,1,2,2,0,0,1,0,0,2,0,1,1,0,2,0,2,1,2,1,1,1,0,1,0,0,0,2,2,1,0,0,1,2,2,2,0,1,2,2,1,2,1,0,2,0,0,1,1,2,0,1,2,0,1,0,0,1,1,1,1,0,1,2,1,1,2,2,0,2,1,0,2,1,0,1,2,2,2,2,0,2,0,2,1,0,0,2,1,2,1,1
216_9,2,2,2,2,1,2,1,0,0,2,0,0,0,2,2,2,2,2,2,0,1,0,2,1,0,1,0,1,1,1,1,2,2,0,2,2,1,1,1,2,1,2,1,1,0,1,2,1,1,1,2,1,0,1,1,1,2,1,1,2,0,1,2,0,1,2,1,1,1,1,1,0,1,2,1,1,2,0,1,2,0,0,2,0,0,2,0,0,1,2,2,0,2,1,2,1,0,0,1,2,0,1,0,1,0,0,2,0,1,1,2,2,0,0,1,0,0,2,0,1,1,0,2,0,2,1,2,1,1,1,0,1,0,0,0,2,2,1,0,0,1,2,2,2,0,1,2,2,1,2,1,0,2,0,0,1,1,2,2,1,2,0,1,0,0,1,1,1,1,0,1,2,1,1,2,2,0,2,1,0,2,1,0,1,2,2,2,2,0,2,0,2,1,0,0,2,1,2,1,1
216_8,2,2,2,2,1,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,1,0,2,1,0,1,0,1,1,1,1,2,2,0,0,2,1,1,1,2,1,2,1,1,0,1,2,1,1,1,2,1,0,1,1,1,2,1,1,2,0,1,2,2,1,2,1,1,1,1,1,0,1,2,1,1,2,0,1,2,0,0,2,0,0,2,0,0,1,2,2,0,2,1,2,1,0,0,1,2,0,1,0,1,0,0,2,0,1,1,2,2,0,0,1,0,0,2,0,1,1,0,2,0,2,1,2,1,1,1,1,1,0,0,0,2,2,1,0,2,1,2,2,2,0,1,2,2,1,2,1,0,2,0,0,1,1,2,0,1,2,0,1,0,0,1,1,1,1,0,1,2,1,1,2,2,0,2,1,0,2,1,0,1,2,2,2,2,0,2,0,2,1,0,0,2,1,2,1,1
194_6,2,2,2,2,1,1,2,2,0,2,0,0,1,2,2,0,0,2,2,1,1,0,0,1,0,1,0,1,1,1,0,2,2,0,0,2,1,1,1,2,1,2,1,1,0,1,2,1,0,1,2,1,0,0,1,1,2,1,1,2,0,1,2,0,1,2,1,0,1,0,1,0,1,2,1,1,2,0,1,2,0,0,0,0,0,2,0,0,1,2,2,0,2,1,2,1,0,1,1,2,0,1,0,1,1,0,2,0,1,1,2,2,1,0,1,0,1,2,0,1,1,0,2,0,2,1,2,1,1,1,0,1,2,1,0,2,0,1,2,0,1,2,2,2,0,1,2,2,1,2,1,0,2,0,2,1,1,2,0,1,2,0,0,0,0,0,1,1,1,0,1,2,1,1,2,2,0,2,1,0,2,1,2,1,0,2,2,2,0,2,0,2,1,0,0,2,1,0,1,2
216_11,2,2,2,2,1,1,2,2,0,2,0,0,1,2,2,0,0,2,2,1,1,0,0,1,0,1,0,1,1,1,0,2,2,0,2,2,1,1,1,2,1,2,1,1,0,1,2,1,0,1,2,1,0,0,1,1,2,1,1,2,0,1,2,0,1,2,1,0,1,0,1,0,1,2,1,1,2,0,1,2,0,0,0,0,0,2,0,0,1,2,2,0,2,1,2,1,0,1,1,2,0,1,0,1,1,0,2,0,1,1,2,2,1,0,1,0,1,2,0,1,1,0,2,0,2,1,2,1,1,1,0,1,2,1,0,2,2,1,2,0,1,2,2,2,0,1,2,2,1,2,1,0,2,0,2,1,1,2,0,1,2,0,0,0,0,0,1,1,1,0,1,2,1,1,2,2,0,2,1,0,2,1,2,1,0,2,2,2,0,2,0,2,1,0,0,2,1,0,1,2
216_10,2,2,2,2,1,1,2,2,0,2,0,0,1,2,2,0,0,2,2,1,1,0,0,1,0,1,0,1,1,1,2,2,2,0,0,2,1,1,1,2,1,2,1,1,0,1,2,1,0,1,2,1,0,0,1,1,2,1,1,2,0,1,2,0,1,2,1,0,1,0,1,2,1,2,1,1,2,0,1,2,0,0,0,0,0,2,0,0,1,2,2,0,2,1,2,1,0,1,1,2,0,1,0,1,1,0,2,0,1,1,2,2,1,0,1,0,1,2,0,1,1,0,2,0,2,1,2,1,1,1,0,1,2,1,0,2,0,1,2,0,1,2,2,2,0,1,2,2,1,2,1,2,2,0,2,1,1,2,0,1,2,0,0,0,0,0,1,1,1,0,1,2,1,1,2,2,1,2,1,0,2,1,2,1,0,2,2,2,0,2,0,2,1,0,0,2,1,0,1,2
142_4,2,0:0.01/2:0.99,2,2,0,0,0,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0,0:0.05/1:0.95,2,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0,0:0.05/2:0.95,0:0.01/1:0.99,0,0:0.05/2:0.95,0:0.01/1:0.99,0,0:0.05/2:0.95,0,0,1,1,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,1,1,0:0.01/2:0.99,1,0:0.05/1:0.95,0:0.01/1:0.99,1,0,1,2,1,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0,0:0.05/2:0.95,1,0:0.01/1:0.99,2,1,1,2,0,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.05/2:0.95,0:0.01/2:0.99,1,0:0.05/2:0.95,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0,2,0,0,0:0.05/1:0.95,0,0,2,0,0,0:0.01/1:0.99,2,2,0,2,1,0:0.01/2:0.99,1,0:0.05/2:0.95,0,1,0:0.05/1:0.95,0:0.05/2:0.95,0:0.05/2:0.95,0,1,0:0.05/1:0.95,0:0.05/1:0.95,0,0,1,0:0.01/1:0.99,2,2,0,0:0.05/2:0.95,1,0:0.05/1:0.95,0:0.05/1:0.95,0:0.01/2:0.99,0:0.05/2:0.95,1,0,0:0.05/1:0.95,2,0,0:0.01/2:0.99,0,2,0:0.01/1:0.99,1,0:0.01/1:0.99,0:0.05/2:0.95,1,0,0,0:0.05/1:0.95,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0:0.05/1:0.95,0:0.01/1:0.99,2,2,0:0.01/2:0.99,0,1,0:0.01/2:0.99,0,0:0.01/1:0.99,2,1,0,2,0,0:0.05/1:0.95,1,0:0.01/1:0.99,2,0,0:0.01/1:0.99,2,0,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,1,2,0,0:0.01/1:0.99,2,0,0,0,0,0,2,1,0,1,0,0,0:0.01/2:0.99,2,0,2,0,0,0:0.01/1:0.99,0,0,0,1,0,0:0.01/1:0.99,0
