[&R] (((((216_7:0.042,216_8:1.042)202_5:0.979,(216_5:0.112,216_6:1.112)208_4:2.909)167_3:0.001,((216_9:0,216_10:0)202_6:0,(216_11:0,216_12:0)202_7:0)167_4:1.022)119_3:0.004,(216_3:0.079,216_4:1.079)193_2:1.948)70_2:5.974)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,1,0,0,2,1,2,0,0,2,1
193_2,1,0,0:0.04/1:0.96,2,1,2,0,0:0.04/1:0.96,2,1
216_4,1,1,1,2,1,2,0,1,2,1
216_3,1,0,1,2,1,2,0,1,2,1
119_3,1,0,0,2,1,2,0,0,2,1
167_4,1,0,0,2,1,2,2,0,2,1
202_7,1,0,0,2,1,2,2,0,2,1
216_12,1,0,0,2,1,2,2,0,2,1
216_11,1,0,0,2,1,2,2,0,2,1
202_6,1,0,0,2,1,2,2,0,2,1
216_10,1,0,0,2,1,2,2,0,2,1
216_9,1,0,0,2,1,2,2,0,2,1
167_3,1,0,0,2,1,2,0,0,2,1
208_4,1,0:0.04/1:0.96,0,2,1,2,0:0.04/2:0.96,0:0.04/2:0.96,2,1
216_6,1,1,1,2,1,2,2,2,2,1
216_5,1,1,0,2,1,2,2,2,2,1
202_5,1,0,0,2,1,2,0:0.04/1:0.96,0,2,1
216_8,1,1,0,2,1,2,1,0,2,1
216_7,1,0,0,2,1,2,1,0,2,1
