[&R] (((((216_7:0,216_8:0)202_5:0,(216_5:0,216_6:0)208_4:0)167_3:0,((216_9:0,216_10:0)202_6:0,(216_11:0,216_12:0)202_7:0)167_4:0)119_3:3.422,(216_3:0,216_4:0)193_2:0.422)70_2:5.578)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0
193_2,2,2,1,1,2,0,0,0,2,0
216_4,2,2,1,1,2,0,0,0,2,0
216_3,2,2,1,1,2,0,0,0,2,0
119_3,2,2,1,1,2,0,2,1,2,1
167_4,2,2,1,1,2,0,2,1,2,1
202_7,2,2,1,1,2,0,2,1,2,1
216_12,2,2,1,1,2,0,2,1,2,1
216_11,2,2,1,1,2,0,2,1,2,1
202_6,2,2,1,1,2,0,2,1,2,1
216_10,2,2,1,1,2,0,2,1,2,1
216_9,2,2,1,1,2,0,2,1,2,1
167_3,2,2,1,1,2,0,2,1,2,1
208_4,2,2,1,1,2,0,2,1,2,1
216_6,2,2,1,1,2,0,2,1,2,1
216_5,2,2,1,1,2,0,2,1,2,1
202_5,2,2,1,1,2,0,2,1,2,1
216_8,2,2,1,1,2,0,2,1,2,1
216_7,2,2,1,1,2,0,2,1,2,1
