[&R] (((((216_7:0,216_8:0)202_5:0.001,(216_5:1.033,216_6:0.033)208_4:1.968)167_3:0,((216_9:0,216_10:0)202_6:0.001,(216_11:0,216_12:0)202_7:1.001)167_4:0)119_3:4.541,(216_3:1.066,216_4:1.066)193_2:1.476)70_2:1.458)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,0,0,0,0,0,0,0,0:0.27/1:0.73,0:0.27/2:0.73,0
193_2,0,0,0,0,0:0.04/2:0.96,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0
216_4,0,0,0,1,2,0,0,1,2,0
216_3,0,0,0,0,2,1,0,1,2,0
119_3,2,1,0,2,0,0,2,1,2,0
167_4,2,1,0,2,0,0,2,1,2,0
202_7,2,1,0,2,0,0,2,1,2,1
216_12,2,1,0,2,0,0,2,1,2,1
216_11,2,1,0,2,0,0,2,1,2,1
202_6,2,1,0,2,0,0,2,1,2,0
216_10,2,1,0,2,0,0,2,1,2,0
216_9,2,1,0,2,0,0,2,1,2,0
167_3,2,1,0,2,0,0,2,1,2,0
208_4,2,1,0,2,0:0.02/1:0.98,0:0.02/1:0.98,2,1,2,0
216_6,2,1,0,2,1,1,2,1,2,0
216_5,2,1,0,2,1,1,2,1,2,2
202_5,2,1,0,2,0,0,2,1,2,0
216_8,2,1,0,2,0,0,2,1,2,0
216_7,2,1,0,2,0,0,2,1,2,0
