[&R] (((((216_7:0,216_8:0)202_5:1.219,(216_5:1.067,216_6:0.067)208_4:1.152)167_3:1.838,((216_9:0,216_10:0)202_6:1.005,(216_11:0.004,216_12:1.004)202_7:0.001)167_4:1.052)119_3:0.006,(216_3:0,216_4:0)193_2:2.063)70_2:4.937)I0;
I0,0,0,0,0,0,0,0,0,0,0
70_2,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0
193_2,1,2,2,2,1,2,0,0,0,2
216_4,1,2,2,2,1,2,0,0,0,2
216_3,1,2,2,2,1,2,0,0,0,2
119_3,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0
167_4,1,2,2,2,1,0,0,0,0,2
202_7,1,2,2,2,1,0,0,0,0,2
216_12,1,2,2,2,1,0,2,0,0,2
216_11,1,2,2,2,1,0,0,0,0,2
202_6,1,2,2,2,1,1,0,0,0,2
216_10,1,2,2,2,1,1,0,0,0,2
216_9,1,2,2,2,1,1,0,0,0,2
167_3,1,2,2,2,1,0:0.11/1:0.89,0,0,0,0:0.11/1:0.89
208_4,1,2,2,2,1,0:0.01/1:0.99,0:0.05/1:0.95,0,0,0:0.01/1:0.99
216_6,1,2,2,2,1,1,1,0,0,1
216_5,1,2,2,2,1,1,1,0,1,1
202_5,1,2,2,2,1,1,0,2,0,1
216_8,1,2,2,2,1,1,0,2,0,1
216_7,1,2,2,2,1,1,0,2,0,1
