[&R] (((((216_7:4.086,216_8:2.086)202_5:21.222,(216_5:5.11,216_6:2.11)208_4:16.198)167_3:26.791,((216_9:4.205,216_10:6.205)202_6:16.008,(216_11:6.15,216_12:3.15)202_7:12.062)167_4:19.886)119_3:32.804,(216_3:9.604,216_4:8.604)193_2:66.298)70_2:65.098)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70_2,0,0,0:0.12/2:0.88,0,0,0,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/2:0.88,0,0,0,0,0,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0,0,0,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0:0.12/1:0.88,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0:0.12/1:0.88,0,0,0,0,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/2:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0,0,0,0,0,0,0:0.12/2:0.88,0,0,0,0,0:0.12/2:0.88,0,0:0.12/1:0.88,0,0,0,0:0.12/1:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0,0:0.12/1:0.88,0:0.12/1:0.88,0:0.12/1:0.88,0,0,0,0,0:0.12/2:0.88,0,0,0,0,0,0,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/2:0.88,0,0,0,0
193_2,0:0.01/2:0.99,0,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0,1,1,0,2,2,0,0,0:0.01/2:0.99,0,0,2,0:0.01/2:0.99,2,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,1,0:0.01/1:0.99,2,0,1,0,2,1,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,2,0:0.01/1:0.99,0,2,0:0.01/2:0.99,0,1,1,0,0,1,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,2,1,0:0.01/1:0.99,1,0,2,0,2,0,0:0.01/1:0.99,0,1,1,2,2,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,1,0,0:0.01/1:0.99,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,2,2,2,0,1,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,2,0:0.01/2:0.99,1,0:0.01/2:0.99,0,1,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,2,1,0,2,1,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/1:0.99,2,2,2,0:0.01/2:0.99,1,1,2,0,0,0:0.01/2:0.99,0,0,1,1,0:0.01/1:0.99,1,2,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,2,0,0,2,0,1,0:0.01/2:0.99,1,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,2,0,0,0,0,2,0,1,0:0.01/2:0.99,0,0:0.01/2:0.99,1,0,1,2,0,0,1,1,0:0.01/1:0.99,0:0.01/2:0.99,0,1,1,1,0,0,0:0.01/2:0.99,0:0.01/1:0.99,2,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,2,2,2,0:0.01/2:0.99,2,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99
216_4,2,0,2,0,2,2,0,1,1,0,1,1,0,2,2,0,0,2,1,0,2,2,2,0,2,1,0,0,1,1,2,0,1,0,2,1,1,0,0,2,0,2,1,0,2,2,0,1,1,0,0,1,1,2,2,1,2,1,1,1,0,2,0,2,0,1,0,1,1,2,2,2,1,2,2,1,0,1,2,1,2,2,2,0,0,2,2,2,0,1,0,0,1,1,0,2,2,1,2,0,1,0,1,1,0,0,2,1,0,2,1,2,1,2,1,2,2,2,2,1,1,2,0,0,2,0,0,1,1,1,1,2,2,2,0,1,0,2,0,1,2,0,0,2,2,1,2,1,1,0,1,1,0,2,2,2,0,0,0,2,0,1,2,2,2,1,0,1,2,0,2,1,1,1,2,0,1,1,1,0,1,2,1,2,2,2,1,0,0,0,0,2,2,2,2,2,1,1,0,1
216_3,2,0,2,0,2,2,0,1,1,0,1,1,0,2,2,0,0,2,2,1,2,2,2,0,2,1,0,0,1,1,2,0,1,0,2,1,1,0,0,2,0,2,1,0,2,2,0,1,1,0,0,1,1,2,2,1,2,1,1,1,0,2,0,2,0,1,1,1,1,2,2,2,1,2,2,1,0,1,2,1,2,2,2,0,0,2,2,2,0,1,0,0,1,1,0,2,2,1,2,0,1,0,1,1,0,0,2,1,0,2,1,2,1,2,1,2,2,2,2,1,1,2,0,0,2,1,0,1,1,1,1,2,2,2,0,1,0,2,0,1,2,0,0,2,0,1,2,1,1,0,1,0,0,2,2,0,0,0,0,2,0,1,2,0,2,1,0,1,2,0,0,1,1,1,2,2,1,1,1,0,0,2,1,2,1,2,1,1,2,0,0,2,2,2,2,2,1,1,1,1
119_3,0,0,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/2:0.91,0,0:0.01/2:0.99,0:0.09/1:0.91,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.09/1:0.91,0,0:0.09/1:0.91,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.09/1:0.91,0:0.09/2:0.91,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.09/1:0.91,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.09/1:0.91,0:0.01/1:0.99,0,0:0.09/1:0.91,0:0.01/1:0.99,0:0.09/1:0.91,0,0,0:0.01/1:0.99,0,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.09/2:0.91,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.09/1:0.91,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.09/2:0.91,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0:0.09/1:0.91,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0:0.09/2:0.91,0,0:0.09/1:0.91,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.09/2:0.91,0,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.09/1:0.91,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.09/1:0.91,0,0,0:0.01/2:0.99,0,0,0,0,0,0:0.09/1:0.91,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.09/1:0.91,0
167_4,0,0:0.06/1:0.94,2,0,0,0:0.06/2:0.94,0,0,1,0,1,1,0,2,2,0,1,1,2,0,2,1,2,0,0,0,0:0.06/2:0.94,0,1,0:0.06/1:0.94,2,0,1,0:0.06/2:0.94,2,1,0,1,0,1,0,2,0,0,2,0,0,1,1,1,2,1,1,0,0,0:0.06/1:0.94,2,1,0,1,0,2,0,2,1,0,0,1,1,2,2,1,1,0,1,1,1,0,0,1,0,1,0,0,1,2,2,2,0,1,0:0.06/1:0.94,0,0:0.06/1:0.94,0,0,2,0,1,0,0:0.06/1:0.94,1,0,2,0,0,0:0.06/1:0.94,2,1,0,2,1,1,1,0,0,2,2,2,0,1,1,2,0,2,0,0,0,1,1,2,1,2,0,2,0,0:0.06/1:0.94,0,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0:0.06/2:0.94,0,0,2,2,0,1,0:0.06/2:0.94,2,0,1,0,2,0:0.06/1:0.94,1,2,1,2,0:0.06/2:0.94,0:0.06/1:0.94,1,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0:0.06/1:0.94,1,0:0.06/2:0.94,2,2,2,0,2,0,0,1,0
202_7,0,1,2,0,0,2,0,0,1,0:0.01/1:0.99,1,1,0,2,2,0,1,1,2,0:0.01/1:0.99,2,1,2,0,0,0,2,0,1,1,2,0,1,2,2,1,0,1,0:0.01/2:0.99,1,0,2,0,0,2,0,0,1,1,1,2,1,1,0,0:0.01/1:0.99,1,2,1,0,1,0,2,0,2,1,0,0,1,1,2,2,1,1,0,1,1,1,0,0,1,0,1,0,0,1,2,2,2,0,1,1,0,1,0:0.01/2:0.99,0,2,0,1,0,1,1,0,2,0,0:0.01/2:0.99,1,2,1,0,2,1,1,1,0,0,2,2,2,0:0.01/1:0.99,1,1,2,0,2,0,0,0,1,1,2,1,2,0,2,0,1,0,1,0:0.01/2:0.99,0,2,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,0,1,2,2,0,1,0:0.01/1:0.99,2,1,1,2,1,2,2,1,1,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,1,1,2,2,2,2,0,2,0,0:0.01/1:0.99,1,0:0.01/1:0.99
216_12,0,1,2,0,0,2,0,0,1,1,1,1,0,2,2,0,1,1,2,1,2,1,2,0,0,0,2,0,1,1,2,0,1,2,2,1,2,1,2,1,0,2,0,0,2,0,0,1,1,1,2,1,1,0,1,1,2,1,0,1,0,2,0,2,1,0,0,1,1,2,2,1,1,0,1,1,1,0,0,1,1,1,0,0,1,2,2,2,0,1,1,0,1,2,0,2,0,1,0,1,1,0,2,0,2,1,2,1,0,2,1,1,1,0,0,2,2,2,1,1,1,2,2,2,0,0,0,1,1,2,1,2,0,2,0,1,0,1,2,0,2,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,0,1,2,2,0,1,1,2,1,1,2,1,2,2,1,1,1,0,0,1,1,1,1,0,1,0,0,2,0,0,0,0,1,1,2,2,2,2,0,2,0,1,1,1
216_11,0,1,2,0,0,2,0,0,1,1,1,1,0,2,2,0,1,1,2,1,2,1,2,0,0,0,2,0,1,1,2,0,1,2,2,1,0,1,2,1,0,2,0,0,2,0,0,1,1,1,2,1,1,0,1,1,2,1,0,1,0,2,0,2,1,0,0,1,1,2,2,1,1,0,1,1,1,0,0,1,0,1,0,0,1,2,2,2,0,1,1,0,1,2,0,2,0,1,0,1,1,0,2,0,2,1,2,1,0,2,1,1,1,0,1,2,2,2,1,1,1,2,0,2,0,0,0,1,1,2,1,2,0,2,0,1,0,1,2,0,2,0,2,2,0,1,1,1,0,0,0,2,0,0,2,2,0,1,2,2,0,1,1,2,1,1,2,1,2,2,1,1,1,0,0,1,1,1,1,0,1,0,0,2,0,2,2,1,1,1,2,2,2,2,0,2,0,1,1,1
202_6,0,1,2,0:0.01/2:0.99,0,2,0:0.01/2:0.99,0,1,0,1,1,0,2,2,0,1,1,2,0:0.01/2:0.99,2,1,2,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0,1,1,2,0:0.01/2:0.99,1,2,2,1,0,1,0,1,0,2,0,0,2,0:0.01/2:0.99,0,1,1,1,2,1,1,0:0.01/2:0.99,0,1,2,1,0,1,0,2,0,2,1,0,0,1,1,2,2,1,1,0,1,1,1,0,0,1,0,1,0:0.01/2:0.99,0,1,2,2,2,0:0.01/2:0.99,1,1,0,1,0,0,2,0,1,0,1,1,0:0.01/2:0.99,2,0,0,1,2,1,0,2,1,1,1,0,0,2,2,2,0,1,1,2,0,2,0,0,0,1,1,2,1,2,0,2,0,1,0,1,0,0,2,0,0,2,0,1,0,1,0,0,0:0.01/2:0.99,2,0,0,2,2,0,1,2,2,0,1,0,2,1,1,2,1,2,2,1,1,1,0,0,1,1,1,1,0:0.01/2:0.99,1,0,0,2,0:0.01/1:0.99,0,0,0:0.01/2:0.99,1,1,2,2,2,2,0,2,0,0,1,0
