[&R] (((((216_7:4.153,216_8:5.153)202_5:7.552,(216_5:3.051,216_6:2.051)208_4:13.653)167_3:17.58,((216_9:2.099,216_10:5.099)202_6:7.567,(216_11:4.268,216_12:7.268)202_7:11.398)167_4:22.619)119_3:32.859,(216_3:4.078,216_4:2.078)193_2:66.067)70_2:72.856)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70_2,0:0.11/1:0.89,0:0.11/1:0.89,0,0,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0:0.11/2:0.89,0,0:0.11/1:0.89,0:0.11/2:0.89,0:0.11/2:0.89,0,0,0,0,0,0:0.11/1:0.89,0,0:0.11/1:0.89,0:0.11/1:0.89,0:0.11/1:0.89,0:0.11/2:0.89,0,0:0.11/2:0.89,0,0,0,0:0.11/2:0.89,0,0,0:0.11/1:0.89,0,0,0,0,0:0.11/2:0.89,0:0.11/1:0.89,0,0,0,0,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.11/1:0.89,0,0:0.11/1:0.89,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0:0.11/2:0.89,0,0,0,0:0.11/2:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.11/1:0.89,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0:0.11/2:0.89,0,0:0.11/2:0.89,0,0,0:0.11/1:0.89,0,0,0,0:0.11/1:0.89,0,0,0:0.11/1:0.89,0,0,0,0,0:0.11/2:0.89,0:0.11/1:0.89,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0,0,0,0,0:0.11/2:0.89,0,0,0,0:0.11/2:0.89,0,0,0,0,0,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0,0,0,0:0.11/1:0.89,0,0,0:0.11/2:0.89,0:0.11/1:0.89,0,0,0,0,0:0.11/1:0.89,0,0,0,0,0:0.11/1:0.89,0,0,0:0.11/1:0.89,0,0,0,0:0.11/1:0.89,0,0,0,0:0.11/1:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0,0,0,0,0,0,0:0.11/2:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.11/2:0.89,0,0:0.11/2:0.89,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0,0:0.11/2:0.89,0:0.11/1:0.89,0,0:0.11/2:0.89,0,0:0.11/2:0.89,0:0.11/2:0.89,0,0,0:0.11/2:0.89,0:0.11/1:0.89,0,0,0:0.11/2:0.89,0,0:0.11/1:0.89,0,0,0,0,0,0:0.11/2:0.89,0:0.11/2:0.89,0:0.11/1:0.89,0,0,0:0.11/1:0.89,0,0
193_2,1,1,0,0,2,0,0,2,0,1,2,0,1,2,2,2,0,0,1,1,1,0,1,1,1,2,0,2,2,0,0,2,2,1,1,1,0,0,2,2,1,1,0,0,0,2,1,1,1,2,1,0,2,2,1,2,0,2,0,2,2,1,2,1,0,1,2,2,1,2,2,0,2,0,1,1,0,1,1,1,0,0,1,2,1,1,0,2,1,2,2,0,2,1,1,2,1,0,2,2,2,1,1,0,2,2,0,2,0,1,0,2,2,1,0,0,0,2,2,1,2,2,1,2,0,1,0,0,2,1,0,1,0,2,1,1,0,0,0,1,1,2,1,0,2,2,1,0,1,0,1,2,1,0,0,0,0,0,1,2,2,1,2,2,1,2,2,2,2,2,0,2,1,0,2,2,2,2,1,2,2,1,1,0,2,0,1,0,0,1,0,0,2,2,1,1,1,1,0,2
216_4,1,1,0,0,2,0,0,2,0,1,2,0,1,2,2,2,0,0,1,1,1,0,1,1,1,2,0,2,2,0,0,2,2,1,1,1,0,0,2,2,1,1,0,0,0,2,1,1,1,2,1,0,2,2,1,2,0,2,0,2,2,1,2,1,0,1,2,2,1,2,2,0,2,0,1,1,0,1,1,1,0,0,1,2,1,1,0,2,1,2,2,0,2,1,1,2,1,0,2,2,2,1,1,0,2,2,0,2,0,1,0,2,2,1,0,0,0,2,2,1,2,2,1,2,0,1,1,0,2,1,0,1,0,2,1,1,0,0,0,1,1,2,1,0,2,2,1,0,1,0,1,2,1,0,0,0,0,0,1,2,2,1,2,2,1,2,2,2,2,2,0,2,1,0,2,2,2,2,1,2,2,1,1,0,2,0,1,0,1,1,0,0,2,2,1,1,1,1,0,2
216_3,1,1,0,0,2,0,0,2,0,1,2,2,1,2,2,2,0,0,1,1,1,0,1,1,1,2,1,2,2,0,0,2,2,1,1,1,0,0,2,2,1,1,0,0,0,2,1,1,1,2,1,0,2,2,1,2,0,2,2,2,2,1,2,1,0,1,2,2,1,2,2,0,2,1,1,1,0,1,1,1,0,0,1,2,1,1,0,2,1,2,2,0,2,1,1,2,1,0,2,2,2,1,1,0,2,2,0,2,0,1,0,2,2,1,0,0,0,2,2,1,2,2,1,2,0,1,0,0,2,1,0,1,0,2,1,1,0,0,0,1,1,2,1,0,2,2,1,0,1,0,1,2,1,0,0,0,0,0,1,2,2,1,2,2,1,2,2,2,2,2,0,2,1,0,2,2,2,2,1,2,2,1,1,0,2,0,1,0,0,1,0,0,2,2,1,1,1,1,0,2
119_3,0:0.01/1:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/1:0.93,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.01/2:0.99,0,0,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.07/2:0.93,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.07/1:0.93
167_4,1,1,1,1,2,1,0,2,0,1,2,1,1,2,2,0,0:0.03/2:0.97,0,0,0,1,0,1,1,1,2,0:0.03/1:0.97,2,0:0.03/1:0.97,0:0.03/2:0.97,0,2,0:0.03/1:0.97,0,1,2,0,0,0,2,1,0:0.03/2:0.97,2,2,0,2,1,2,1,0,1,0,2,0,1,2,0:0.03/1:0.97,0,2,2,2,1,2,1,0:0.03/2:0.97,1,2,0,0:0.03/2:0.97,2,2,0,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,2,2,1,2,0,0,2,0,2,0,1,0,0,0,0,2,2,0,1,2,0:0.03/2:0.97,0,0:0.03/1:0.97,1,0,2,0,0,2,1,0,0,1,1,0,2,2,1,0,0:0.03/1:0.97,0,0,1,0,0,0:0.03/1:0.97,0,1,0,0:0.03/2:0.97,1,1,0,0,1,2,0:0.03/1:0.97,0,1,2,1,0,2,0,0,0:0.03/1:0.97,0:0.03/2:0.97,2,2,1,0,2,0:0.03/1:0.97,2,2,0,0:0.03/1:0.97,2,2,2,1,0:0.03/2:0.97,2,0,2,2,0,0,2,1,0,0,2,2,1,0,0:0.03/2:0.97,0,2,1,2,2,1,0,0,1,0,1
202_7,1,1,1,1,2,1,0,2,0,1,2,1,1,2,2,0,2,0,0,0,1,0,1,1,1,2,1,2,1,2,0,2,1,0,1,2,0,0,0,2,1,2,2,2,0,2,1,2,1,0,1,0,2,0:0.02/1:0.98,1,2,1,0,2,2,2,1,2,1,2,1,2,0:0.02/1:0.98,2,2,2,0:0.02/1:0.98,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,2,2,1,2,0,0,2,0,2,0,1,0,0,0,0,2,2,0:0.02/2:0.98,1,2,2,0,1,1,0,2,0:0.02/2:0.98,0:0.02/2:0.98,2,1,0,0:0.02/2:0.98,1,1,0,2,2,1,0,1,0,0,1,0,0,1,0,1,0,2,1,1,0,0,1,2,1,0:0.02/2:0.98,1,2,1,0,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,2,2,2,1,2,2,0:0.02/1:0.98,2,2,0,0,2,1,0:0.02/2:0.98,0,2,2,1,0,2,0,2,1,2,2,1,0:0.02/2:0.98,0,1,0,1
216_12,1,1,1,1,2,1,0,2,0,1,2,1,1,2,2,0,2,0,0,0,1,0,1,1,1,2,1,2,1,2,0,2,1,0,1,2,0,0,2,2,1,2,2,2,1,2,1,2,1,0,1,0,2,1,1,2,1,0,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,1,2,0,1,2,2,1,2,0,2,2,0,2,0,1,0,0,0,0,2,2,2,1,2,2,0,1,1,0,2,2,2,2,1,1,2,1,1,0,2,2,1,0,1,0,1,1,0,0,1,0,1,1,2,1,1,0,0,1,2,1,2,1,2,1,0,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,2,2,2,1,2,2,1,2,2,0,0,2,1,2,0,2,2,1,0,2,0,2,1,2,2,1,2,0,1,0,1
216_11,1,1,1,1,2,1,0,2,0,1,2,1,1,2,2,0,2,0,0,0,1,0,1,1,1,2,1,2,1,2,0,2,1,0,1,2,0,0,0,2,1,2,2,2,0,2,1,2,1,0,1,2,2,1,1,2,1,0,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,0,0,1,1,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,2,2,1,2,0,0,2,0,2,0,1,0,0,0,0,2,2,2,1,2,2,0,1,1,1,2,2,2,2,1,0,2,1,1,0,2,2,1,0,1,0,0,1,0,0,1,0,1,2,2,1,1,0,0,1,2,1,2,1,2,1,0,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,2,2,2,1,2,2,1,2,2,0,0,2,1,2,0,2,2,1,0,2,0,2,1,2,2,1,2,0,1,0,1
202_6,1,1,1,1,2,1,0,2,0,1,2,1,1,2,2,0,2,0:0.01/2:0.99,0,0,1,0,1,1,1,2,1,2,1,2,0,2,1,0,1,2,0,0,0,2,1,2,2,2,0,2,1,2,1,0:0.01/2:0.99,1,0,2,0,1,2,1,0,2,2,2,1,2,1,2,1,2,0,2,2,2,0,2,0,0:0.01/2:0.99,1,0,0,0,1,1,0,1,1,0,0,0,2,1,2,0,0,2,2,1,2,0,0,2,0:0.01/2:0.99,2,0,1,0,0,0,0,2,2,0,1,2,2,0,1,1,0,2,0,0,2,1,0,0,1,1,0,2,2,1,0,1,0:0.01/1:0.99,0,1,0,0,1,0,1,0:0.01/2:0.99,2,1,1,0,0,1,2,1,0,1,2,1,0:0.01/1:0.99,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,2,2,2,1,2,2,0,2,2,0,0,2,1,0,0,2,2,1,0,2,0,2,1,2,2,1,0,0,1,0,1
