[&R] (((((216_7:3.038,216_8:1.038)202_5:17.418,(216_5:2.034,216_6:2.034)208_4:11.422)167_3:14.368,((216_9:2.035,216_10:2.035)202_6:7.381,(216_11:2.11,216_12:5.11)202_7:7.306)167_4:19.408)119_3:32.365,(216_3:4.431,216_4:9.431)193_2:62.758)70_2:81.811)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70_2,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0,0,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0,0
193_2,2,0:0.01/1:0.99,1,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,2,1,2,0,1,0,1,2,0:0.01/2:0.99,1,2,2,2,1,0,1,0:0.01/1:0.99,0:0.01/2:0.99,2,2,2,1,0,0,0,0,2,0:0.01/2:0.99,1,1,1,0:0.01/1:0.99,0:0.01/2:0.99,1,0:0.01/1:0.99,0:0.01/2:0.99,2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,2,2,1,0:0.01/1:0.99,1,0,0,0,0,0,2,1,1,2,1,0,1,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,1,2,0,0,0:0.01/2:0.99,1,0,0:0.01/2:0.99,1,0,2,2,0,0:0.01/2:0.99,0:0.01/1:0.99,2,0,2,2,1,0:0.01/2:0.99,2,0:0.01/1:0.99,0,0:0.01/1:0.99,2,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,1,2,2,2,0:0.01/1:0.99,1,2,2,0:0.01/1:0.99,0,2,2,0,0:0.01/2:0.99,0:0.01/1:0.99,2,1,0:0.01/2:0.99,0:0.01/2:0.99,1,0,0,0,0:0.01/1:0.99,0,2,0:0.01/1:0.99,0:0.01/2:0.99,0,2,2,0:0.01/2:0.99,0,0:0.01/1:0.99,0,1,0,2,2,0:0.01/2:0.99,1,1,1,0,2,0,0,1,1,2,0,0,0,2,1,0,0:0.01/1:0.99,0:0.01/2:0.99,1,0:0.01/2:0.99,0,1,0,1,0,0:0.01/2:0.99,2,1,2,2,0,1,0,2,0:0.01/2:0.99,0:0.01/1:0.99,0,1,2,1,0:0.01/2:0.99,1,1,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,2,2,0:0.01/2:0.99,1,2,0,0,0:0.01/1:0.99,0,0
216_4,2,1,1,2,1,2,1,2,2,1,2,0,1,0,1,2,2,1,2,2,2,1,0,1,1,2,2,2,2,1,0,0,0,0,2,2,1,1,1,1,2,1,1,2,2,1,1,1,0,2,2,1,1,1,2,0,0,1,2,2,1,1,2,1,0,1,2,1,1,1,2,0,1,2,1,0,2,1,0,2,2,0,2,1,2,0,2,2,1,2,2,1,0,1,2,2,1,0,2,0,1,2,2,2,1,1,2,2,1,0,2,2,0,2,1,2,1,2,2,1,0,0,0,1,0,2,1,2,1,2,2,2,0,1,0,1,0,2,2,2,1,1,1,2,2,0,0,1,1,2,0,0,2,2,1,0,1,2,1,2,0,1,0,1,0,2,2,1,2,2,0,1,0,2,2,1,1,1,2,1,2,1,1,2,0,2,0,0,2,0,2,2,2,1,2,0,0,1,0,0
216_3,2,1,1,2,1,0,1,2,2,1,2,0,1,0,1,2,2,1,2,2,2,1,0,1,1,2,2,2,2,1,0,0,0,0,2,2,1,1,1,1,2,1,1,2,2,1,1,1,0,2,2,1,1,1,0,0,0,0,0,2,1,1,2,1,0,1,2,1,1,1,2,0,0,2,1,0,2,1,2,2,2,0,2,1,2,0,2,2,1,2,2,1,0,1,2,2,1,0,2,0,1,2,2,2,1,1,2,2,1,0,2,2,0,2,1,2,1,2,2,1,0,0,0,1,0,2,1,2,0,2,2,2,0,1,0,1,0,2,2,2,1,1,1,0,2,2,0,1,1,2,0,0,0,2,1,2,1,2,1,2,0,1,0,1,0,2,2,1,2,2,0,1,0,2,2,1,0,1,2,1,2,1,1,2,0,2,0,0,2,2,2,2,2,1,2,0,0,1,0,0
119_3,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.05/2:0.95,0,0,0:0.05/1:0.95,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0,0:0.05/1:0.95,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.05/1:0.95,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0,0:0.05/2:0.95,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0:0.05/1:0.95,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.05/1:0.95,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.05/1:0.95,0:0.01/1:0.99,0:0.05/1:0.95,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/1:0.95,0:0.01/2:0.99,0,0:0.05/2:0.95,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.05/1:0.95,0,0,0:0.05/1:0.95,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.05/2:0.95,0,0
167_4,2,0:0.02/2:0.98,1,0,0,0,0,0,2,1,2,0,1,1,1,2,0:0.02/1:0.98,1,2,2,2,1,1,1,0,0,2,2,2,1,0,0:0.02/1:0.98,0,0,2,0,1,1,1,0,0,1,0,0,2,2,0:0.02/2:0.98,0,1,2,2,1,0,1,0,0,0,0,0,2,1,1,2,1,0,1,0,0,0,1,2,0,0,1,1,0,0:0.02/2:0.98,1,1,2,2,1,0,0,2,1,2,2,1,1,2,0,0,0:0.02/1:0.98,2,1,0:0.02/2:0.98,0,0,1,1,2,2,2,0,1,2,2,0,0,2,2,0,1,0:0.02/2:0.98,2,1,0,0:0.02/2:0.98,1,0:0.02/2:0.98,0:0.02/2:0.98,0,2,0,2,0,0,0,2,2,0:0.02/2:0.98,0,0,0,1,0,2,2,0,1,1,1,1,2,1,0:0.02/2:0.98,1,1,2,1,0:0.02/2:0.98,0,2,1,0,0,1,1,1,0,1,0,1,0,0,2,1,2,2,0,1,1,2,0,2,0,1,2,1,0:0.02/2:0.98,1,1,0,0,1,0:0.02/2:0.98,0:0.02/2:0.98,1,2,2,2,1,1,2,0,0,2,0:0.02/2:0.98,0
202_7,2,2,1,0,0:0.01/1:0.99,0,0,0,2,1,2,0,1,1,1,2,1,1,2,2,2,1,1,1,0,0,2,2,2,1,0,1,0,0,2,0,1,1,1,0:0.01/1:0.99,0,1,0,0,2,2,2,0,1,2,2,1,0,1,0,0,0,0,0,2,1,1,2,1,0,1,0,0,0,1,2,0,0,1,1,0,2,1,1,2,2,1,0,0,2,1,2,2,1,1,2,0,0,1,2,1,2,0,0,1,1,2,2,2,0,1,2,2,0,0:0.01/2:0.99,2,2,0,1,2,2,1,0,2,1,2,2,0,2,0,2,0,0:0.01/2:0.99,0,2,2,2,0,0:0.01/2:0.99,0,1,0,2,2,0,1,1,1,1,2,1,2,1,1,2,1,2,0,2,1,0,0,1,1,1,0:0.01/2:0.99,1,0,1,0,0,2,1,2,2,0,1,1,2,0,2,0:0.01/1:0.99,1,2,1,2,1,1,0,0,1,2,2,1,2,2,2,1,1,2,0,0,2,2,0
216_12,2,2,1,0,1,0,0,0,2,1,2,0,1,1,1,2,1,1,2,2,2,1,1,1,0,0,2,2,2,1,0,1,0,0,2,0,1,1,1,1,2,1,0,1,2,2,2,0,1,2,2,1,0,1,0,0,0,2,0,2,1,1,2,1,0,1,0,0,0,1,2,0,0,1,1,0,2,1,1,2,2,1,0,0,2,1,2,2,1,1,2,0,0,1,2,1,2,0,0,1,1,2,2,2,0,1,2,2,0,2,2,2,0,1,2,2,1,0,2,1,2,2,0,2,0,2,0,2,0,2,2,2,0,2,0,1,0,2,2,0,1,1,1,1,2,1,2,1,1,2,1,2,0,2,1,0,0,1,1,1,2,1,0,1,0,1,2,1,2,2,0,1,1,2,0,2,1,1,2,1,2,1,1,0,0,1,2,2,1,2,2,2,1,1,2,2,0,2,2,0
216_11,2,2,1,0,1,0,0,0,2,1,2,0,1,1,1,2,1,1,2,2,2,1,1,1,0,0,2,2,2,1,0,1,0,0,2,0,1,1,1,1,0,1,0,0,2,2,2,0,1,2,2,1,0,1,0,0,0,0,0,2,1,1,2,1,0,1,0,0,0,1,2,0,0,1,1,1,2,1,1,2,2,1,0,0,2,1,2,2,1,1,2,0,0,1,2,1,2,0,0,1,1,2,2,2,0,1,2,2,0,2,2,2,0,1,2,2,1,0,2,1,2,2,0,2,0,2,0,2,0,2,2,2,0,2,0,1,0,2,2,0,1,1,1,1,2,1,2,1,1,2,1,2,0,2,1,0,0,1,1,1,2,1,1,1,0,0,2,1,2,2,0,1,1,2,0,2,1,1,2,1,2,1,1,0,0,1,2,2,1,2,2,2,1,1,2,0,0,2,2,0
202_6,2,2,1,0,2,0,0,0,2,1,2,0,1,1,1,2,1,1,2,2,2,1,1,1,0,0,2,2,2,1,0,1,0,0,2,0,1,1,1,0,0,1,0,0,2,2,2,0,1,2,2,1,0,1,0,0,0,0,0,2,1,1,2,1,0,1,0,1,0,1,2,0,0,1,1,0,2,1,1,2,2,1,0,0,2,1,2,2,1,1,2,0,0,1,2,1,2,0,0,1,1,2,2,2,0,1,2,2,0,0,2,2,2,1,2,2,1,1,2,1,2,2,0,2,0,2,0,0,2,2,2,2,0,0,0,1,0,2,2,0,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,0,0,1,1,1,0,1,0,1,0,0,2,1,2,2,1,1,1,2,0,2,0,1,2,1,2,1,1,0,0,1,2,2,1,2,2,2,1,1,2,0,0,2,2,0
