[&R] (((((216_12:0,216_13:0)202_10:0.046,(216_10:0,216_11:0)209_10:1.046)162_8:1.121,(216_14:0,216_15:0)202_11:1.167)108_4:3.142,(((216_4:0.144,216_5:2.144)199_4:0.921,(216_6:0,216_7:0)202_6:0.064)156_5:1.034,(216_8:1.308,216_9:2.308)162_7:0.79)111_4:1.211)50_2:2.691)I0;
I0,0,0,0,0,0,0,0,0,0,0
50_2,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0
111_4,0,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0
162_7,0,0,0,1,0:0.02/1:0.98,1,0,0,2,0:0.28/1:0.72
216_9,2,0,0,1,1,1,2,0,2,1
216_8,0,0,1,1,1,1,0,0,2,1
156_5,0,0:0.06/2:0.94,0,1,1,1,0,0,2,0
202_6,0,2,0,1,1,1,0,0,2,0
216_7,0,2,0,1,1,1,0,0,2,0
216_6,0,2,0,1,1,1,0,0,2,0
199_4,0:0.14/1:0.86,0:0.01/2:0.99,0,1,1,1,0,0,2,0
216_5,1,2,0,1,1,1,1,2,2,0
216_4,1,2,0,1,1,1,0,0,2,0
108_4,0,0:0.05/1:0.95,0:0.05/2:0.95,0:0.01/1:0.99,0:0.05/2:0.95,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0
202_11,0,1,2,1,2,1,0,0,2,2
216_15,0,1,2,1,2,1,0,0,2,2
216_14,0,1,2,1,2,1,0,0,2,2
162_8,0,1,2,1,2,1,0,0,2,0:0.04/1:0.96
209_10,0,1,2,1,2,1,0,1,2,1
216_11,0,1,2,1,2,1,0,1,2,1
216_10,0,1,2,1,2,1,0,1,2,1
202_10,0,1,2,1,2,1,0,0,2,1
216_13,0,1,2,1,2,1,0,0,2,1
216_12,0,1,2,1,2,1,0,0,2,1
