[&R] (((((216_12:3.06,216_13:2.06)202_10:21.318,(216_10:1.019,216_11:2.019)209_10:16.358)162_8:25.171,(216_14:3.108,216_15:4.108)202_11:40.441)108_4:48.307,(((216_4:2.063,216_5:3.063)199_4:10.472,(216_6:2.045,216_7:2.045)202_6:17.49)156_5:31.652,(216_8:16.338,216_9:10.338)162_7:27.849)111_4:54.669)50_2:51.144)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50_2,0,0,0,0:0.18/1:0.82,0,0,0,0,0:0.18/2:0.82,0:0.18/1:0.82,0,0,0,0:0.18/2:0.82,0,0,0,0,0,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0,0,0,0:0.18/1:0.82,0:0.18/2:0.82,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0,0,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0,0,0,0,0,0:0.18/2:0.82,0,0:0.18/2:0.82,0,0,0,0,0,0:0.18/2:0.82,0,0,0,0:0.18/1:0.82,0,0,0,0,0,0,0:0.18/2:0.82,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0,0,0,0:0.18/1:0.82,0:0.18/1:0.82,0,0,0,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0,0,0,0:0.18/2:0.82,0,0,0,0:0.18/2:0.82,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0:0.18/1:0.82,0,0,0,0,0,0,0:0.18/1:0.82,0:0.18/2:0.82,0,0:0.18/1:0.82,0:0.18/2:0.82,0,0,0,0,0,0,0:0.18/1:0.82,0,0:0.18/2:0.82,0,0,0,0,0,0:0.18/1:0.82,0,0,0,0:0.18/1:0.82,0,0,0,0:0.18/1:0.82,0:0.18/2:0.82,0,0:0.18/1:0.82,0,0,0,0:0.18/2:0.82,0,0,0:0.18/2:0.82,0:0.18/2:0.82,0,0,0:0.18/1:0.82,0
111_4,0,0,0:0.09/2:0.91,0:0.02/1:0.98,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0,0,0,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.09/1:0.91,0:0.02/2:0.98,0,0:0.09/1:0.91,0:0.09/2:0.91,0:0.02/2:0.98,0:0.09/1:0.91,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.09/2:0.91,0:0.09/2:0.91,0,0:0.09/1:0.91,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.09/2:0.91,0:0.09/1:0.91,0:0.02/1:0.98,0,0,0:0.09/1:0.91,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.09/1:0.91,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0:0.09/1:0.91,0,0,0:0.09/1:0.91,0:0.09/1:0.91,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/1:0.91,0:0.09/2:0.91,0:0.09/2:0.91,0:0.09/1:0.91,0,0:0.09/1:0.91,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.09/2:0.91,0,0,0:0.09/1:0.91,0,0:0.02/2:0.98,0:0.09/2:0.91,0,0:0.09/1:0.91,0:0.02/1:0.98,0:0.09/2:0.91,0,0,0,0,0:0.09/2:0.91,0:0.02/2:0.98,0:0.09/2:0.91,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0:0.09/1:0.91,0:0.09/2:0.91,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0:0.02/2:0.98,0,0:0.09/1:0.91,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0,0:0.09/1:0.91,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0:0.09/1:0.91,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.09/2:0.91,0:0.02/1:0.98,0,0,0,0,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0,0,0:0.09/2:0.91,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0:0.09/2:0.91,0,0:0.09/2:0.91,0,0:0.02/1:0.98,0,0,0:0.09/2:0.91,0:0.02/1:0.98,0,0:0.09/2:0.91,0:0.09/2:0.91,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.09/1:0.91,0,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.09/2:0.91,0,0:0.02/1:0.98,0:0.09/1:0.91
162_7,0,0,2,1,0:0.05/1:0.95,2,2,1,2,1,0,0,0,2,0,0,0:0.05/1:0.95,0:0.05/2:0.95,2,0,2,2,2,1,0,2,0,0,0,0,0,1,2,1,1,2,0,1,2,2,1,0,2,1,0,1,2,2,0,1,0,1,0,2,2,1,1,0:0.05/1:0.95,0,1,0,1,1,0:0.05/2:0.95,0,1,0,1,0,1,0,0,0:0.05/2:0.95,1,0:0.05/1:0.95,0,1,1,1,1,0,1,1,1,2,2,1,0,1,2,0:0.05/1:0.95,2,2,0:0.05/1:0.95,0,1,0:0.05/2:0.95,2,2,0,1,1,2,0,0,0,0,2,2,2,2,0,0:0.05/2:0.95,2,2,0:0.05/2:0.95,2,2,0,0:0.05/2:0.95,1,2,1,1,0,0,0:0.05/2:0.95,0,2,0,1,2,2,0:0.05/2:0.95,2,0,1,2,0,0,0,2,0,1,0,2,1,0,1,2,1,0,0,0:0.05/2:0.95,0,0,0,1,2,0,1,2,0,0:0.05/1:0.95,0:0.05/2:0.95,0:0.05/1:0.95,2,0,1,0:0.05/2:0.95,2,0:0.05/2:0.95,2,0,2,0,1,0,0:0.05/2:0.95,2,1,0,2,2,1,2,0,1,1,0:0.05/2:0.95,0:0.05/1:0.95,2,0,0,2,2,2,0,1,1
216_9,0,0,2,1,1,2,2,1,2,1,0,2,2,2,0,0,1,2,2,0,2,2,2,1,0,2,0,0,0,0,0,1,2,1,1,2,1,1,2,2,1,0,2,1,0,1,2,2,1,1,0,1,0,2,2,1,1,1,0,1,0,1,1,2,0,1,0,1,0,1,1,0,2,1,1,0,1,1,1,1,0,1,1,1,2,2,1,0,1,2,1,2,2,1,1,1,2,2,2,0,1,1,2,0,2,0,0,2,2,2,2,0,2,2,2,2,2,2,0,2,1,2,1,1,0,0,2,0,2,0,1,2,2,2,2,0,1,2,0,0,0,2,0,1,0,2,1,0,1,2,1,2,0,2,0,0,0,1,2,2,1,2,0,1,2,1,2,0,1,2,2,2,2,0,2,0,1,0,2,2,1,0,2,2,1,2,0,1,1,2,1,2,0,0,2,2,2,0,1,1
216_8,0,0,2,1,1,2,2,1,2,1,0,0,0,2,0,0,1,2,2,0,2,2,2,1,0,2,1,0,0,0,2,1,2,1,1,2,0,1,2,2,1,0,2,1,1,1,2,2,0,1,1,1,1,2,2,1,1,1,0,1,0,1,1,2,0,1,0,1,0,1,0,0,2,1,1,0,1,1,1,1,0,1,1,1,2,2,1,0,1,2,1,2,2,1,0,1,2,2,2,1,1,1,2,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,0,2,1,2,1,1,0,0,2,0,2,1,1,2,2,2,2,0,1,2,0,0,2,2,0,1,0,2,1,2,1,2,1,0,0,2,0,0,0,1,2,1,1,2,0,1,2,1,2,2,1,2,2,2,2,1,2,0,1,2,2,2,1,0,2,2,1,2,2,1,1,2,1,2,0,0,2,2,2,1,1,1
156_5,0,0,2,1,0,2,2,1,2,1,0,0,0,2,0:0.05/1:0.95,0,0,0:0.05/1:0.95,2,0,2,2,2,1,0:0.05/2:0.95,2,0,0:0.05/2:0.95,0:0.05/1:0.95,0,0,1,2,1,1,2,0,1,2,2,1,0:0.05/1:0.95,2,1,0:0.05/1:0.95,1,2,2,0:0.05/1:0.95,1,0:0.05/2:0.95,1,0,2,2,1,1,0,0:0.05/2:0.95,1,0:0.05/2:0.95,1,1,0,0:0.05/1:0.95,1,0:0.05/2:0.95,1,0,1,0:0.05/2:0.95,0,0:0.05/1:0.95,1,0,0:0.05/1:0.95,1,1,1,1,0,1,1,1,2,2,1,0,1,2,0,2,2,0,0,1,0,2,2,0,1,1,2,0,0:0.05/2:0.95,0:0.05/1:0.95,0,2,2,2,2,0:0.05/1:0.95,0,2,2,0,2,2,0,0,1,2,1,1,0:0.05/2:0.95,0,0:0.05/1:0.95,0,2,0,1,2,2,0,2,0:0.05/1:0.95,1,2,0:0.05/2:0.95,0:0.05/1:0.95,0,2,0,1,0,2,1,0,1,2,1,0,0,0,0,0,0,1,2,0,1,2,0:0.05/2:0.95,0,0,0,2,0,1,0,2,0:0.05/1:0.95,2,0:0.05/2:0.95,2,0,1,0,0,2,1,0:0.05/2:0.95,2,2,1,2,0,1,1,0,0,2,0,0,2,2,2,0,1,1
202_6,2,1,2,1,1,2,2,1,2,1,2,0,0,2,1,0,0,1,2,0,2,2,2,1,2,2,0,2,1,0,0,1,2,1,1,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,0,2,2,1,1,0,2,1,2,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,2,0,2,2,0,1,1,1,2,2,0,1,1,2,0,2,1,0,2,2,2,2,1,1,2,2,0,2,2,2,0,1,2,1,1,2,0,1,0,2,0,1,2,2,1,2,1,1,2,2,1,2,2,0,1,0,2,1,0,1,2,1,0,1,1,0,0,0,1,2,0,1,2,2,0,0,0,2,0,1,0,2,1,2,2,2,2,1,0,0,2,1,2,2,2,1,2,2,1,1,0,2,2,0,0,2,2,2,2,1,1
216_7,2,1,2,1,1,2,2,1,2,1,2,1,0,2,1,0,0,1,2,0,2,2,2,1,2,2,0,2,1,0,0,1,2,1,1,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,0,2,2,1,1,0,2,1,2,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,2,0,2,2,0,1,1,1,2,2,0,1,1,2,0,2,1,0,2,2,2,2,1,1,2,2,0,2,2,2,0,1,2,1,1,2,0,1,0,2,0,1,2,2,1,2,1,1,2,2,1,2,2,0,1,0,2,1,1,1,2,1,0,1,1,0,0,0,1,2,0,1,2,2,0,0,0,2,0,1,0,2,1,2,2,2,2,1,0,0,2,1,2,2,2,1,2,2,1,1,0,2,2,0,0,2,2,2,2,1,1
216_6,2,1,2,1,1,2,2,1,2,1,2,0,0,2,1,2,0,1,2,0,2,2,2,1,2,2,0,2,1,0,0,1,2,1,1,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,0,2,2,1,1,0,2,1,2,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,1,1,1,1,0,1,1,1,2,2,1,0,1,2,0,2,2,0,1,1,1,2,2,0,1,1,2,0,2,1,0,2,2,2,2,1,1,2,2,0,2,2,2,0,1,2,1,1,2,0,1,0,2,0,1,2,2,1,2,1,1,2,2,1,2,2,0,1,0,2,1,0,1,2,1,0,1,1,0,2,0,1,2,0,1,2,2,0,0,0,2,0,1,0,2,1,2,2,2,2,1,0,0,2,1,2,2,2,1,2,2,1,1,0,2,2,0,0,2,2,2,2,1,1
199_4,0,0,2,1,0,2,2,1,2,1,0,0,0,2,1,0:0.01/1:0.99,0,1,2,0,2,2,2,1,2,2,0,2,1,0,0,1,2,1,1,2,0,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,0,2,2,1,1,0,2,1,2,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,1,1,1,1,0:0.01/1:0.99,1,1,1,2,2,1,0:0.01/1:0.99,1,2,0,2,2,0:0.01/1:0.99,0,1,0,2,2,0,1,1,2,0,2,1,0,2,2,2,2,1,0,2,2,0,2,2,0,0,1,2,1,1,2,0,1,0,2,0,1,2,2,0,2,1,1,2,2,1,0,2,0,1,0:0.01/2:0.99,2,1,0,1,2,1,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,1,2,0,1,2,2,0,0,0:0.01/1:0.99,2,0,1,0,2,1,2,2,2,0,1,0,0,2,1,2,2,2,1,2,0,1,1,0:0.01/2:0.99,0,2,0,0,2,2,2,0,1,1
