[&R] ((((216_5:0,216_6:0)155_5:2.008,((216_9:0,216_10:0)211_7:0.004,(216_7:0,216_8:0)212_6:1.004)165_7:0.004)92_2:2.006,((216_1:0,216_2:0)202_1:1.011,(216_3:0,216_4:0)213_3:1.011)147_1:0.003)37_1:0.986)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0,0,0,0,0,0:0.01/2:0.99,0,0,0,0
147_1,0,0,0,0,0,0:0.01/2:0.99,0,0,0,0
213_3,0,0,0,0,0,2,0,1,0,0
216_4,0,0,0,0,0,2,0,1,0,0
216_3,0,0,0,0,0,2,0,1,0,0
202_1,0,0,0,0,0,2,2,0,0,0
216_2,0,0,0,0,0,2,2,0,0,0
216_1,0,0,0,0,0,2,2,0,0,0
92_2,1,0,0,0,0,2,1,0,0,0
165_7,1,0,0,0,0,2,1,0,0,0
212_6,1,0,0,0,0,2,1,0,0,1
216_8,1,0,0,0,0,2,1,0,0,1
216_7,1,0,0,0,0,2,1,0,0,1
211_7,1,0,0,0,0,2,1,0,0,0
216_10,1,0,0,0,0,2,1,0,0,0
216_9,1,0,0,0,0,2,1,0,0,0
155_5,1,0,0,1,0,2,1,0,2,0
216_6,1,0,0,1,0,2,1,0,2,0
216_5,1,0,0,1,0,2,1,0,2,0
