[&R] ((((216_5:0.006,216_6:1.006)155_5:0.087,((216_9:0,216_10:0)211_7:1.044,(216_7:0,216_8:0)212_6:0.044)165_7:2.048)92_2:3.685,((216_1:0,216_2:0)202_1:0,(216_3:0,216_4:0)213_3:0)147_1:7.777)37_1:1.223)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0,0:0.59/1:0.41,0,0,0,0,0,0:0.59/1:0.41,0,0:0.59/2:0.41
147_1,1,1,1,2,1,2,2,1,0,2
213_3,1,1,1,2,1,2,2,1,0,2
216_4,1,1,1,2,1,2,2,1,0,2
216_3,1,1,1,2,1,2,2,1,0,2
202_1,1,1,1,2,1,2,2,1,0,2
216_2,1,1,1,2,1,2,2,1,0,2
216_1,1,1,1,2,1,2,2,1,0,2
92_2,0,0:0.01/1:0.99,0,0,0:0.02/2:0.98,0,0,0:0.01/1:0.99,0:0.02/1:0.98,0:0.01/2:0.99
165_7,0,1,0,0:0.02/2:0.98,2,0:0.02/1:0.98,0,1,1,2
212_6,0,1,0,2,2,1,0,1,1,2
216_8,0,1,0,2,2,1,0,1,1,2
216_7,0,1,0,2,2,1,0,1,1,2
211_7,1,1,0,2,2,1,0,1,1,2
216_10,1,1,0,2,2,1,0,1,1,2
216_9,1,1,0,2,2,1,0,1,1,2
155_5,0,1,0,0,2,0,0,1,1,2
216_6,0,1,2,0,2,0,0,1,1,2
216_5,0,1,0,0,2,0,0,1,1,2
