[&R] ((((216_5:1.381,216_6:1.381)155_5:2.13,((216_9:0,216_10:0)211_7:0,(216_7:0,216_8:0)212_6:0)165_7:1.511)92_2:2.639,((216_1:0,216_2:0)202_1:0.399,(216_3:0,216_4:0)213_3:2.399)147_1:4.751)37_1:2.85)I0;
I0,0,0,0,0,0,0,0,0,0,0
37_1,0:0.29/1:0.71,0,0,0:0.29/1:0.71,0,0:0.29/2:0.71,0,0:0.29/2:0.71,0,0
147_1,0:0.02/1:0.98,0:0.08/1:0.92,0,0:0.02/1:0.98,0:0.08/1:0.92,0:0.02/2:0.98,0:0.08/2:0.92,0:0.02/2:0.98,0:0.08/1:0.92,0
213_3,1,1,1,1,1,2,2,2,1,2
216_4,1,1,1,1,1,2,2,2,1,2
216_3,1,1,1,1,1,2,2,2,1,2
202_1,1,1,0,1,1,2,2,2,1,0
216_2,1,1,0,1,1,2,2,2,1,0
216_1,1,1,0,1,1,2,2,2,1,0
92_2,0:0.05/1:0.95,0,0,0:0.05/1:0.95,0:0.16/2:0.84,0:0.05/2:0.95,0:0.16/1:0.84,0:0.05/2:0.95,0,0
165_7,1,0,0,1,2,2,1,2,2,0
212_6,1,0,0,1,2,2,1,2,2,0
216_8,1,0,0,1,2,2,1,2,2,0
216_7,1,0,0,1,2,2,1,2,2,0
211_7,1,0,0,1,2,2,1,2,2,0
216_10,1,0,0,1,2,2,1,2,2,0
216_9,1,0,0,1,2,2,1,2,2,0
155_5,0:0.01/1:0.99,0:0.15/2:0.85,0:0.15/1:0.85,0:0.01/1:0.99,0:0.02/2:0.98,0:0.01/2:0.99,0:0.02/1:0.98,0:0.01/2:0.99,0,0
216_6,1,2,1,1,2,2,1,2,0,2
216_5,1,2,1,1,2,2,1,2,0,1
