[&R] ((((216_5:18.229,216_6:33.229)155_5:38.89,((216_9:1.01,216_10:1.01)211_7:24.641,(216_7:1.002,216_8:0.002)212_6:22.649)165_7:40.468)92_2:44.507,((216_1:7.397,216_2:6.397)202_1:24.705,(216_3:1.011,216_4:1.011)213_3:40.091)147_1:77.523)37_1:38.374)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37_1,0,0:0.26/2:0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.26/2:0.74,0,0,0,0,0,0,0:0.26/1:0.74,0,0,0,0,0,0:0.26/1:0.74,0:0.26/1:0.74,0,0,0,0,0,0:0.26/1:0.74,0,0:0.26/1:0.74,0,0,0:0.26/1:0.74,0,0,0:0.26/1:0.74,0,0,0:0.26/2:0.74,0:0.26/1:0.74,0:0.26/2:0.74,0,0:0.26/2:0.74,0,0,0,0,0,0,0,0:0.26/1:0.74,0:0.26/1:0.74,0,0,0:0.26/1:0.74,0,0,0:0.26/1:0.74,0,0,0,0,0,0:0.26/1:0.74,0,0,0,0:0.26/2:0.74,0,0,0,0,0:0.26/2:0.74,0:0.26/1:0.74,0,0,0,0,0,0,0,0,0:0.26/2:0.74,0:0.26/2:0.74,0:0.26/2:0.74,0,0,0,0:0.26/2:0.74,0,0:0.26/2:0.74,0,0:0.26/2:0.74,0,0:0.26/2:0.74,0:0.26/1:0.74,0,0:0.26/1:0.74,0,0,0,0:0.26/1:0.74,0,0,0:0.26/1:0.74,0,0,0,0,0,0,0:0.26/1:0.74,0:0.26/1:0.74,0:0.26/1:0.74,0,0,0,0,0,0:0.26/1:0.74,0,0,0:0.26/2:0.74,0,0,0:0.26/2:0.74,0,0,0,0,0,0,0,0,0,0,0:0.26/2:0.74,0,0,0,0,0:0.26/2:0.74,0,0,0,0,0:0.26/2:0.74,0:0.26/2:0.74,0,0,0,0:0.26/1:0.74,0:0.26/2:0.74,0,0,0:0.26/2:0.74,0,0:0.26/1:0.74,0,0,0,0:0.26/1:0.74,0,0,0,0,0,0:0.26/2:0.74,0,0,0:0.26/1:0.74,0:0.26/2:0.74,0,0,0,0,0,0,0,0,0,0,0,0,0:0.26/1:0.74,0:0.26/2:0.74,0
147_1,0:0.07/1:0.93,0:0.02/2:0.98,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.02/2:0.98,0,0,0,0,0,0,0:0.02/1:0.98,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/1:0.98,0:0.07/2:0.93,0:0.02/1:0.98,0,0:0.07/2:0.93,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0:0.07/1:0.93,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.02/1:0.98,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/2:0.98,0,0:0.07/2:0.93,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.07/1:0.93,0:0.02/2:0.98,0:0.07/1:0.93,0:0.02/2:0.98,0:0.02/1:0.98,0:0.07/1:0.93,0:0.02/1:0.98,0:0.07/2:0.93,0,0,0:0.02/1:0.98,0,0:0.07/1:0.93,0:0.02/1:0.98,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0:0.07/1:0.93,0:0.02/1:0.98,0:0.07/1:0.93,0,0:0.02/2:0.98,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/2:0.98,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.02/2:0.98,0,0,0,0:0.07/1:0.93,0:0.02/2:0.98,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.07/2:0.93,0:0.02/2:0.98,0:0.07/2:0.93,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0,0:0.07/2:0.93,0,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.02/1:0.98,0:0.02/2:0.98,0
213_3,1,2,1,0,2,1,1,0,2,1,2,2,1,2,2,1,1,2,1,2,2,0,0,0,0,0,1,1,2,0,2,2,0,1,1,2,2,1,2,1,1,2,1,0,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,0,0,0,2,1,1,2,1,1,2,0,1,2,1,1,2,0,1,0,2,1,2,2,2,0,0,2,1,1,2,0,2,1,2,1,0,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,2,2,0,0,1,1,1,1,2,2,1,2,0,1,0,0,1,1,2,2,0,0,2,1,2,0,1,2,1,0,2,1,2,2,0,2,1,1,2,0,2,2,2,1,2,0,0,1,0,2,0,1,0,2,0,0,1,2,1,1,1,2,2,0,0,0,1,0,1,2,1,2,0
216_4,1,2,1,0,2,1,1,0,2,1,2,2,1,2,2,1,1,2,1,2,2,0,0,0,0,0,1,1,2,0,2,2,0,1,1,2,2,1,2,1,1,2,1,0,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,0,0,0,2,1,1,2,1,1,2,0,1,2,1,1,2,0,1,0,2,1,2,2,2,2,0,2,1,1,2,0,2,1,2,1,0,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,2,2,0,0,1,1,1,1,2,2,1,2,0,1,0,0,1,1,2,2,0,0,2,1,2,0,1,2,1,0,2,1,2,2,0,2,1,1,2,0,2,2,2,1,2,0,0,1,0,2,0,1,0,2,0,0,1,2,1,1,1,2,2,0,0,0,1,0,1,2,1,2,0
216_3,1,2,1,0,2,1,1,0,2,1,2,2,1,2,2,1,1,2,1,2,2,0,0,0,0,0,1,1,2,0,2,2,0,1,1,2,2,1,2,1,1,2,1,0,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,0,0,0,2,1,1,2,1,1,2,0,1,2,1,1,2,0,1,0,2,1,2,2,2,0,0,2,1,1,2,0,2,1,2,1,0,2,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,2,2,0,0,1,1,1,1,2,2,1,2,0,1,0,0,1,1,2,2,0,0,2,1,2,0,1,2,1,0,2,1,2,2,0,2,1,1,2,1,2,2,2,1,2,0,0,1,0,2,0,1,0,2,0,0,1,2,1,1,1,2,2,0,0,0,1,0,1,2,1,2,0
202_1,1,2,0,0,2,0:0.02/2:0.98,1,0,2,1,2,2,0:0.02/2:0.98,2,2,1,0,0,1,2,2,0,0,0,0,0,0:0.02/2:0.98,1,0,0,2,2,0:0.02/2:0.98,1,1,2,2,1,2,1,1,2,1,0,2,1,0:0.02/1:0.98,0,1,0,1,2,1,2,0,2,1,0,2,0,0,0:0.02/2:0.98,0:0.02/1:0.98,1,1,2,1,1,0,0,1,2,1,1,2,0:0.02/2:0.98,1,0,2,1,2,0,2,0,0,2,1,1,2,0,2,1,2,0:0.02/2:0.98,0:0.02/2:0.98,2,2,2,0,1,1,2,0,2,1,2,1,2,1,1,1,2,0,0,1,0:0.02/2:0.98,1,1,0:0.02/2:0.98,2,2,0:0.02/1:0.98,1,1,1,1,1,0,0,0:0.02/1:0.98,0,1,1,1,0,2,2,1,2,0,1,0,0,0,1,2,2,0,0,2,0:0.02/2:0.98,0,0:0.02/1:0.98,1,2,0,0,2,1,2,2,0,2,1,1,2,0,2,2,2,1,0,0,0,1,0:0.02/2:0.98,2,0,0,0,2,0,0,1,2,1,0:0.02/2:0.98,0,2,2,0,0,0,1,0,1,0:0.02/1:0.98,1,2,0
216_2,1,2,0,0,2,2,1,0,2,1,2,2,2,2,2,1,0,0,1,2,2,0,0,0,0,0,2,1,0,0,2,2,2,1,1,2,2,1,2,1,1,2,1,0,2,1,1,0,1,0,1,2,1,2,2,2,1,0,2,0,0,2,1,1,1,2,1,1,0,0,1,2,1,1,2,2,1,0,2,1,2,0,2,0,0,2,1,1,2,2,2,1,2,2,2,2,2,2,0,1,1,2,0,2,1,2,1,2,1,1,1,2,1,0,1,2,1,1,2,2,2,1,1,1,1,1,1,0,0,1,0,1,1,1,0,2,2,1,2,0,1,0,0,2,1,2,2,0,0,2,2,0,1,1,2,0,1,2,1,2,2,0,2,1,1,2,0,2,2,2,1,0,0,0,1,2,2,0,0,0,2,0,0,1,2,1,2,0,2,2,0,0,0,1,0,1,1,1,2,2
216_1,1,2,2,0,2,2,1,0,2,1,2,2,2,2,2,1,0,0,1,2,2,0,0,0,0,0,2,1,0,1,2,2,2,1,1,2,2,1,2,1,1,2,1,0,2,1,1,0,1,0,1,2,1,2,0,2,1,1,2,1,0,2,1,1,1,2,1,1,0,0,1,2,1,1,2,2,1,0,2,1,2,0,2,0,2,2,1,1,2,0,2,1,2,2,2,2,2,2,0,1,1,2,2,2,1,2,1,2,1,1,1,2,0,0,1,2,1,1,2,2,2,1,1,1,1,1,1,0,0,1,2,1,1,1,0,2,2,1,2,0,1,0,0,0,1,2,2,0,0,2,2,0,1,1,2,0,0,2,1,2,2,0,2,1,1,2,0,2,2,2,1,0,0,0,1,2,2,0,0,0,2,0,0,1,2,1,2,0,2,2,0,0,0,1,0,1,1,1,2,0
92_2,0,0:0.04/2:0.96,0,0,0:0.15/1:0.85,0:0.15/2:0.85,0,0,0,0,0:0.15/1:0.85,0,0:0.15/2:0.85,0:0.15/1:0.85,0,0,0,0,0,0,0:0.04/2:0.96,0,0:0.15/2:0.85,0:0.15/2:0.85,0,0,0,0:0.04/1:0.96,0,0:0.15/1:0.85,0:0.15/1:0.85,0,0,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0,0,0,0:0.04/1:0.96,0:0.15/1:0.85,0:0.04/1:0.96,0,0,0:0.04/1:0.96,0:0.15/2:0.85,0:0.15/1:0.85,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0:0.04/1:0.96,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0,0,0:0.15/2:0.85,0,0:0.15/2:0.85,0:0.15/1:0.85,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0:0.04/1:0.96,0,0,0:0.04/1:0.96,0,0,0,0:0.15/1:0.85,0:0.15/1:0.85,0:0.04/1:0.96,0,0:0.15/1:0.85,0,0:0.04/2:0.96,0:0.15/1:0.85,0,0,0,0:0.04/2:0.96,0:0.04/1:0.96,0,0,0,0,0,0:0.15/1:0.85,0,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.15/2:0.85,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0:0.04/1:0.96,0:0.15/2:0.85,0:0.04/1:0.96,0,0,0:0.15/2:0.85,0:0.04/1:0.96,0:0.15/1:0.85,0,0:0.04/1:0.96,0,0,0,0:0.15/1:0.85,0,0:0.15/2:0.85,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/1:0.96,0,0:0.15/1:0.85,0:0.15/1:0.85,0:0.15/1:0.85,0,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0,0,0:0.04/2:0.96,0,0,0,0:0.15/1:0.85,0,0,0,0,0,0,0:0.04/2:0.96,0,0,0,0,0:0.04/2:0.96,0:0.15/1:0.85,0,0,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.15/1:0.85,0,0:0.15/2:0.85,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0,0,0:0.04/1:0.96,0,0,0,0:0.15/1:0.85,0,0:0.04/2:0.96,0:0.15/1:0.85,0,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0,0:0.15/1:0.85,0,0,0,0:0.15/2:0.85,0:0.15/2:0.85,0:0.15/1:0.85,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0
165_7,0,2,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0,2,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.08/2:0.92,0:0.08/2:0.92,1,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,1,1,0,0:0.08/2:0.92,0,0:0.08/2:0.92,0,1,0:0.01/1:0.99,1,0,0,1,0:0.01/2:0.99,0:0.01/1:0.99,1,0:0.08/1:0.92,0,2,1,2,0:0.08/1:0.92,2,0,0:0.08/1:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,1,1,0,0,1,0:0.08/2:0.92,0:0.08/2:0.92,1,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,1,0,0:0.01/1:0.99,0:0.08/1:0.92,2,0:0.01/1:0.99,0,0,0,2,1,0:0.08/2:0.92,0,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0,0,2,2,2,0,0:0.01/2:0.99,0:0.08/2:0.92,2,0:0.08/2:0.92,2,0,2,0:0.08/2:0.92,2,1,0:0.01/2:0.99,1,0:0.08/2:0.92,0,0:0.01/2:0.99,1,0:0.01/1:0.99,0,1,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0:0.01/2:0.99,1,1,1,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.08/2:0.92,1,0:0.08/2:0.92,0,2,0:0.08/2:0.92,0,2,0:0.08/1:0.92,0,0,0:0.01/1:0.99,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0,0:0.08/1:0.92,2,0,0,0,0,2,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.08/2:0.92,2,2,0:0.01/1:0.99,0,0:0.01/2:0.99,1,2,0,0,2,0:0.08/2:0.92,1,0,0,0:0.08/2:0.92,1,0,0:0.08/2:0.92,0,0:0.01/1:0.99,0,2,0:0.01/1:0.99,0:0.08/1:0.92,1,2,0,0,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,1,2,0
