[&R] ((((216_5:10.118,216_6:18.118)155_5:24.839,((216_9:0.002,216_10:1.002)211_7:11.704,(216_7:2.006,216_8:0.006)212_6:10.699)165_7:25.252)92_2:38.751,((216_1:3.042,216_2:2.042)202_1:13.433,(216_3:1.007,216_4:1.007)213_3:19.467)147_1:62.234)37_1:47.291)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37_1,0,0,0,0,0:0.16/1:0.84,0,0,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0,0:0.16/2:0.84,0,0,0,0:0.16/1:0.84,0,0,0,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0:0.16/2:0.84,0,0:0.16/1:0.84,0,0,0,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0:0.16/2:0.84,0,0,0,0,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0,0:0.16/1:0.84,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0:0.16/1:0.84,0,0:0.16/1:0.84,0,0:0.16/1:0.84,0,0,0,0,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0,0,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0,0,0:0.16/2:0.84,0:0.16/1:0.84,0,0,0,0,0:0.16/2:0.84,0,0,0,0:0.16/2:0.84,0,0,0,0,0,0:0.16/2:0.84,0,0:0.16/1:0.84,0:0.16/2:0.84,0,0,0,0,0,0,0:0.16/1:0.84,0,0:0.16/2:0.84,0,0:0.16/2:0.84,0,0,0,0,0,0,0,0
147_1,0:0.02/1:0.98,0,0:0.02/2:0.98,0,1,0,0,0:0.02/2:0.98,0,0,2,2,2,2,0,0,2,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0,0,0,0:0.02/1:0.98,0,1,0,0,0,2,0:0.02/2:0.98,0,0:0.02/2:0.98,1,0,0,0,0:0.02/2:0.98,2,0,1,0,2,0:0.02/1:0.98,1,2,0,1,0,0,0,0,1,0,2,1,0,0:0.02/1:0.98,0,0:0.02/1:0.98,2,0,0,0:0.02/1:0.98,0,2,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,1,0,0,2,1,2,2,0,0,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,2,0,1,1,0,1,0:0.02/2:0.98,1,0,0:0.02/1:0.98,0,0,0,0,0,2,1,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,1,0:0.02/1:0.98,2,0:0.02/2:0.98,0,2,2,2,1,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,2,1,2,2,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,2,2,2,2,0,0,2,1,0,0,0,0,2,0:0.02/2:0.98,0,0:0.02/1:0.98,2,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,2,0,1,2,0,0,0:0.02/2:0.98,0,0,0,1,0,2,0:0.02/1:0.98,2,0,0:0.02/1:0.98,0,0,0,0,0:0.02/2:0.98,0
213_3,1,1,2,0,1,0,0,2,0,1,2,2,2,2,0,0,2,1,0,0,1,2,2,0,2,1,1,2,0,1,0,2,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,1,2,1,0,0,2,2,2,0,1,0,2,1,1,2,2,1,0,0,0,1,1,2,2,1,0,1,0,1,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,1,2,0,2,1,2,2,0,0,0,1,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,0,1,0,0,2,1,1,2,0,2,1,1,1,2,2,0,2,2,2,1,0,2,2,0,1,1,0,2,1,2,2,2,0,1,2,2,2,2,2,1,0,2,1,0,0,0,0,2,2,0,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,1,1,0,2,1,2,1,1,0,0,0,0,2,0
216_4,1,1,2,0,1,0,0,2,0,1,2,2,2,2,0,0,2,1,0,0,1,2,2,0,2,1,1,2,0,1,0,2,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,1,2,1,0,0,2,2,2,0,1,0,2,1,1,2,2,1,2,0,0,1,1,2,2,1,0,1,0,1,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,1,2,0,2,1,2,2,0,0,0,1,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,0,1,0,0,2,1,1,2,0,2,1,1,1,2,2,0,2,2,2,1,0,2,2,0,1,1,0,2,1,2,2,2,0,1,2,2,2,2,2,1,0,2,1,0,0,0,0,2,2,0,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,1,1,0,2,1,2,1,1,0,0,0,0,2,0
216_3,1,1,2,0,1,0,0,2,0,1,2,2,2,2,0,0,2,1,0,0,1,2,2,0,2,1,1,2,0,1,0,2,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,1,2,1,0,0,2,2,2,0,1,0,2,1,1,2,2,1,0,0,0,1,1,2,2,1,0,1,0,1,2,0,0,1,2,2,2,1,0,2,1,2,2,0,1,1,2,0,2,1,2,2,0,0,0,1,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,0,1,0,0,2,1,1,2,0,2,1,1,1,2,2,1,2,2,2,1,0,2,2,0,1,1,0,2,1,2,2,2,0,1,2,2,2,2,2,1,0,2,1,0,0,0,0,2,2,0,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,1,1,0,2,1,2,1,1,0,0,0,0,2,0
202_1,1,0,2,0,1,0,0,2,0,0,2,2,2,2,0,0,2,1,0,2,0,2,2,0,2,1,1,2,0,1,0,0,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,1,0,0,0,2,2,1,1,0,2,1,1,2,0,1,2,0,0,0,1,1,2,1,0,1,0,1,2,0,2,1,0,2,2,1,0,2,1,2,2,0,1,1,0,0,2,1,2,2,2,2,0,0,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,0,0,2,0,2,1,0,2,0,2,1,1,1,2,2,0,2,2,2,1,0,2,2,0,1,0,0,2,1,2,2,2,0,1,2,2,2,2,2,0,0,2,1,1,1,0,0,2,2,0,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,0,1,2,2,1,2,0,1,0,1,0,0,2,0
216_2,1,0,2,0,1,0,0,2,0,0,2,2,2,2,0,0,2,1,0,2,0,2,2,0,2,1,1,2,0,1,0,0,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,1,0,0,0,2,2,1,1,0,2,1,1,2,0,1,2,0,0,0,1,1,2,1,0,1,0,1,2,0,2,1,0,2,2,1,0,2,1,2,2,0,1,1,0,0,2,1,2,2,2,2,0,0,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,1,0,2,0,2,1,0,2,0,2,1,1,1,2,2,0,2,2,2,1,0,2,2,0,1,0,0,2,1,2,2,2,0,1,2,2,2,2,2,0,0,2,1,1,1,0,0,2,2,1,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,0,1,2,2,1,2,0,1,0,1,0,0,2,0
216_1,1,0,2,0,1,0,0,2,0,0,2,2,2,2,2,0,2,1,0,2,0,2,2,0,2,1,1,2,0,1,0,0,2,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,1,0,0,0,2,2,1,1,0,2,1,1,2,0,1,2,0,0,2,1,1,2,1,0,1,0,1,2,0,2,1,0,2,2,1,0,2,1,2,2,0,1,1,0,0,2,1,2,2,2,2,0,0,2,2,0,1,2,0,1,1,0,1,2,1,0,1,0,0,0,2,0,2,1,0,2,0,2,1,1,1,2,2,0,2,2,2,1,0,2,2,0,1,0,0,2,1,2,2,2,0,1,2,2,2,2,2,0,0,2,1,1,1,0,0,2,2,0,1,2,0,0,2,2,1,2,0,1,2,0,0,2,0,0,0,1,2,2,1,2,0,1,2,1,0,0,2,0
92_2,0,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/2:0.93,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0,0,0,0,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.07/1:0.93,0:0.01/2:0.99,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0,0,0,0
165_7,0:0.03/1:0.97,0:0.03/1:0.97,0,1,1,0,2,0,1,0,2,2,2,2,0:0.03/1:0.97,0,2,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0:0.03/1:0.97,2,0,0,0:0.03/1:0.97,0,0,0,0,2,0,0,0,0,0:0.03/1:0.97,0,0,0,0,2,0,0,1,1,2,0,2,0,0:0.03/1:0.97,1,1,0,1,0,0,2,0,1,0:0.03/1:0.97,2,0,1,2,1,1,0,2,0:0.03/1:0.97,0,1,0:0.03/1:0.97,2,1,0,0,0,0:0.03/1:0.97,2,0,0:0.03/2:0.97,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,2,0,2,2,0,0,0,2,0:0.03/1:0.97,2,0,1,1,0,1,0,1,1,2,0,2,0,1,0,2,1,1,0:0.03/1:0.97,0,1,0,1,0,2,1,0,2,2,2,1,2,0,0,0,0:0.03/1:0.97,0,1,2,1,2,2,0,0,2,0,2,2,2,2,0,1,2,1,0,0,0:0.03/2:0.97,1,2,0,2,0,2,0,0:0.03/1:0.97,0,1,0,2,0,1,2,0,0,0:0.03/1:0.97,0,0,0,1,0:0.03/2:0.97,2,0,2,0,0,2,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0
212_6,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,2,2,2,0,2,0,0,1,2,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,0,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,0,0,0,1,2,0,2,0,2,2,0,1,0,0,1,0,1,0,2,1,1,0,2,1,2,2,0,2,2,0,0,0,2,1,2,0,1,1,0,1,2,1,1,2,0,2,0,1,0,2,1,1,1,0,1,0,1,0,2,1,0,2,2,2,1,2,0,1,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,0,1,2,1,0,0,2,1,2,1,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,2
216_8,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,2,2,2,0,2,0,0,1,2,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,0,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,0,0,0,1,2,0,2,0,2,2,0,1,0,0,1,0,1,0,2,1,1,0,2,1,2,2,0,2,2,0,0,0,2,1,2,0,1,1,0,1,2,1,1,2,0,2,0,1,0,2,1,1,1,0,1,0,1,0,2,1,0,2,2,2,1,2,0,1,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,0,1,2,1,0,0,2,1,2,1,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,2
216_7,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,2,2,2,0,2,0,0,1,2,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,0,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,0,0,0,1,2,0,2,0,2,2,0,1,0,0,1,0,1,0,2,1,1,0,2,1,2,2,0,2,2,0,1,0,2,1,2,0,1,1,0,1,2,1,1,2,0,2,0,1,0,2,1,1,1,0,1,1,1,0,2,1,0,2,2,2,1,2,0,1,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,0,1,2,1,0,0,2,1,2,1,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,2
211_7,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,0,2,2,0,2,1,0,1,2,2,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,2,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,2,2,0,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,2,0,0,0,2,1,2,0,1,1,0,1,0,1,1,2,0,2,2,1,0,2,1,1,1,2,1,0,1,0,2,1,0,2,2,2,1,2,0,0,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,2,1,2,1,0,0,2,1,2,0,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,0
216_10,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,0,2,2,0,2,1,0,1,2,2,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,2,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,2,2,0,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,2,0,2,0,2,1,2,0,1,1,0,1,0,1,1,2,0,2,2,1,0,2,1,1,1,2,1,0,1,0,2,1,0,2,2,2,1,2,0,0,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,2,1,2,1,0,0,2,1,2,0,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,0
216_9,1,1,0,1,1,0,2,0,1,0,2,2,2,2,1,0,2,2,0,2,1,0,1,2,2,0,1,0,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0,2,0,1,1,1,0,1,0,2,2,0,1,1,2,0,1,2,1,1,0,2,1,0,1,1,2,1,2,2,0,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,2,0,0,0,2,1,2,0,1,1,0,1,0,1,1,2,0,2,2,1,0,2,1,1,1,2,1,0,1,0,2,1,0,2,2,2,1,2,0,0,0,1,0,1,2,1,2,2,0,0,2,0,2,2,2,2,2,1,2,1,0,0,2,1,2,0,2,0,2,0,1,0,1,0,2,0,1,2,0,0,1,0,0,0,1,2,2,0,2,0,0,2,1,0,1,0,0
155_5,0,0,0,1,1,0,2,0:0.04/1:0.96,1,0,2,2,2,2,0,0:0.04/2:0.96,2,0:0.04/1:0.96,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0,2,0,0,0,0,0:0.04/1:0.96,0,0:0.04/1:0.96,2,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0:0.04/2:0.96,0:0.04/1:0.96,0,2,0,0,1,1,2,0,2,0,0:0.04/2:0.96,1,1,0,1,0:0.04/2:0.96,0,2,0,1,0,2,0:0.04/1:0.96,1,2,1,1,0,2,0,0,1,0,2,1,0,0:0.04/1:0.96,0:0.04/1:0.96,0,2,0,0,0,2,2,0:0.04/2:0.96,0,0,0,0,0:0.04/2:0.96,1,0,0,1,1,0,2,1,2,2,0,2,2,0,0,0,2,0,2,0,1,1,0:0.04/2:0.96,1,0,1,1,2,0:0.04/1:0.96,2,0,1,0,2,1,1,0,0,1,0,1,0,2,1,0,2,2,2,1,2,0,0,0,0,0:0.04/2:0.96,1,2,1,2,2,0,0,2,0,2,2,2,2,0,1,2,1,0,0,0,1,2,0,2,0,2,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,0,2,0:0.04/1:0.96,2,0,0,2,0,0:0.04/2:0.96,0,0,0
216_6,0,1,2,1,1,0,2,1,1,0,2,2,2,2,0,2,2,1,2,0,1,1,0,2,0,0,0,0,1,0,1,2,0,0,1,2,0,0,2,1,0,2,0,0,1,1,2,0,2,0,2,1,1,0,1,2,0,2,0,1,0,2,1,1,2,1,1,1,2,0,0,1,0,2,1,0,1,1,0,2,0,2,0,2,2,2,0,2,2,0,2,1,0,2,1,1,0,2,1,2,2,0,2,2,0,0,0,2,0,2,0,1,1,2,1,2,1,1,2,1,2,0,1,0,2,1,1,0,0,1,0,1,0,2,1,0,2,2,2,1,2,1,0,0,0,2,1,2,1,2,2,0,0,2,2,2,2,2,2,0,1,2,1,1,0,1,1,2,0,2,0,2,0,1,0,1,0,2,0,1,2,2,0,0,0,0,0,1,0,2,1,2,2,0,2,1,2,0,0,0
216_5,0,0,0,1,1,0,2,1,1,0,2,2,2,2,0,2,2,1,2,0,1,2,0,2,0,0,0,0,1,0,1,2,0,0,1,2,0,0,2,1,0,2,0,0,1,1,2,0,2,0,2,1,1,0,1,2,0,2,0,1,1,2,1,1,2,1,1,0,2,0,0,1,0,2,1,1,1,1,2,2,0,0,0,2,2,2,0,0,0,0,2,1,0,0,1,1,0,2,1,2,2,0,2,2,2,0,0,2,0,2,0,1,1,2,1,0,1,1,2,1,2,0,1,0,2,1,1,0,0,1,0,1,0,2,1,0,2,2,2,1,2,0,2,0,0,2,1,2,1,2,2,2,0,2,0,2,2,2,2,0,1,2,1,0,0,0,1,2,1,2,0,2,0,2,0,1,0,2,0,1,2,0,0,0,0,0,0,1,0,2,1,2,0,0,2,0,2,0,0,0
