[&R] ((((216_5:14.006,216_6:20.006)155_5:22.933,((216_9:1.01,216_10:1.01)211_7:14.21,(216_7:2.009,216_8:0.009)212_6:11.211)165_7:28.719)92_2:58.072,((216_1:2.021,216_2:1.021)202_1:22.971,(216_3:1.002,216_4:0.002)213_3:26.99)147_1:75.019)37_1:46.989)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37_1,0:0.25/1:0.75,0:0.25/2:0.75,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0:0.25/1:0.75,0,0,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0,0:0.25/2:0.75,0,0,0,0,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0:0.25/1:0.75,0:0.25/2:0.75,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0,0:0.25/1:0.75,0:0.25/1:0.75,0:0.25/2:0.75,0:0.25/1:0.75,0:0.25/1:0.75,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0,0,0,0,0,0,0:0.25/1:0.75,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0:0.25/1:0.75,0:0.25/1:0.75,0:0.25/2:0.75,0:0.25/2:0.75,0:0.25/2:0.75,0,0,0,0,0:0.25/2:0.75,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0,0,0,0,0:0.25/2:0.75,0:0.25/1:0.75,0,0,0,0,0,0,0,0,0,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0,0,0:0.25/1:0.75,0,0,0,0,0,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0:0.25/2:0.75,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0,0,0,0,0,0:0.25/1:0.75,0,0:0.25/1:0.75,0,0,0
147_1,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0,0,0:0.01/2:0.99,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0,0,0,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.05/2:0.95,0:0.01/1:0.99,0:0.05/1:0.95,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0,0:0.05/2:0.95,0,0,0,0:0.01/2:0.99,0:0.05/2:0.95,0,0,0:0.05/2:0.95,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.05/2:0.95,0:0.01/2:0.99,0:0.05/2:0.95,0:0.05/2:0.95,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.05/2:0.95,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.05/2:0.95,0,0:0.05/2:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0:0.05/2:0.95,0:0.05/2:0.95,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.05/2:0.95,0,0:0.05/1:0.95,0:0.01/2:0.99,0:0.01/1:0.99,0:0.05/2:0.95,0:0.05/2:0.95,0,0,0:0.05/2:0.95,0,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/2:0.95,0:0.05/1:0.95,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.05/2:0.95,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.01/1:0.99,0:0.05/2:0.95,0,0:0.05/1:0.95,0,0:0.05/2:0.95,0,0:0.05/2:0.95,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.05/1:0.95,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0:0.05/1:0.95,0:0.01/2:0.99,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.01/1:0.99,0:0.05/1:0.95,0,0:0.05/2:0.95,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.01/1:0.99,0:0.05/2:0.95,0:0.01/1:0.99,0,0,0:0.05/2:0.95
213_3,1,2,0,0,1,1,1,2,2,0,1,2,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,1,0,2,1,0,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,0,1,1,0,1,1,2,1,1,2,0,0,2,1,1,1,0,1,0,1,0,2,1,1,1,2,0,2,1,1,2,2,2,2,2,0,2,2,1,2,2,2,0,1,2,0,1,2,1,1,0,1,0,1,2,0,1,2,1,2,2,0,2,2,0,1,1,1,2,1,2,2,1,2,1,1,0,1,1,2,2,1,0,2,0,2,2,0,2,1,1,2,2,0,1,2,0,0,1,2,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0,1,2,1,0,1,2
216_4,1,2,0,0,1,1,1,2,2,0,1,2,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,1,0,2,1,0,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,0,1,1,0,1,1,2,1,1,2,0,0,2,1,1,1,0,1,0,1,0,2,1,1,1,2,0,2,1,1,2,2,2,2,2,0,2,2,1,2,2,2,0,1,2,0,1,2,1,1,0,1,0,1,2,0,1,2,1,2,2,0,2,2,0,1,1,1,2,1,2,2,1,2,1,1,0,1,1,2,2,1,0,2,0,2,2,0,2,1,1,2,2,0,1,2,0,0,1,2,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0,1,2,1,0,1,2
216_3,1,2,0,0,1,1,1,2,2,0,1,2,0,0,2,0,1,0,1,0,0,0,2,0,0,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,0,2,2,0,0,1,1,2,0,1,0,2,2,1,0,2,1,0,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,0,1,1,0,1,1,2,1,1,2,0,0,2,1,1,1,0,1,0,1,0,2,1,1,1,2,0,2,1,1,2,2,2,2,2,0,2,2,1,2,2,2,0,1,2,0,1,2,1,1,0,1,0,1,2,0,1,2,1,2,2,0,2,2,0,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,0,2,0,2,2,0,2,1,1,2,2,0,1,2,0,0,1,2,1,0,1,0,1,1,2,1,1,1,2,2,1,1,0,1,2,1,0,1,2
202_1,1,2,2,1,1,1,0,0,2,0,1,2,0,1,2,0,1,2,1,0,0,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,1,2,1,0,1,0,0,2,0,0,0,2,2,0,2,2,1,0,0,2,1,2,2,2,2,0,2,2,1,2,2,2,1,2,2,0,1,1,2,1,1,2,1,1,2,0,2,2,1,1,1,0,1,1,1,1,2,1,1,1,0,0,2,1,1,2,2,2,0,2,0,2,2,1,2,2,2,0,1,2,0,0,2,0,1,2,1,0,1,2,0,1,2,1,2,2,1,0,2,1,1,1,1,2,1,2,0,1,2,1,1,0,1,1,2,0,1,1,2,0,2,2,0,2,1,1,2,2,2,1,0,0,0,1,2,1,0,1,0,1,1,0,1,1,0,2,0,1,1,0,1,2,1,0,0,2
216_2,1,2,2,1,1,1,0,0,2,0,1,2,0,1,2,0,1,2,1,0,0,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,1,2,1,0,1,0,0,2,0,0,0,2,2,0,2,2,1,0,0,2,1,2,2,2,2,0,2,2,1,2,2,2,1,2,2,0,1,1,2,1,1,2,1,1,2,0,2,2,1,1,1,2,1,1,1,1,2,1,1,1,0,0,2,1,1,2,2,2,0,2,0,2,2,1,2,2,2,0,1,2,0,0,2,0,1,2,1,0,1,2,0,1,2,1,2,2,1,0,2,1,1,1,1,2,1,2,0,1,2,1,1,0,1,1,2,0,1,1,2,0,2,2,0,2,1,1,2,2,2,1,0,0,0,1,2,1,0,1,0,1,1,0,1,1,0,2,0,1,1,0,1,2,1,0,0,2
216_1,1,2,2,1,1,1,0,0,2,0,1,2,0,1,2,2,1,2,1,0,0,0,0,0,2,2,2,1,1,1,0,0,0,2,2,2,1,0,2,1,1,0,2,2,1,2,1,0,1,0,0,2,2,0,0,2,2,0,2,2,1,0,0,2,1,2,2,2,2,0,2,2,1,2,2,2,1,2,2,0,1,1,2,1,1,2,1,1,2,0,2,2,1,1,1,0,1,1,1,1,2,1,1,1,0,0,2,1,1,2,2,2,0,2,0,2,2,1,2,2,2,0,1,2,0,0,2,0,1,2,1,0,1,2,0,1,2,1,2,2,1,0,2,1,1,1,1,2,1,2,0,1,2,1,1,0,1,1,2,0,1,1,2,0,2,2,0,2,1,1,2,2,2,1,0,0,0,1,2,1,0,1,0,1,1,0,1,1,0,2,0,1,1,0,1,2,1,0,0,2
92_2,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0,0,0,0,0:0.06/2:0.94,0,0:0.06/2:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0,0:0.06/1:0.94,0,0,0:0.02/1:0.98,0:0.06/2:0.94,0,0:0.06/1:0.94,0:0.02/2:0.98,0:0.06/1:0.94,0:0.02/2:0.98,0:0.02/1:0.98,0:0.06/2:0.94,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0:0.06/2:0.94,0:0.02/2:0.98,0,0:0.06/2:0.94,0:0.06/2:0.94,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/1:0.94,0,0,0,0:0.02/2:0.98,0,0,0:0.06/2:0.94,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.06/1:0.94,0:0.02/2:0.98,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.06/2:0.94,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.06/1:0.94,0:0.02/2:0.98,0:0.06/2:0.94,0,0,0,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.06/1:0.94,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.06/1:0.94,0:0.06/1:0.94,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.06/2:0.94,0,0,0,0,0:0.06/2:0.94,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.06/2:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0:0.06/2:0.94,0,0,0,0:0.06/1:0.94,0:0.06/2:0.94,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0,0,0:0.06/2:0.94,0:0.06/2:0.94,0:0.02/1:0.98,0,0:0.06/2:0.94,0,0:0.06/2:0.94,0,0,0,0:0.02/2:0.98,0:0.06/2:0.94,0:0.02/2:0.98,0:0.06/2:0.94,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.06/1:0.94,0:0.06/2:0.94,0,0,0:0.02/2:0.98,0,0,0,0,0,0,0,0:0.02/1:0.98,0:0.06/2:0.94,0:0.06/1:0.94,0:0.06/1:0.94,0,0,0,0:0.06/1:0.94,0:0.02/1:0.98,0:0.06/1:0.94,0:0.02/1:0.98,0,0,0:0.06/1:0.94
165_7,1,2,0:0.04/1:0.96,0,1,1,0,0,2,0,1,0,0:0.04/1:0.96,0,2,0,0,0,0,2,0,2,1,1,1,0,1,0:0.04/2:0.96,0,1,2,0,1,2,1,2,1,2,0,1,0,0:0.04/1:0.96,0,2,2,2,0:0.04/1:0.96,2,2,1,2,1,0:0.04/2:0.96,0,0,2,0,0,2,0,1,0,0:0.04/1:0.96,2,0:0.04/2:0.96,1,2,0,0,0:0.04/1:0.96,2,0:0.04/2:0.96,1,0,0,2,1,2,0:0.04/1:0.96,2,1,1,0:0.04/1:0.96,1,1,2,1,1,2,0,1,2,2,0:0.04/2:0.96,0:0.04/1:0.96,0,0:0.04/2:0.96,0,1,0:0.04/2:0.96,2,0,1,1,0,0,2,1,1,2,2,2,1,0,0,0:0.04/1:0.96,2,1,0:0.04/1:0.96,0,2,0:0.04/1:0.96,1,0,1,1,2,0,1,0:0.04/2:0.96,2,0,0,0,0,2,2,1,0,0,2,1,1,2,0:0.04/1:0.96,0,0,1,2,2,0,1,0,0,0,2,2,1,0:0.04/2:0.96,2,0,2,0:0.04/2:0.96,0,0,2,2,2,2,1,2,2,0,1,1,2,0:0.04/2:0.96,0,2,0,0,0:0.04/1:0.96,0,0,0,0,1,2,1,1,0,0,0:0.04/2:0.96,1,1,1,1,0,0,1
