[&R] ((((216_5:13.72,216_6:16.72)155_5:41.902,((216_9:3.034,216_10:1.034)211_7:23.806,(216_7:1.008,216_8:1.008)212_6:19.832)165_7:24.782)92_2:48.484,((216_1:3.108,216_2:4.108)202_1:24.29,(216_3:1.008,216_4:1.008)213_3:23.39)147_1:72.708)37_1:42.893)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37_1,0,0,0,0:0.23/1:0.77,0:0.23/1:0.77,0,0,0:0.23/2:0.77,0,0,0,0:0.23/1:0.77,0,0,0,0:0.23/2:0.77,0,0,0:0.23/1:0.77,0,0,0,0:0.23/2:0.77,0,0,0:0.23/2:0.77,0:0.23/1:0.77,0,0,0:0.23/2:0.77,0:0.23/2:0.77,0:0.23/2:0.77,0:0.23/2:0.77,0,0,0,0,0:0.23/1:0.77,0,0:0.23/1:0.77,0:0.23/2:0.77,0:0.23/2:0.77,0:0.23/1:0.77,0,0,0,0,0,0,0,0:0.23/1:0.77,0,0,0,0,0,0,0,0,0,0,0:0.23/2:0.77,0,0:0.23/2:0.77,0,0,0,0,0:0.23/2:0.77,0,0:0.23/2:0.77,0,0:0.23/1:0.77,0:0.23/2:0.77,0,0:0.23/2:0.77,0:0.23/2:0.77,0,0:0.23/1:0.77,0,0,0,0,0:0.23/2:0.77,0,0,0:0.23/1:0.77,0,0,0:0.23/1:0.77,0,0:0.23/2:0.77,0,0,0,0:0.23/2:0.77,0:0.23/2:0.77,0,0,0,0,0:0.23/1:0.77,0,0,0,0,0,0,0:0.23/1:0.77,0,0,0,0,0,0,0:0.23/1:0.77,0,0:0.23/1:0.77,0,0:0.23/2:0.77,0,0,0,0,0,0,0,0:0.23/2:0.77,0,0,0,0,0:0.23/2:0.77,0,0,0,0:0.23/1:0.77,0,0:0.23/1:0.77,0:0.23/1:0.77,0,0,0,0:0.23/1:0.77,0,0:0.23/1:0.77,0:0.23/1:0.77,0,0,0,0,0,0,0,0,0,0:0.23/2:0.77,0:0.23/1:0.77,0,0:0.23/2:0.77,0,0,0,0,0:0.23/2:0.77,0,0,0,0:0.23/2:0.77,0:0.23/2:0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.23/2:0.77,0,0:0.23/2:0.77,0:0.23/1:0.77,0,0,0,0,0,0,0,0,0,0,0,0
147_1,0:0.04/1:0.96,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.04/1:0.96,0:0.04/2:0.96,0:0.01/1:0.99,0:0.04/1:0.96,0:0.04/2:0.96,0,0:0.01/2:0.99,0,0:0.04/1:0.96,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.04/2:0.96,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0:0.01/1:0.99,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.01/1:0.99,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0:0.04/1:0.96,0,0,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0:0.04/2:0.96,0:0.01/2:0.99,0:0.04/2:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.04/2:0.96,0,0,0:0.01/2:0.99,0:0.04/1:0.96,0:0.04/1:0.96,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0:0.04/1:0.96,0,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.04/1:0.96,0:0.04/1:0.96,0:0.01/1:0.99,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.01/1:0.99,0,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0,0,0:0.04/2:0.96,0:0.01/2:0.99,0:0.04/2:0.96,0:0.04/1:0.96,0,0,0:0.01/2:0.99,0,0:0.04/2:0.96,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.04/2:0.96,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.04/1:0.96,0,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.04/2:0.96,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.04/1:0.96,0:0.04/1:0.96,0:0.04/2:0.96,0:0.01/2:0.99,0,0,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0,0,0,0:0.04/2:0.96,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.04/2:0.96,0,0,0,0:0.04/1:0.96,0:0.04/1:0.96,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0:0.04/1:0.96
213_3,1,0,0,1,1,0,0,2,1,1,2,1,1,2,0,2,0,1,1,1,2,0,2,1,0,2,1,2,0,2,2,2,2,1,2,0,0,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,0,2,1,0,0,2,1,2,0,0,1,1,2,2,2,2,1,2,0,2,2,2,1,0,2,0,0,2,1,1,1,2,0,1,1,2,1,0,1,2,2,1,2,1,1,1,0,2,2,2,2,0,1,2,2,2,2,1,1,1,0,1,0,2,2,0,2,0,0,0,2,2,2,1,0,0,2,0,2,0,1,0,1,1,0,2,0,1,2,1,1,1,0,1,1,0,0,2,2,2,2,1,0,2,0,1,1,2,2,1,0,1,2,2,0,0,0,1,0,0,0,0,0,2,0,0,1,2,2,1,2,1,0,2,2,1,0,1,1,0,2,1,2,1
216_4,1,0,0,1,1,0,0,2,1,1,2,1,1,2,0,2,0,1,1,1,2,0,2,1,0,2,1,2,1,2,2,2,2,1,2,0,0,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,0,2,1,0,0,2,1,2,0,0,1,1,2,2,2,2,1,2,0,2,2,2,1,0,2,0,0,2,1,1,1,2,0,1,1,2,1,0,1,2,2,1,2,1,1,1,0,2,2,2,2,0,1,2,2,2,2,1,1,1,0,1,0,2,2,0,2,0,0,0,2,2,2,1,0,0,2,0,2,0,1,0,1,1,0,2,0,1,2,1,1,1,0,1,1,0,0,2,2,2,2,1,0,2,0,1,1,2,2,1,0,1,2,2,0,0,0,1,0,0,0,0,0,2,0,0,1,2,2,1,2,1,0,2,2,1,0,1,1,0,2,1,2,1
216_3,1,0,0,1,1,0,0,2,1,1,2,1,1,2,0,2,0,1,1,1,2,0,2,1,0,2,1,2,0,2,2,2,2,1,2,0,0,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,0,2,1,0,0,2,1,2,0,0,1,1,2,2,2,2,1,2,0,2,2,2,1,0,2,0,0,2,1,1,1,2,0,1,1,2,1,0,1,2,2,1,2,1,1,1,0,2,2,2,2,0,1,2,2,2,2,1,1,1,0,1,0,2,2,0,2,0,0,0,2,2,2,1,0,0,2,0,2,0,1,0,1,1,0,2,0,1,2,1,1,1,0,1,1,0,0,2,2,2,2,1,0,2,0,1,1,2,2,1,0,1,2,2,0,0,0,1,0,0,0,1,0,2,0,0,1,2,2,1,2,1,0,2,2,1,0,1,1,0,2,1,2,1
202_1,1,0,1,1,1,0,0,2,2,1,2,1,1,2,0,2,2,1,1,0,0,0,2,2,0,2,1,2,0,2,2,2,2,1,2,2,0,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,0,2,1,1,0,2,1,2,0,0,0,0,2,2,2,2,1,2,0,2,2,0,1,0,2,0,0,2,1,1,1,0,2,1,1,2,1,0,1,2,2,2,0,1,1,1,0,2,0,2,2,2,1,0,2,2,0,1,0,1,0,1,0,2,2,2,2,1,0,0,2,2,2,1,2,1,2,0,2,0,1,0,1,1,0,2,0,1,1,1,1,1,0,1,1,0,0,2,2,2,2,1,0,2,2,1,1,2,2,0,2,1,2,2,0,1,2,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,0,2,1,0,0,1,1,0,2,0,2,1
216_2,1,0,1,1,1,0,0,2,2,1,2,1,1,2,0,2,2,1,1,0,0,0,2,2,0,2,1,2,0,2,2,2,2,1,2,2,1,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,0,2,1,1,0,2,1,2,0,0,0,0,2,2,2,2,1,2,0,2,2,0,1,0,2,0,0,2,1,1,1,0,2,1,1,2,1,0,1,2,2,2,0,1,1,1,0,2,0,2,2,2,1,0,2,2,0,1,1,1,0,1,0,2,2,2,2,1,0,0,2,2,2,1,2,1,2,0,2,0,1,0,1,1,0,2,0,1,1,1,1,1,0,1,1,1,0,2,2,2,2,1,2,2,2,1,1,2,2,0,2,1,2,2,0,1,2,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,0,2,1,0,0,1,1,0,2,0,2,1
216_1,1,0,1,1,1,0,0,2,2,1,2,1,1,2,0,2,2,1,1,2,0,0,2,2,0,2,1,2,0,2,2,2,2,1,2,2,0,1,1,1,2,2,1,0,2,0,2,2,2,0,1,2,2,0,1,0,2,2,1,1,0,2,1,2,0,0,2,0,2,2,2,2,1,2,0,2,2,0,1,0,2,0,0,2,1,1,1,0,2,1,1,2,1,0,1,2,2,2,0,1,1,1,0,2,0,2,2,2,1,0,2,2,0,1,0,1,0,1,0,2,2,2,2,1,0,0,2,2,2,1,2,1,2,0,2,0,1,0,1,1,0,2,0,1,1,1,1,1,0,1,1,0,0,2,2,2,2,1,0,2,2,1,1,2,2,0,2,1,2,2,0,1,2,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,0,2,1,0,0,1,1,0,2,0,2,1
92_2,0,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0,0,0,0:0.02/1:0.98,0,0:0.1/1:0.9,0:0.1/1:0.9,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0,0,0:0.1/2:0.9,0:0.02/2:0.98,0:0.1/2:0.9,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.1/1:0.9,0,0,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0,0,0,0:0.02/1:0.98,0,0:0.1/1:0.9,0,0,0:0.1/2:0.9,0,0,0,0,0,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.02/2:0.98,0:0.1/1:0.9,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.1/2:0.9,0:0.02/1:0.98,0,0,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.1/1:0.9,0,0,0,0:0.02/1:0.98,0,0,0,0:0.1/1:0.9,0,0:0.1/1:0.9,0:0.02/1:0.98,0,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0:0.1/1:0.9,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0,0,0:0.02/2:0.98,0:0.1/1:0.9,0,0,0,0:0.02/2:0.98,0,0:0.1/1:0.9,0,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.1/2:0.9,0,0,0,0,0,0,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.1/2:0.9,0:0.02/2:0.98,0,0,0:0.1/2:0.9,0,0:0.02/2:0.98,0,0:0.1/1:0.9,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.1/1:0.9,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0,0:0.1/2:0.9,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.1/1:0.9,0:0.1/1:0.9,0,0,0,0:0.1/2:0.9,0,0,0,0,0
165_7,0:0.1/2:0.9,0:0.1/2:0.9,0,1,1,0,0,2,0,0,0,1,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0,1,0,0:0.1/2:0.9,0:0.01/2:0.99,2,0:0.01/2:0.99,0,2,1,0,0,2,2,2,2,0,0:0.01/1:0.99,0:0.1/2:0.9,0,1,0:0.01/2:0.99,1,2,2,1,0:0.01/2:0.99,0:0.1/2:0.9,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0,1,0,0:0.01/1:0.99,0:0.1/2:0.9,0,0:0.01/2:0.99,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,2,0,2,0:0.01/2:0.99,0,0,0:0.01/1:0.99,2,0:0.01/1:0.99,2,0,1,2,0:0.1/1:0.9,2,2,0:0.01/2:0.99,1,0:0.1/2:0.9,0,0,0,2,0,0:0.1/2:0.9,1,0,0,1,0,2,0:0.01/2:0.99,0:0.01/2:0.99,0,2,2,0:0.01/1:0.99,0:0.1/1:0.9,0,0,1,0,0,0:0.1/1:0.9,0:0.01/1:0.99,0,0:0.01/1:0.99,1,0,0:0.1/2:0.9,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,1,0:0.01/2:0.99,1,0,2,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0,2,0:0.01/1:0.99,0,0,0,2,0,0:0.01/1:0.99,0,1,0:0.01/2:0.99,1,1,0,0:0.1/1:0.9,0,1,0,1,1,0:0.01/2:0.99,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,2,1,0:0.01/2:0.99,2,0,0,0:0.01/2:0.99,0,2,0:0.1/1:0.9,0:0.01/1:0.99,0,2,2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.1/2:0.9,0,0,0,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,2,0,2,1,0:0.1/1:0.9,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.1/2:0.9,0,0,0,0
