[&R] (((((216_3:1.001,216_4:0.001)196_2:0.014,(216_1:0.233,216_2:2.233)199_1:0.783)152_1:0.002,((216_5:0.001,216_6:1.001)205_5:0,(216_7:1.001,216_8:0.001)214_7:0)157_3:2.017)95_1:2.78,((216_10:0,216_11:0)200_8:1.605,216_9:2.605)154_4:3.192)38_1:3.202)I0;
I0,0,0,0,0,0,0,0,0,0,0
38_1,0:0.2/2:0.8,0:0.2/1:0.8,0:0.2/2:0.8,0,0:0.2/2:0.8,0,0,0,0,0
154_4,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0:0.16/1:0.84,0:0.16/2:0.84,0:0.16/2:0.84,0
216_9,2,1,2,0,2,2,1,2,2,2
200_8,2,1,2,2,2,0,1,2,2,0
216_11,2,1,2,2,2,0,1,2,2,0
216_10,2,1,2,2,2,0,1,2,2,0
95_1,2,1,2,0,2,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99
157_3,2,1,2,0,2,1,2,0,2,2
214_7,2,1,2,0,2,1,2,0,2,2
216_8,2,1,2,0,2,1,2,0,2,2
216_7,2,1,2,0,2,1,2,1,2,2
205_5,2,1,2,0,2,1,2,0,2,2
216_6,2,1,2,2,2,1,2,0,2,2
216_5,2,1,2,0,2,1,2,0,2,2
152_1,2,1,2,0,2,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99
199_1,2,1,2,0,2,0,2,0,0:0.23/2:0.77,2
216_2,2,1,2,0,2,1,2,1,2,2
216_1,2,1,2,0,2,0,2,0,2,2
196_2,2,1,2,0,2,0,2,0,0,2
216_4,2,1,2,0,2,0,2,0,0,2
216_3,2,1,2,2,2,0,2,0,0,2
