[&R] (((((216_3:0,216_4:0)196_2:0,(216_1:0,216_2:0)199_1:0)152_1:0.141,((216_5:0,216_6:0)205_5:0.106,(216_7:0,216_8:0)214_7:1.106)157_3:1.035)95_1:2.318,((216_10:0,216_11:0)200_8:0.042,216_9:1.042)154_4:1.417)38_1:5.541)I0;
I0,0,0,0,0,0,0,0,0,0,0
38_1,0:0.08/2:0.92,0,0:0.08/2:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0
154_4,2,0:0.03/1:0.97,2,1,1,0,0,1,1,0
216_9,2,1,2,1,1,0,0,1,1,1
200_8,2,1,2,1,1,0,0,1,1,0
216_11,2,1,2,1,1,0,0,1,1,0
216_10,2,1,2,1,1,0,0,1,1,0
95_1,2,0,2,1,1,0,0:0.06/1:0.94,1,1,0:0.06/2:0.94
157_3,2,0:0.09/2:0.91,2,1,1,0,0:0.01/1:0.99,1,1,0:0.01/2:0.99
214_7,2,2,2,1,1,1,1,1,1,2
216_8,2,2,2,1,1,1,1,1,1,2
216_7,2,2,2,1,1,1,1,1,1,2
205_5,2,2,2,1,1,0,1,1,1,2
216_6,2,2,2,1,1,0,1,1,1,2
216_5,2,2,2,1,1,0,1,1,1,2
152_1,2,0,2,1,1,0,1,1,1,2
199_1,2,0,2,1,1,0,1,1,1,2
216_2,2,0,2,1,1,0,1,1,1,2
216_1,2,0,2,1,1,0,1,1,1,2
196_2,2,0,2,1,1,0,1,1,1,2
216_4,2,0,2,1,1,0,1,1,1,2
216_3,2,0,2,1,1,0,1,1,1,2
