[&R] (((((216_3:0,216_4:0)196_2:0.001,(216_1:0,216_2:1)199_1:0.001)152_1:1.098,((216_5:0,216_6:0)205_5:1.028,(216_7:0,216_8:0)214_7:0.028)157_3:1.071)95_1:2.653,((216_10:0,216_11:0)200_8:0,216_9:0)154_4:4.752)38_1:1.248)I0;
I0,0,0,0,0,0,0,0,0,0,0
38_1,0,0,0,0,0:0.38/2:0.62,0,0:0.38/2:0.62,0,0,0
154_4,0,1,0,0,2,0,2,2,2,2
216_9,0,1,0,0,2,0,2,2,2,2
200_8,0,1,0,0,2,0,2,2,2,2
216_11,0,1,0,0,2,0,2,2,2,2
216_10,0,1,0,0,2,0,2,2,2,2
95_1,0,0,0,0:0.04/1:0.96,0:0.01/2:0.99,0:0.04/2:0.96,0:0.01/2:0.99,0,0,0
157_3,0,0,0,1,2,2,2,0,0,0:0.03/2:0.97
214_7,0,0,0,1,2,2,2,0,0,2
216_8,0,0,0,1,2,2,2,0,0,2
216_7,0,0,0,1,2,2,2,0,0,2
205_5,0,0,2,1,2,2,2,0,0,2
216_6,0,0,2,1,2,2,2,0,0,2
216_5,0,0,2,1,2,2,2,0,0,2
152_1,2,0,0,1,2,2,2,0,0,0
199_1,2,0,0,1,2,2,2,0,0,0
216_2,2,0,0,1,2,2,2,1,0,0
216_1,2,0,0,1,2,2,2,0,0,0
196_2,2,0,0,1,2,2,2,0,0,0
216_4,2,0,0,1,2,2,2,0,0,0
216_3,2,0,0,1,2,2,2,0,0,0
