[&R] (((((216_1:0.006,216_2:1.006)172_1:0.034,(216_3:2.206,216_4:0.206)173_3:0.833)121_1:3.071,((216_7:0,216_8:0)182_6:4.108,(216_5:0,216_6:0)183_5:3.108)125_3:0.002)77_1:0.009,((216_9:0,216_10:0)203_9:1.451,(216_11:0,216_12:0)206_11:1.451)160_5:5.669)30_1:2.88)I0;
I0,0,0,0,0,0,0,0,0,0,0
30_1,0,0,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0,0:0.04/1:0.96
160_5,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,1,2,0:0.07/2:0.93,0,0:0.07/2:0.93,1
206_11,2,2,1,2,1,2,2,2,2,1
216_12,2,2,1,2,1,2,2,2,2,1
216_11,2,2,1,2,1,2,2,2,2,1
203_9,2,2,1,2,1,2,2,1,2,1
216_10,2,2,1,2,1,2,2,1,2,1
216_9,2,2,1,2,1,2,2,1,2,1
77_1,0,0,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0,0:0.04/1:0.96
125_3,0,0,0,0,0:0.04/1:0.96,0:0.04/2:0.96,0,0,0,0:0.04/1:0.96
183_5,0,0,0,2,1,2,2,2,0,1
216_6,0,0,0,2,1,2,2,2,0,1
216_5,0,0,0,2,1,2,2,2,0,1
182_6,2,0,2,0,1,2,1,1,0,1
216_8,2,0,2,0,1,2,1,1,0,1
216_7,2,0,2,0,1,2,1,1,0,1
121_1,0:0.01/1:0.99,0,0,0,1,2,0:0.01/2:0.99,0:0.01/2:0.99,0,1
173_3,1,0,0,0,1,2,2,2,0:0.2/1:0.8,1
216_4,1,0,0,0,1,2,2,2,1,1
216_3,1,0,1,1,1,2,2,2,1,1
172_1,1,0,0,0,1,2,2,2,0,1
216_2,1,0,0,2,1,2,2,2,0,1
216_1,1,0,0,0,1,2,2,2,0,1
