[&R] (((((216_1:12.158,216_2:13.158)172_1:16.571,(216_3:11.137,216_4:14.137)173_3:15.592)121_1:31.202,((216_7:6.609,216_8:10.609)182_6:25.298,(216_5:4.277,216_6:7.277)183_5:25.631)125_3:31.024)77_1:44.208,((216_9:1.02,216_10:2.02)203_9:19.79,(216_11:3.074,216_12:3.074)206_11:13.736)160_5:84.329)30_1:38.861)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30_1,0,0,0,0,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0,0,0,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0,0,0,0,0,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0,0,0:0.25/1:0.75,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0:0.25/2:0.75,0:0.25/2:0.75,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0,0,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0,0,0,0:0.25/2:0.75,0:0.25/1:0.75,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0:0.25/1:0.75,0,0,0,0,0:0.25/1:0.75,0,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0:0.25/2:0.75,0,0,0:0.25/2:0.75,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0,0,0,0,0,0,0:0.25/1:0.75,0,0:0.25/1:0.75,0,0:0.25/1:0.75,0,0,0,0,0,0,0:0.25/2:0.75,0,0,0,0,0:0.25/1:0.75,0,0,0,0,0:0.25/1:0.75,0:0.25/1:0.75,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0,0:0.25/2:0.75,0,0:0.25/1:0.75,0,0,0,0:0.25/1:0.75,0,0,0:0.25/2:0.75,0:0.25/2:0.75
160_5,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.01/1:0.99,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.01/1:0.99,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0,0:0.02/1:0.98,0:0.01/2:0.99,0,0:0.02/2:0.98,0:0.01/1:0.99,0:0.01/2:0.99,0:0.02/2:0.98,0:0.02/2:0.98,0:0.01/2:0.99,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.02/2:0.98,0:0.01/1:0.99,0:0.02/1:0.98,0,0,0,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.01/2:0.99,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.01/1:0.99,0,0:0.02/1:0.98,0:0.01/1:0.99,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.02/1:0.98,0:0.02/1:0.98,0:0.01/2:0.99,0:0.02/1:0.98,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.02/1:0.98,0:0.02/1:0.98,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.01/2:0.99,0:0.02/1:0.98,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.01/2:0.99,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0:0.02/1:0.98,0,0,0,0:0.01/1:0.99,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.02/1:0.98,0,0:0.02/2:0.98,0:0.01/1:0.99,0,0:0.02/1:0.98,0:0.01/2:0.99,0:0.01/2:0.99
206_11,2,0,0,2,0,0,1,1,0,0,2,1,0:0.01/1:0.99,1,1,2,0,2,1,1,0,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,1,2,2,0,2,1,0,1,2,2,1,0:0.01/2:0.99,1,1,2,0,1,2,1,1,0,0,0,0,0:0.01/2:0.99,2,0:0.01/2:0.99,1,1,0:0.01/2:0.99,1,1,0,2,2,0,1,0:0.01/1:0.99,2,1,1,2,1,1,0,2,1,1,2,2,0,0,1,0,1,0,0,0,2,0,1,0,1,2,1,0,1,2,2,2,0,2,2,0,2,2,1,2,0,0,1,1,0,1,0,1,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,2,1,0,0,0,1,1,1,1,1,1,1,0,0,2,2,0,0,1,0,0,2,0:0.01/2:0.99,2,0:0.01/1:0.99,1,1,0:0.01/2:0.99,2,1,0:0.01/2:0.99,1,2,2
216_12,2,0,0,2,0,0,1,1,0,0,2,1,1,1,1,2,0,2,1,1,0,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,1,2,0,0,0,0,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,1,2,2,0,2,1,0,1,2,2,1,2,1,1,2,0,1,2,1,1,0,0,0,0,2,2,2,1,1,2,1,1,0,2,2,0,1,1,2,1,1,2,1,1,1,2,1,1,2,2,0,0,1,0,1,0,0,0,2,0,1,0,1,2,1,0,1,2,2,2,0,2,2,0,2,2,1,2,0,0,1,1,0,1,2,1,0,2,1,0,0,0,2,1,0,0,0,1,1,1,1,1,1,1,0,0,2,2,0,0,1,0,0,2,2,2,1,1,1,2,2,1,2,1,2,2
216_11,2,0,0,2,0,0,1,1,0,0,2,1,1,1,1,2,0,2,1,1,0,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,1,2,2,0,2,1,0,1,2,2,1,2,1,1,2,0,1,2,1,1,0,0,0,0,2,2,2,1,1,2,1,1,0,2,2,0,1,1,2,1,1,2,1,1,0,2,1,1,2,2,0,0,1,0,1,0,0,0,2,0,1,0,1,2,1,0,1,2,2,2,0,2,2,2,2,2,1,2,0,0,1,1,0,1,0,1,0,2,1,1,0,0,2,1,0,1,0,1,1,1,1,1,1,1,0,0,2,2,0,0,1,0,0,2,2,2,1,1,1,2,2,1,2,1,2,2
203_9,2,0,0,2,0,1,1,1,2,0,2,1,0,1,1,2,0,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,1,2,0,0,1,2,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,0,0,0,1,2,2,0,2,1,0,1,2,2,1,0,1,1,2,0,1,2,1,1,1,0,0,0,0,2,0,1,1,0,1,1,1,2,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,2,0,0,1,0,1,1,0,0,2,2,1,0,1,2,1,1,1,2,2,2,0,2,2,2,2,2,1,2,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1,2,2,2,0,0,1,0,0,2,0,2,0,1,1,0,2,1,0,1,2,2
216_10,2,0,0,2,0,1,1,1,2,0,2,1,0,1,1,2,0,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,1,2,0,0,1,2,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,0,0,0,1,2,2,0,2,1,0,1,2,2,1,0,1,1,2,0,1,2,1,1,1,0,0,0,0,2,0,1,1,0,1,1,1,2,2,1,1,2,2,1,1,2,1,1,0,2,1,1,2,2,0,0,1,0,1,1,0,0,2,2,1,0,1,2,1,1,1,2,2,2,0,2,2,2,2,2,1,2,2,0,1,1,0,1,0,1,0,1,0,0,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1,2,2,2,0,0,1,0,0,2,0,2,0,1,1,0,2,1,0,1,2,2
216_9,2,0,0,2,0,1,1,1,2,0,2,1,0,1,1,2,0,2,1,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,1,2,0,2,0,2,1,2,0,0,1,2,0,0,2,0,1,2,0,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,0,0,0,1,2,2,0,2,1,0,1,2,2,1,0,1,1,2,0,1,2,1,1,1,0,0,0,0,2,0,1,1,0,1,1,1,2,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,2,0,2,1,0,1,1,0,0,2,2,1,0,1,2,1,1,1,2,2,2,0,2,2,2,2,2,1,2,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,1,0,2,0,1,1,1,1,1,1,1,1,2,2,2,0,0,1,0,0,2,0,2,0,1,1,0,2,1,0,1,2,2
77_1,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.03/1:0.97,0:0.03/1:0.97,0:0.1/2:0.9,0:0.1/2:0.9,0,0,0,0,0:0.03/1:0.97,0,0,0:0.1/1:0.9,0,0,0,0:0.03/1:0.97,0,0,0,0,0,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0:0.1/1:0.9,0:0.03/2:0.97,0,0,0,0,0,0:0.1/1:0.9,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0:0.1/2:0.9,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0:0.1/2:0.9,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0:0.1/1:0.9,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/2:0.9,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0,0,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0,0:0.03/2:0.97,0,0,0,0,0:0.1/2:0.9,0,0,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0,0:0.03/1:0.97,0:0.1/2:0.9,0,0:0.03/1:0.97,0,0,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0,0:0.03/1:0.97,0:0.1/2:0.9,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0:0.1/2:0.9,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0,0,0,0:0.03/2:0.97,0,0:0.1/2:0.9,0,0,0,0:0.03/2:0.97,0,0,0,0,0,0,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.03/1:0.97,0:0.1/1:0.9,0:0.03/1:0.97,0:0.1/2:0.9,0:0.03/1:0.97,0:0.1/2:0.9,0:0.1/1:0.9,0,0,0,0,0:0.03/2:0.97,0,0,0,0,0:0.03/1:0.97,0,0,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0,0,0:0.1/2:0.9,0:0.1/1:0.9,0:0.03/1:0.97,0:0.1/1:0.9,0,0:0.03/2:0.97,0:0.1/1:0.9,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0,0:0.1/2:0.9,0:0.03/2:0.97,0:0.03/2:0.97
125_3,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,1,1,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,1,0,0,0:0.01/1:0.99,0:0.11/1:0.89,0:0.11/2:0.89,0,1,0:0.11/1:0.89,0,0,0:0.11/2:0.89,0,0:0.11/2:0.89,0,1,1,1,0:0.11/1:0.89,0,0,2,0,2,0:0.11/1:0.89,2,0:0.01/1:0.99,2,0:0.11/1:0.89,0:0.11/2:0.89,0,0:0.11/1:0.89,0,0:0.01/1:0.99,2,0,0,2,0:0.01/2:0.99,0,1,2,0,0:0.11/2:0.89,2,0:0.01/2:0.99,0,0,1,1,2,2,2,0:0.11/2:0.89,1,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,2,0,2,0,0,0:0.11/2:0.89,0,2,1,0,0,0,2,0:0.11/1:0.89,0,0,0,0:0.01/2:0.99,0,0,0:0.11/1:0.89,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,1,0:0.01/2:0.99,0:0.11/2:0.89,1,0,0,0,0,1,0,2,0,0:0.11/2:0.89,2,0,1,0:0.01/2:0.99,2,0,0:0.11/2:0.89,2,2,0:0.11/1:0.89,0:0.11/1:0.89,0:0.01/2:0.99,0:0.01/2:0.99,0:0.11/1:0.89,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.11/2:0.89,0:0.11/1:0.89,0,2,0:0.11/2:0.89,0:0.01/2:0.99,0,0:0.11/1:0.89,0,2,0:0.11/1:0.89,0,0:0.11/2:0.89,0,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,1,0:0.01/1:0.99,1,0:0.01/2:0.99,1,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,2,0,0,0:0.11/2:0.89,0,1,0,0,0,0,1,1,0,0:0.11/1:0.89,0,0,0:0.01/2:0.99,0:0.01/1:0.99,1,0:0.01/1:0.99,0,2,0:0.01/1:0.99,2,0,1,0,0,0,1,0:0.11/1:0.89,0:0.01/2:0.99,2,2
