[&R] ((((((216_6:0,216_7:0)194_5:1.067,(216_4:0,216_5:0)196_5:0.068)155_5:2.347,((216_8:0,216_9:0)198_9:0.002,(216_10:1.001,216_11:0.001)206_11:0.001)160_6:1.412)112_3:0.737,(((216_17:0,216_18:0)202_15:1.001,(216_15:0,216_16:0)207_16:1.001)161_8:0,(216_13:1.001,216_14:0.001)204_13:0)116_5:1.15)67_2:3.074,216_2:6.225)10_1:1.775)I0;
I0,0,0,0,0,0,0,0,0,0,0
10_1,0,0:0.41/2:0.59,0:0.41/1:0.59,0,0:0.41/2:0.59,0,0,0,0,0
216_2,0,2,1,1,2,2,2,1,0,2
67_2,0,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/2:0.98,0,0,0:0.05/2:0.95,0:0.05/2:0.95,0
116_5,0,2,1,1,2,0,0,2,2,0
204_13,0,2,1,1,2,0,0,2,2,0
216_14,0,2,1,1,2,0,0,2,2,0
216_13,0,2,1,1,2,0,0,2,2,2
161_8,0,2,1,1,2,0,0,2,2,0
207_16,0,2,1,1,2,2,0,2,2,0
216_16,0,2,1,1,2,2,0,2,2,0
216_15,0,2,1,1,2,2,0,2,2,0
202_15,0,2,1,1,2,0,2,2,2,0
216_18,0,2,1,1,2,0,2,2,2,0
216_17,0,2,1,1,2,0,2,2,2,0
112_3,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.36/2:0.64,0,0:0.02/2:0.98,0:0.02/2:0.98,0
160_6,0,2,1,0,2,2,0,2,2,1
206_11,0,2,1,0,2,2,0,2,2,1
216_11,0,2,1,0,2,2,0,2,2,1
216_10,2,2,1,0,2,2,0,2,2,1
198_9,0,2,1,0,2,2,0,2,2,1
216_9,0,2,1,0,2,2,0,2,2,1
216_8,0,2,1,0,2,2,0,2,2,1
155_5,0,2,1,0,2,0:0.01/2:0.99,0:0.03/2:0.97,2,2,0:0.03/2:0.97
196_5,0,2,1,0,2,2,2,2,2,2
216_5,0,2,1,0,2,2,2,2,2,2
216_4,0,2,1,0,2,2,2,2,2,2
194_5,0,2,1,1,2,2,2,2,2,2
216_7,0,2,1,1,2,2,2,2,2,2
216_6,0,2,1,1,2,2,2,2,2,2
