[&R] (((((216_1:5.219,216_2:6.219)179_1:9.891,(216_3:2.031,216_4:2.031)191_3:18.08)131_1:19.904,((216_5:5.097,216_6:2.097)190_4:8.262,(216_7:4.095,216_8:3.095)192_7:6.264)141_3:29.656)81_1:49.988,(((216_13:4.116,216_14:5.116)176_7:12.193,(216_15:11.494,216_16:6.494)180_10:18.815)133_5:17.363,(216_9:2.101,216_10:6.101)190_6:33.571)83_3:37.332)33_1:45.997)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33_1,0,0,0,0:0.13/1:0.87,0,0:0.13/2:0.87,0,0,0:0.13/1:0.87,0,0,0:0.13/2:0.87,0,0,0,0,0,0,0,0,0,0:0.13/2:0.87,0,0,0,0,0,0,0:0.13/1:0.87,0,0,0,0,0,0,0,0,0,0:0.13/1:0.87,0,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0,0,0:0.13/2:0.87,0,0:0.13/1:0.87,0:0.13/1:0.87,0:0.13/2:0.87,0:0.13/2:0.87,0:0.13/1:0.87,0,0,0,0,0,0:0.13/2:0.87,0,0,0,0,0,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0,0,0,0:0.13/2:0.87,0,0,0:0.13/2:0.87,0,0,0,0,0,0,0:0.13/2:0.87,0:0.13/1:0.87,0,0:0.13/2:0.87,0,0:0.13/2:0.87,0,0,0,0,0,0:0.13/1:0.87,0,0,0,0,0:0.13/2:0.87,0,0,0:0.13/2:0.87,0,0,0,0:0.13/1:0.87,0,0,0:0.13/2:0.87,0:0.13/2:0.87,0,0:0.13/1:0.87,0,0,0,0,0:0.13/2:0.87,0,0:0.13/2:0.87,0,0,0,0,0,0,0,0,0,0,0,0:0.13/1:0.87,0,0,0,0,0:0.13/2:0.87,0,0,0,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0,0,0,0,0,0,0:0.13/1:0.87,0,0,0,0,0,0:0.13/2:0.87,0,0:0.13/1:0.87,0,0,0,0:0.13/1:0.87,0,0,0,0:0.13/2:0.87,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0,0:0.13/2:0.87,0,0,0,0:0.13/2:0.87,0:0.13/2:0.87,0,0:0.13/2:0.87,0,0,0,0,0,0,0,0:0.13/2:0.87,0,0,0:0.13/2:0.87,0:0.13/1:0.87,0,0,0
83_3,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0:0.07/2:0.93,0,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/2:0.99,0,0,0,0,0,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0
190_6,0,0,0,1,2,2,0,0,1,0,2,2,1,0,0,2,0,0,0,0,0,2,2,0,2,0,0,1,1,2,0,1,0,0,1,1,2,1,1,0,2,1,1,1,1,2,0,2,2,1,1,2,2,1,2,0,2,2,0,2,0,2,1,0,0,0,1,0,1,2,2,0,2,2,0,0,2,1,1,0,0,0,1,2,1,2,2,2,2,0,0,0,1,1,1,0,1,2,0,2,0,2,2,1,2,0,1,0,0,2,2,0,1,0,0,0,1,2,0,2,0,2,0,0,1,0,0,2,2,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,0,2,0,0,2,0,0,1,2,1,2,2,0,2,1,1,0,0,1,1,0,0,0,2,1,0,1,1,1,2,2,2,0,0,2,2,2,1,2,0,0,0,0,2,0,0,2,2,0,2,1,0,0,2
216_10,0,0,2,1,2,2,0,0,1,0,2,2,1,2,0,2,0,0,0,0,0,2,2,0,2,0,0,1,1,2,0,1,0,0,1,1,2,1,1,0,2,1,1,1,1,2,0,2,2,1,1,2,2,1,2,0,2,2,0,2,0,2,1,0,0,0,1,0,1,2,2,0,2,2,0,0,2,1,1,0,0,0,1,2,1,2,2,2,2,2,0,0,1,1,1,0,1,2,0,2,0,2,2,1,2,0,1,0,2,2,2,0,1,0,0,0,1,2,0,2,0,2,0,2,1,0,1,2,2,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,0,2,0,0,2,0,0,1,2,1,2,2,0,2,1,1,0,0,1,1,0,0,0,2,1,0,1,1,1,2,2,2,0,0,2,2,2,1,2,0,0,0,0,2,0,0,2,2,0,2,1,0,0,2
216_9,0,0,0,1,2,2,0,0,1,1,2,2,1,0,0,2,0,0,0,0,0,2,2,0,2,0,0,1,1,2,0,1,0,0,1,1,2,1,1,0,2,1,1,1,1,2,0,2,2,1,1,2,2,1,2,0,2,2,0,2,0,2,1,0,0,0,1,0,1,2,2,0,2,2,0,0,2,1,1,0,0,0,1,2,1,2,2,2,2,0,0,0,1,1,1,0,1,2,0,2,0,2,2,1,2,0,1,0,0,2,2,0,1,0,0,0,1,2,0,2,0,2,0,0,1,0,0,2,2,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,0,2,0,0,2,0,0,1,2,1,2,2,1,2,1,1,0,0,1,1,0,0,0,2,1,0,1,1,1,2,2,2,0,0,2,2,2,1,2,0,0,0,0,2,0,0,2,2,0,2,1,0,0,2
133_5,0,0,0,1,0,2,0:0.07/2:0.93,0,1,0,2,2,1,0:0.07/1:0.93,0,2,0,0,0,0,0,2,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0:0.07/2:0.93,2,1,1,1,1,0,0,2,0,1,1,2,2,1,2,0:0.07/1:0.93,2,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0:0.07/1:0.93,2,0,1,0,0:0.07/2:0.93,0:0.07/1:0.93,1,2,1,0,2,0,2,0,0,0,0,1,1,0,0,2,0,2,0,0,2,1,0,0,1,0,0,2,2,0:0.07/1:0.93,1,0,0:0.07/1:0.93,0,0,2,0,2,0:0.07/1:0.93,2,0,0,1,0,0,0,0,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,0,0,0,0:0.07/2:0.93,2,0,0,1,2,0:0.07/2:0.93,2,2,0,2,0,1,0:0.07/1:0.93,0,1,1,0:0.07/1:0.93,0,0,2,1,0,1,0:0.07/2:0.93,1,2,0,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0:0.07/2:0.93,2,2,0,2,1,0,0,0
180_10,0,0:0.03/1:0.97,0,1,0,2,2,0,1,0,2,2,1,1,0,2,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0,2,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,1,2,2,1,1,1,1,0:0.03/1:0.97,0:0.03/1:0.97,2,0,1,1,2,2,1,2,1,2,0,0,2,0,0,0,0,0:0.03/2:0.97,0:0.03/2:0.97,1,0:0.03/2:0.97,1,2,0,0,0,2,0:0.03/2:0.97,1,2,0,1,0:0.03/1:0.97,2,1,1,2,1,0:0.03/1:0.97,2,0,2,0:0.03/2:0.97,0,0,0:0.03/1:0.97,1,1,0,0,2,0,2,0,0,2,1,0:0.03/2:0.97,0,1,0,0:0.03/1:0.97,2,2,1,1,0,1,0:0.03/1:0.97,0,2,0,2,1,2,0:0.03/2:0.97,0,1,0,0,0,0,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0,1,0,0,0,2,2,0,0,1,2,2,2,2,0,2,0,1,1,0,1,1,1,0,0,2,1,0,1,2,1,2,0:0.03/1:0.97,2,0,0,0,2,2,1,2,0,0,0,0,0,0,2,2,2,0,2,1,0,0,0
216_16,1,1,0,1,0,2,2,0,1,0,2,2,1,1,0,2,0,0,1,2,0,2,0,0,2,0,0,1,1,2,0,0,0,2,0,1,0,0,1,2,2,1,1,1,1,1,1,2,0,1,1,2,2,1,2,1,2,0,0,2,0,0,0,0,2,2,1,2,1,2,0,0,0,2,2,1,2,0,1,1,2,1,1,2,1,1,2,0,2,2,0,1,1,1,1,0,0,2,0,2,0,0,2,1,2,0,1,0,1,2,2,1,1,0,1,1,0,2,0,2,1,2,2,0,1,0,0,1,0,0,1,1,1,1,2,0,2,0,0,2,0,1,1,1,0,1,0,0,0,2,2,0,0,1,2,2,2,2,0,2,0,1,1,0,1,1,1,0,0,2,1,0,1,2,1,2,1,2,0,0,0,2,2,1,2,1,0,0,0,0,0,2,2,2,0,2,1,0,0,0
216_15,2,1,0,1,0,2,2,0,1,0,2,2,1,1,2,2,0,0,1,2,0,2,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,0,1,2,2,1,1,1,1,1,1,2,0,1,1,2,2,1,2,1,2,0,0,2,0,0,0,0,2,2,1,2,1,2,0,0,0,2,2,1,2,0,1,1,2,1,1,2,1,1,2,0,2,2,2,0,1,1,1,0,0,2,0,2,0,0,2,1,2,0,1,2,1,2,2,1,1,0,1,1,0,2,0,2,1,2,2,2,1,0,0,0,0,0,1,1,1,0,2,0,2,2,0,2,0,1,1,1,2,1,0,1,2,2,2,0,0,1,2,2,2,2,0,2,0,1,1,0,1,1,1,0,0,2,1,0,1,2,1,2,1,2,0,0,0,2,2,1,2,0,0,0,0,0,0,2,2,2,2,2,1,0,1,0
176_7,0,0,0,1,0:0.01/2:0.99,2,2,0,1,0,2,2,1,1,0,2,0:0.01/1:0.99,0,0,0,0,2,0:0.01/2:0.99,0:0.01/1:0.99,2,0,0,1,1,2,0,0:0.01/2:0.99,0,0,0,1,0,0,1,2,2,1,1,1,1,0,0,2,0,1,1,2,2,1,2,1,2,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,2,0,1,0,2,1,1,2,1,0,2,0,2,0,0,0,0:0.01/2:0.99,1,1,0,0,2,0,2,0,0:0.01/1:0.99,2,1,0,0,1,0,0,2,2,1,1,0,1,0,0,2,0,2,1,2,0:0.01/1:0.99,0,1,0,0,0:0.01/1:0.99,0,0,1,1,1,0,2,0,2,0,0,2,0,1,1,1,0:0.01/1:0.99,1,0,0,0,2,2,0,0,1,2,2,2,2,0,2,0,1,1,0,1,1,1,0:0.01/2:0.99,0,2,1,0,1,2,1,2,0,2,0,0,0,2,2,1,2,0,0,0,0,0,0,2,2,2,0,2,1,0,0,0
