[&R] ((((((216_3:0,216_4:0)212_3:1.031,216_5:0.031)159_2:1.193,216_1:2.224)106_1:1.046,(((216_6:1.032,216_7:0.032)207_5:0.31,(216_8:0,216_9:0)209_7:3.342)155_3:0.825,((216_12:0,216_13:0)201_8:0.233,216_11:2.233)155_4:0.933)106_2:2.104)59_1:1.36,(((216_20:0,216_21:0)175_12:0.105,(216_18:0,216_19:0)179_12:1.105)126_6:1.035,((216_16:0,216_17:0)177_10:0,(216_14:0,216_15:0)180_9:0)130_5:0.14)73_3:5.489)16_1:2.37)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0,0,0,0,0:0.21/1:0.79,0,0,0:0.21/1:0.79,0,0:0.21/1:0.79
73_3,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/2:0.98,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.02/1:0.98,0:0.01/1:0.99
130_5,2,2,2,2,1,0,0,1,1,1
180_9,2,2,2,2,1,0,0,1,1,1
216_15,2,2,2,2,1,0,0,1,1,1
216_14,2,2,2,2,1,0,0,1,1,1
177_10,2,2,2,2,1,0,0,1,1,1
216_17,2,2,2,2,1,0,0,1,1,1
216_16,2,2,2,2,1,0,0,1,1,1
126_6,2,2,2,2,1,0,0:0.09/2:0.91,1,1,1
179_12,2,2,2,2,1,1,2,1,1,1
216_19,2,2,2,2,1,1,2,1,1,1
216_18,2,2,2,2,1,1,2,1,1,1
175_12,2,2,2,2,1,0,2,1,1,1
216_21,2,2,2,2,1,0,2,1,1,1
216_20,2,2,2,2,1,0,2,1,1,1
59_1,0,0,0,0,0:0.03/1:0.97,0:0.17/1:0.83,0,0:0.03/1:0.97,0,0:0.03/1:0.97
106_2,0,0:0.07/2:0.93,0,0:0.07/2:0.93,1,0:0.01/1:0.99,0,1,0,1
155_4,0,0:0.01/2:0.99,0,0:0.01/2:0.99,1,1,0,1,0:0.2/1:0.8,1
216_11,1,2,0,2,1,1,2,1,1,1
201_8,0,2,0,2,1,1,0,1,1,1
216_13,0,2,0,2,1,1,0,1,1,1
216_12,0,2,0,2,1,1,0,1,1,1
155_3,0,0:0.02/2:0.98,0,0:0.02/2:0.98,1,1,0,1,0:0.29/2:0.71,1
209_7,2,2,1,2,1,1,2,1,2,1
216_9,2,2,1,2,1,1,2,1,2,1
216_8,2,2,1,2,1,1,2,1,2,1
207_5,0,2,0,2,1,1,0,1,0:0.03/2:0.97,1
216_7,0,2,0,2,1,1,0,1,2,1
216_6,0,2,1,2,1,1,0,1,2,1
106_1,0,0,0,0,0:0.01/1:0.99,0:0.03/1:0.97,0,0:0.01/1:0.99,0:0.18/2:0.82,0:0.01/1:0.99
216_1,0,0,2,0,1,1,1,1,2,1
159_2,0,0,0,0,1,1,0:0.03/2:0.97,1,2,1
216_5,0,0,0,0,1,1,2,1,2,1
212_3,0,2,0,0,1,1,2,1,2,1
216_4,0,2,0,0,1,1,2,1,2,1
216_3,0,2,0,0,1,1,2,1,2,1
