[&R] (((((216_7:0,216_8:0)197_6:0,(216_5:0,216_6:0)199_5:0)150_3:0,(216_9:0,216_10:0)204_10:0)105_2:4.008,((216_1:1.081,216_2:0.081)179_1:1.154,(216_3:0.081,216_4:1.081)193_3:1.154)112_1:2.774)59_1:3.992)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0,0:0.2/2:0.8,0:0.2/1:0.8,0:0.2/1:0.8,0,0:0.2/2:0.8,0,0,0:0.2/1:0.8,0
112_1,0,0:0.02/2:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0:0.08/1:0.92,0:0.02/2:0.98,0:0.08/2:0.92,0,0:0.02/1:0.98,0
193_3,0,2,1,1,0:0.01/1:0.99,2,0:0.01/2:0.99,0,1,0:0.07/2:0.93
216_4,1,2,1,1,1,2,2,0,1,2
216_3,0,2,1,1,1,2,2,0,1,2
179_1,0:0.07/2:0.93,2,1,1,0:0.01/1:0.99,2,0:0.01/2:0.99,0,1,0
216_2,2,2,1,1,1,2,2,0,1,0
216_1,2,2,1,1,1,2,2,2,1,0
105_2,1,2,1,1,2,2,0,0,1,1
204_10,1,2,1,1,2,2,0,0,1,1
216_10,1,2,1,1,2,2,0,0,1,1
216_9,1,2,1,1,2,2,0,0,1,1
150_3,1,2,1,1,2,2,0,0,1,1
199_5,1,2,1,1,2,2,0,0,1,1
216_6,1,2,1,1,2,2,0,0,1,1
216_5,1,2,1,1,2,2,0,0,1,1
197_6,1,2,1,1,2,2,0,0,1,1
216_8,1,2,1,1,2,2,0,0,1,1
216_7,1,2,1,1,2,2,0,0,1,1
