[&R] (((((216_7:0,216_8:0)197_6:0.293,(216_5:0,216_6:0)199_5:3.293)150_3:0.708,(216_9:0,216_10:0)204_10:0.001)105_2:0.001,((216_1:0,216_2:0)179_1:2.001,(216_3:0,216_4:0)193_3:0.001)112_1:0)59_1:4.998)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0,0,2,0,2,0,0,2,1,2
112_1,0,0,2,0,2,0,0,2,1,2
193_3,0,0,2,0,2,0,0,2,1,2
216_4,0,0,2,0,2,0,0,2,1,2
216_3,0,0,2,0,2,0,0,2,1,2
179_1,2,0,2,0,2,2,0,2,1,2
216_2,2,0,2,0,2,2,0,2,1,2
216_1,2,0,2,0,2,2,0,2,1,2
105_2,0,0,2,0,2,0,0,2,1,2
204_10,0,0,2,0,2,0,0,2,1,2
216_10,0,0,2,0,2,0,0,2,1,2
216_9,0,0,2,0,2,0,0,2,1,2
150_3,0,0,2,0,2,0:0.29/1:0.71,0,2,1,2
199_5,2,1,2,0,2,1,1,2,1,2
216_6,2,1,2,0,2,1,1,2,1,2
216_5,2,1,2,0,2,1,1,2,1,2
197_6,0,0,2,0,2,1,0,2,1,2
216_8,0,0,2,0,2,1,0,2,1,2
216_7,0,0,2,0,2,1,0,2,1,2
