[&R] (((((216_7:0,216_8:0)197_6:0,(216_5:0,216_6:1)199_5:0)150_3:0.322,(216_9:0,216_10:0)204_10:3.322)105_2:1.897,((216_1:1.217,216_2:1.217)179_1:2.165,(216_3:0,216_4:0)193_3:1.383)112_1:0.837)59_1:3.78)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0:0.05/2:0.95,0,0,0,0,0:0.05/2:0.95,0,0:0.05/1:0.95,0,0:0.05/2:0.95
112_1,0:0.02/2:0.98,0,0:0.31/1:0.69,0,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.02/2:0.98
193_3,2,0,1,0,0,2,1,1,0,2
216_4,2,0,1,0,0,2,1,1,0,2
216_3,2,0,1,0,0,2,1,1,0,2
179_1,2,0,0:0.03/1:0.97,0,0:0.09/1:0.91,2,0:0.09/2:0.91,1,0,2
216_2,2,0,1,1,1,2,2,1,0,2
216_1,2,0,1,0,1,2,2,1,2,2
105_2,0:0.01/2:0.99,0,0,0,0:0.15/2:0.85,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.15/1:0.85,0:0.01/2:0.99
204_10,2,2,2,2,2,2,0,1,1,2
216_10,2,2,2,2,2,2,0,1,1,2
216_9,2,2,2,2,2,2,0,1,1,2
150_3,2,0,0,0,2,2,0,1,1,2
199_5,2,0,0,0,2,2,0,1,1,2
216_6,2,0,0,0,2,2,2,1,1,2
216_5,2,0,0,0,2,2,0,1,1,2
197_6,2,0,0,0,2,2,0,1,1,2
216_8,2,0,0,0,2,2,0,1,1,2
216_7,2,0,0,0,2,2,0,1,1,2
