[&R] (((((216_7:0,216_8:0)197_6:0.048,(216_5:0,216_6:0)199_5:1.048)150_3:2.558,(216_9:0,216_10:0)204_10:2.605)105_2:1.796,((216_1:1.042,216_2:0.042)179_1:2.12,(216_3:0,216_4:0)193_3:0.162)112_1:2.24)59_1:2.598)I0;
I0,0,0,0,0,0,0,0,0,0,0
59_1,0,0:0.13/1:0.87,0:0.13/1:0.87,0,0,0,0,0:0.13/1:0.87,0,0
112_1,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.07/2:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0
193_3,0,1,1,0,0,2,0,1,1,0
216_4,0,1,1,0,0,2,0,1,1,0
216_3,0,1,1,0,0,2,0,1,1,0
179_1,0,1,1,0:0.02/1:0.98,0,2,0,1,1,0:0.02/1:0.98
216_2,0,1,1,1,0,2,0,1,1,1
216_1,0,1,1,1,0,2,1,1,1,1
105_2,0:0.25/1:0.75,0:0.03/1:0.97,0:0.03/1:0.97,0:0.25/2:0.75,0,0,0,0:0.03/1:0.97,0,0
204_10,1,1,1,2,0,0,0,1,2,2
216_10,1,1,1,2,0,0,0,1,2,2
216_9,1,1,1,2,0,0,0,1,2,2
150_3,1,1,1,2,0:0.02/1:0.98,0,0:0.02/1:0.98,1,0,0
199_5,1,1,1,2,1,1,1,1,0,0
216_6,1,1,1,2,1,1,1,1,0,0
216_5,1,1,1,2,1,1,1,1,0,0
197_6,1,1,1,2,1,0,1,1,0,0
216_8,1,1,1,2,1,0,1,1,0,0
216_7,1,1,1,2,1,0,1,1,0,0
