[&R] (((((216_7:4.052,216_8:1.052)197_6:9.819,(216_5:1.008,216_6:1.008)199_5:12.862)150_3:19.323,(216_9:1.008,216_10:1.008)204_10:29.186)105_2:35.384,((216_1:5.117,216_2:3.117)179_1:21.051,(216_3:5.22,216_4:6.22)193_3:18.948)112_1:34.409)59_1:72.422)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59_1,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0
112_1,0,1,2,2,0,1,0:0.06/1:0.94,1,0,2,2,1,1,0:0.06/1:0.94,2,1,2,0:0.06/2:0.94,0:0.06/2:0.94,2,0:0.06/1:0.94,0,1,0:0.06/2:0.94,0:0.06/2:0.94,2,0,2,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0:0.06/1:0.94,1,0,1,0,2,0:0.06/2:0.94,2,0,2,2,0,2,0,0:0.06/1:0.94,0,0:0.06/2:0.94,0,1,0,0,0,0,1,1,0,2,0:0.06/1:0.94,1,0,2,0,1,0,0:0.06/1:0.94,0:0.06/2:0.94,0:0.06/1:0.94,0,0,0,0,2,0:0.06/2:0.94,0,0,0:0.06/1:0.94,2,0,0,0,0,0,2,0,2,0,0:0.06/2:0.94,2,2,2,2,0,2,0,0:0.06/1:0.94,1,2,0,2,0,0:0.06/2:0.94,0,1,0,2,0,2,0,0,0,0,1,0,2,0,0,0,2,1,0,0:0.06/1:0.94,0,2,0,0:0.06/1:0.94,2,0,1,0,0,2,0,0,0,1,0,0,0,0,2,0,2,2,0,1,1,2,2,2,0,0,0,0,0:0.06/2:0.94,0,0:0.06/1:0.94,1,1,2,0,0,0:0.06/2:0.94,2,0,0,0,0:0.06/1:0.94,1,0,0:0.06/1:0.94,1,0:0.06/1:0.94,0,0,2,0,1,2,0,0:0.06/2:0.94,0,0:0.06/1:0.94,0:0.06/1:0.94,0,1,2,0,0
193_3,0,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,0,2,0,0:0.01/1:0.99,1,2,1,1,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,1,1,0,1,0,2,2,2,0,2,2,0,2,0:0.01/1:0.99,1,0:0.01/2:0.99,2,0,1,0,0,0,0,1,1,0,2,1,1,0:0.01/2:0.99,2,0,1,0,1,2,1,0,0:0.01/2:0.99,0:0.01/1:0.99,0,2,2,0:0.01/2:0.99,0:0.01/1:0.99,1,2,0,0,0,0,0,2,0,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,0,1,0,2,0:0.01/1:0.99,2,0,0,0,0,1,0,2,0,0,0,2,1,0,1,0,2,0,1,2,0,1,0,0,2,0,0,0,1,0:0.01/2:0.99,0,0,0:0.01/1:0.99,2,0,2,2,0,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,0:0.01/2:0.99,1,1,1,0,0:0.01/1:0.99,2,0,1,2,0:0.01/1:0.99,2,0,1,1,0,1,2,0,0
216_4,0,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,0,2,0,1,1,2,1,1,0,0,1,0,1,1,1,1,0,1,2,2,2,2,0,2,2,0,2,1,1,2,2,0,1,0,0,0,0,1,1,0,2,1,1,2,2,0,1,0,1,2,1,0,2,1,1,2,2,2,1,1,2,0,0,0,0,0,2,0,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,0,1,2,2,1,2,0,0,0,0,1,0,2,0,0,0,2,1,0,1,0,2,0,1,2,0,1,0,0,2,2,0,0,1,2,1,0,1,2,0,2,2,0,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,2,1,1,1,0,1,2,0,1,2,1,2,0,1,1,1,1,2,0,0
216_3,0,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,0,2,2,1,1,2,1,1,0,0,1,0,1,1,1,1,0,1,0,2,2,2,0,2,2,0,2,1,1,2,2,0,1,0,0,0,0,1,1,0,2,1,1,2,2,0,1,0,1,2,1,0,2,1,0,2,2,2,1,1,2,0,0,0,0,0,2,1,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,1,1,0,2,1,2,0,0,0,0,1,2,2,0,0,0,2,1,0,1,0,2,0,1,2,0,1,0,0,2,0,0,0,1,2,0,2,1,2,0,2,2,0,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,2,1,1,1,0,1,2,0,1,2,1,2,0,1,1,0,1,2,0,0
179_1,0:0.01/2:0.99,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,0,2,0:0.01/2:0.99,0,1,2,1,1,0,0,0:0.01/2:0.99,0,0,0,1,1,0:0.01/1:0.99,1,0,2,2,2,0,2,2,0,2,0,1,0,2,0:0.01/2:0.99,1,0:0.01/1:0.99,0,0,0,1,1,0:0.01/2:0.99,2,1,1,0,2,0,1,0,1,2,1,0,0:0.01/1:0.99,0,0,2,2,0,0:0.01/2:0.99,1,2,0,0,0,0,0,2,0,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,0,1,0,2,0,2,0,0,0:0.01/1:0.99,0,1,0,2,0:0.01/1:0.99,0,0,2,1,0,1,0:0.01/1:0.99,2,0:0.01/2:0.99,1,2,0,1,0:0.01/2:0.99,0,2,0:0.01/2:0.99,0,0,1,0,0:0.01/1:0.99,0,0,2,0,2,2,0:0.01/1:0.99,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,0,1,1,1,0,0,2,0:0.01/1:0.99,1,2,0,2,0,1,1,0,1,2,0,0:0.01/2:0.99
216_2,2,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,0,2,2,2,1,2,1,1,0,0,2,0,0,0,1,1,1,1,0,2,2,2,0,2,2,0,2,0,1,0,2,2,1,1,0,0,0,1,1,2,2,1,1,0,2,0,1,0,1,2,1,0,1,0,0,2,2,0,2,1,2,0,0,0,2,0,2,0,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,0,1,0,2,0,2,0,0,1,0,1,0,2,1,0,0,2,1,0,1,1,2,2,1,2,0,1,2,0,2,2,0,0,1,0,1,0,0,2,0,2,2,1,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,0,1,1,1,2,0,2,1,1,2,0,2,0,1,1,0,1,2,0,2
216_1,2,1,2,2,0,1,1,1,0,2,2,1,1,1,2,1,2,2,2,2,1,0,1,2,2,2,0,2,1,2,2,0,1,2,1,1,0,0,2,0,0,0,1,1,1,1,0,2,2,2,2,2,2,0,2,0,1,0,2,2,1,1,0,2,0,1,1,2,2,1,1,0,2,0,1,0,1,2,1,0,1,0,0,2,2,0,2,1,2,0,0,0,0,0,2,0,2,0,2,2,2,2,2,0,2,0,1,1,2,0,2,0,2,0,1,0,2,0,2,0,0,1,0,1,0,2,1,0,0,2,1,0,1,1,2,2,1,2,0,1,2,0,2,2,0,0,1,0,1,0,0,2,0,2,2,1,1,1,2,2,2,0,0,0,0,2,0,1,1,1,2,0,0,2,2,0,0,0,1,1,0,1,1,1,0,2,2,1,1,2,0,2,0,1,1,0,1,2,2,2
105_2,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0:0.08/1:0.92,0,0,0:0.01/2:0.99,0,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0:0.08/1:0.92,0,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0:0.01/2:0.99,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0,0,0,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.08/1:0.92,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0
204_10,0,1,2,2,2,1,0,1,0,2,2,1,1,2,2,1,2,0,0,2,0,0,1,0,0,2,0,2,2,2,1,1,1,2,1,1,0,1,2,0,1,0,0,1,2,1,0,2,1,2,0,2,2,0,2,2,1,0,0,2,1,1,0,0,2,1,1,2,2,1,1,0,2,2,1,0,0,0,0,1,1,0,0,2,0,0,2,2,2,1,0,1,2,0,2,1,2,1,1,2,2,2,2,2,2,0,1,1,2,0,2,0,1,1,1,2,2,0,2,1,2,1,0,1,0,2,2,2,0,2,1,0,0,2,2,0,2,2,0,1,2,2,2,0,0,1,1,0,1,1,1,2,1,2,2,1,1,1,2,2,2,0,0,0,0,0,0,2,1,1,2,2,1,0,2,0,0,1,0,1,1,2,1,0,2,0,2,1,1,2,0,0,1,0,0,2,1,2,0,2
