[&R] (((((216_9:1.001,216_10:0.001)177_6:0,(216_11:2.001,216_12:0.001)184_10:0)131_5:1.915,(216_13:0,216_14:0)201_13:4.916)59_2:1.986,(((216_3:0,216_4:0)172_2:0,(216_1:0,216_2:0)181_1:0)120_1:0.235,((216_7:0,216_8:0)184_7:0,216_5:0)130_3:2.235)61_1:4.667)17_1:2.098)I0;
I0,0,0,0,0,0,0,0,0,0,0
17_1,0:0.3/1:0.7,0,0:0.3/2:0.7,0,0,0,0,0:0.3/1:0.7,0,0
61_1,0:0.01/1:0.99,0:0.05/2:0.95,0:0.01/2:0.99,0,0:0.05/2:0.95,0:0.05/2:0.95,0,0:0.01/1:0.99,0:0.05/2:0.95,0
130_3,1,2,2,0,2,2,1,1,2,2
216_5,1,2,2,0,2,2,1,1,2,2
184_7,1,2,2,0,2,2,1,1,2,2
216_8,1,2,2,0,2,2,1,1,2,2
216_7,1,2,2,0,2,2,1,1,2,2
120_1,1,2,2,0,2,2,0,1,2,0
181_1,1,2,2,0,2,2,0,1,2,0
216_2,1,2,2,0,2,2,0,1,2,0
216_1,1,2,2,0,2,2,0,1,2,0
172_2,1,2,2,0,2,2,0,1,2,0
216_4,1,2,2,0,2,2,0,1,2,0
216_3,1,2,2,0,2,2,0,1,2,0
59_2,0:0.09/1:0.91,0,0:0.09/2:0.91,0,0,0,0:0.32/2:0.68,0:0.09/1:0.91,0:0.32/1:0.68,0
201_13,1,1,2,0,1,2,2,1,1,1
216_14,1,1,2,0,1,2,2,1,1,1
216_13,1,1,2,0,1,2,2,1,1,1
131_5,1,0,2,0,0,1,2,1,1,0
184_10,1,0,2,0,0,1,2,1,1,0
216_12,1,0,2,0,0,1,2,1,1,0
216_11,1,2,2,0,0,1,2,1,1,1
177_6,1,0,2,0,0,1,2,1,1,0
216_10,1,0,2,0,0,1,2,1,1,0
216_9,1,0,2,0,2,1,2,1,1,0
