[&R] (((((216_9:0,216_10:0)186_6:1.204,(216_11:0,216_12:0)191_9:1.204)118_3:2.295,((216_13:0,216_14:0)179_7:2.207,216_16:0.207)118_4:2.292)66_2:1.569,(((216_7:0.001,216_8:1.001)183_4:0.001,216_5:1.002)130_2:1.063,216_3:3.065)75_1:0.003)26_1:2.932)I0;
I0,0,0,0,0,0,0,0,0,0,0
26_1,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0:0.02/1:0.98,0,0,0
75_1,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0,0,0:0.02/1:0.98,0,0,0
216_3,1,1,1,2,2,0,1,0,0,0
130_2,1,1,0,0,0,0,1,1,0,0
216_5,1,1,0,0,0,2,1,1,0,0
183_4,1,1,0,0,0,0,1,1,0,0
216_8,1,1,0,0,0,0,1,1,1,0
216_7,1,1,0,0,0,0,1,1,0,0
66_2,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.24/1:0.76,0:0.01/1:0.99,0:0.24/1:0.76,0,0
118_4,1,1,0,0:0.08/1:0.92,0,0:0.02/1:0.98,1,0:0.02/1:0.98,0:0.08/1:0.92,0
216_16,1,1,0,1,0,1,1,1,1,0
179_7,1,1,0,1,1,1,1,1,1,2
216_14,1,1,0,1,1,1,1,1,1,2
216_13,1,1,0,1,1,1,1,1,1,2
118_3,1,1,0:0.08/2:0.92,0,0,0:0.02/1:0.98,1,0:0.02/1:0.98,0,0:0.08/2:0.92
191_9,1,1,2,1,0,1,1,1,0,2
216_12,1,1,2,1,0,1,1,1,0,2
216_11,1,1,2,1,0,1,1,1,0,2
186_6,1,1,2,2,0,1,1,1,0,2
216_10,1,1,2,2,0,1,1,1,0,2
216_9,1,1,2,2,0,1,1,1,0,2
