[&R] (((((216_9:1.312,216_10:1.312)186_6:2.127,(216_11:1.048,216_12:0.048)191_9:1.391)118_3:1.793,((216_13:1.072,216_14:0.072)179_7:3.594,216_16:1.665)118_4:0.566)66_2:1.071,(((216_7:1.007,216_8:0.007)183_4:0.002,216_5:1.01)130_2:1.06,216_3:0.07)75_1:3.233)26_1:2.697)I0;
I0,0,0,0,0,0,0,0,0,0,0
26_1,0,0,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0
75_1,0,0,2,0:0.02/1:0.98,0,2,0:0.02/2:0.98,0:0.02/2:0.98,1,0
216_3,0,0,2,1,0,2,2,2,1,0
130_2,0:0.01/2:0.99,0,2,1,0,2,2,2,1,0
216_5,2,0,2,1,1,2,2,2,1,0
183_4,0:0.01/2:0.99,0,2,1,0,2,2,2,1,0
216_8,2,0,2,1,0,2,2,2,1,0
216_7,2,2,2,1,0,2,2,2,1,0
66_2,0,0,0:0.02/2:0.98,0,0,0:0.02/2:0.98,0,0,0:0.02/1:0.98,0:0.18/2:0.82
118_4,0,0,0:0.01/2:0.99,0:0.54/2:0.46,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.1/2:0.9
216_16,0,0,2,2,2,2,0,0,1,2
179_7,0:0.02/2:0.98,0,2,0:0.01/2:0.99,0,2,0:0.02/2:0.98,0:0.02/2:0.98,1,2
216_14,2,0,2,2,0,2,2,2,1,2
216_13,2,0,2,2,1,2,2,2,1,2
118_3,0:0.2/1:0.8,0:0.2/1:0.8,2,0,0,2,0,0,1,0:0.03/2:0.97
191_9,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0,2,0:0.03/2:0.97,0,1,2
216_12,1,1,2,0,0,2,2,0,1,2
216_11,1,1,2,1,0,2,2,0,1,2
186_6,0:0.03/1:0.97,0:0.03/1:0.97,2,0,0:0.13/2:0.87,2,0,0:0.13/2:0.87,1,2
216_10,1,1,2,0,2,2,2,2,1,2
216_9,1,1,2,2,2,2,0,2,1,2
