[&R] (((((216_9:0,216_10:0)186_6:1.162,(216_11:0,216_12:0)191_9:1.162)118_3:3.468,((216_13:0,216_14:0)179_7:1.305,216_16:2.305)118_4:2.325)66_2:1.503,(((216_7:1.048,216_8:0.048)183_4:5.399,216_5:4.447)130_2:0.041,216_3:5.488)75_1:0.644)26_1:0.868)I0;
I0,0,0,0,0,0,0,0,0,0,0
26_1,0,0,0,0,0,0,0,0,0,0:0.13/2:0.87
75_1,0:0.43/1:0.57,0,0,0,0,0,0,0,0,0:0.06/2:0.94
216_3,1,2,0,0,2,1,2,1,0,2
130_2,0:0.42/1:0.58,0,0,0,0:0.97/1:0.03,0,0,0,0,0:0.06/2:0.94
216_5,1,1,1,0,1,0,0,2,0,2
183_4,1,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,2
216_8,1,2,2,2,1,0,2,0,0,2
216_7,1,2,2,2,1,0,2,0,2,2
66_2,0:0.3/2:0.7,0:0.3/2:0.7,0,0,0,0,0,0,0,0:0.04/2:0.96
118_4,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0,0:0.12/2:0.88,0,0,0:0.12/1:0.88,2
216_16,2,2,0,1,0,2,2,0,1,2
179_7,2,2,0,0,0,2,0,2,1,2
216_14,2,2,0,0,0,2,0,2,1,2
216_13,2,2,0,0,0,2,0,2,1,2
118_3,0:0.01/2:0.99,0:0.01/2:0.99,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.04/1:0.96,0,0,0,2
191_9,2,2,2,2,0,1,0,0,1,2
216_12,2,2,2,2,0,1,0,0,1,2
216_11,2,2,2,2,0,1,0,0,1,2
186_6,2,2,2,2,0,1,0,1,0,2
216_10,2,2,2,2,0,1,0,1,0,2
216_9,2,2,2,2,0,1,0,1,0,2
