[&R] (((((216_9:5.204,216_10:4.204)186_6:25.874,(216_11:8.763,216_12:9.763)191_9:24.315)118_3:29.063,((216_13:10.916,216_14:10.916)179_7:21.568,216_16:34.484)118_4:22.657)66_2:46.891,(((216_7:10.758,216_8:8.758)183_4:20.493,216_5:33.252)130_2:32.932,216_3:57.184)75_1:39.849)26_1:43.968)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_1,0,0,0,0,0,0:0.15/2:0.85,0,0:0.15/2:0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0:0.15/1:0.85,0,0,0,0,0:0.15/1:0.85,0,0:0.15/1:0.85,0,0,0,0,0:0.15/1:0.85,0,0,0:0.15/1:0.85,0,0:0.15/1:0.85,0,0:0.15/2:0.85,0:0.15/1:0.85,0,0,0,0:0.15/1:0.85,0:0.15/2:0.85,0:0.15/2:0.85,0,0:0.15/1:0.85,0,0,0,0,0,0,0:0.15/1:0.85,0,0,0:0.15/2:0.85,0:0.15/1:0.85,0,0,0,0,0,0,0,0,0,0,0,0:0.15/1:0.85,0,0,0,0,0,0,0,0,0,0:0.15/2:0.85,0,0,0,0,0,0,0,0,0,0,0:0.15/2:0.85,0:0.15/1:0.85,0:0.15/1:0.85,0,0,0,0:0.15/1:0.85,0,0,0,0,0,0,0,0:0.15/2:0.85,0,0:0.15/2:0.85,0,0,0,0,0,0:0.15/1:0.85,0:0.15/1:0.85,0,0,0,0:0.15/1:0.85,0,0,0,0:0.15/2:0.85,0,0:0.15/1:0.85,0,0:0.15/1:0.85,0,0:0.15/1:0.85,0,0,0,0,0:0.15/2:0.85,0,0:0.15/2:0.85,0,0,0:0.15/1:0.85,0:0.15/2:0.85,0:0.15/1:0.85,0:0.15/1:0.85,0,0,0,0,0,0,0,0:0.15/1:0.85,0,0,0,0,0,0:0.15/1:0.85,0,0:0.15/1:0.85,0,0,0,0,0:0.15/1:0.85,0,0,0:0.15/2:0.85,0:0.15/2:0.85,0,0,0,0:0.15/1:0.85,0:0.15/2:0.85,0,0:0.15/2:0.85,0:0.15/2:0.85,0,0:0.15/1:0.85,0,0,0,0,0:0.15/1:0.85,0,0,0,0:0.15/2:0.85,0,0:0.15/1:0.85,0,0,0,0,0,0,0,0,0,0
75_1,0,0,0,0,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0,0,0,0:0.19/2:0.81,0,0:0.19/2:0.81,0,0:0.19/2:0.81,0:0.19/2:0.81,0,0,0:0.03/1:0.97,0:0.19/1:0.81,0,0,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0,0:0.19/2:0.81,0:0.19/2:0.81,0:0.03/1:0.97,0,0,0:0.03/1:0.97,0:0.19/1:0.81,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0:0.19/1:0.81,0,0,0,0,0,0:0.03/1:0.97,0:0.19/2:0.81,0,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0:0.19/1:0.81,0:0.19/2:0.81,0,0:0.19/2:0.81,0,0,0,0,0:0.19/2:0.81,0:0.03/1:0.97,0,0,0,0,0:0.19/1:0.81,0,0,0,0,0:0.03/2:0.97,0:0.19/1:0.81,0,0,0,0,0,0,0,0,0:0.19/1:0.81,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.19/1:0.81,0:0.19/1:0.81,0:0.03/1:0.97,0:0.19/2:0.81,0,0,0:0.19/1:0.81,0:0.19/1:0.81,0,0,0:0.03/2:0.97,0:0.19/1:0.81,0:0.03/2:0.97,0,0,0,0:0.19/1:0.81,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0,0,0:0.19/1:0.81,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0:0.19/2:0.81,0,0,0:0.19/2:0.81,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.19/2:0.81,0,0:0.19/1:0.81,0:0.19/1:0.81,0:0.19/1:0.81,0,0:0.03/1:0.97,0,0,0,0,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0,0,0,0:0.03/1:0.97,0:0.19/1:0.81,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.19/1:0.81,0:0.19/2:0.81,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.19/1:0.81,0:0.03/1:0.97,0,0:0.19/1:0.81,0:0.19/2:0.81,0:0.19/2:0.81,0:0.03/1:0.97,0,0,0,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0,0:0.19/1:0.81,0:0.19/1:0.81,0,0,0:0.19/1:0.81,0,0,0
216_3,0,0,0,0,0,2,0,2,1,2,0,0,1,2,1,2,1,2,2,2,2,1,1,0,0,2,1,2,1,0,0,2,2,1,1,1,1,1,1,0,2,1,2,1,0,1,2,2,0,1,1,0,1,2,0,0,1,2,0,2,1,0,1,1,2,0,2,0,0,0,0,2,1,0,2,0,1,1,0,1,0,0,2,1,0,0,1,2,2,0,1,0,1,2,1,1,1,1,1,1,2,0,0,1,1,2,2,2,1,2,0,0,1,1,0,1,1,0,0,2,1,2,2,1,2,1,1,0,1,1,1,2,1,0,2,2,2,2,1,0,1,2,1,1,2,2,0,1,1,1,1,1,0,0,1,0,2,1,0,1,0,1,2,0,1,1,0,2,2,1,2,0,1,2,2,2,2,1,1,2,1,2,2,1,0,2,2,2,2,1,0,0,1,1,1,0,1,2,0,0
130_2,0,0,0:0.11/2:0.89,0,0,2,0,2,0,0,0,0,0,0:0.02/2:0.98,0:0.11/2:0.89,0:0.02/2:0.98,0,0:0.02/2:0.98,0:0.02/2:0.98,0,0,1,0:0.02/1:0.98,0:0.11/2:0.89,0,0,1,0:0.11/1:0.89,1,0,0,0:0.02/2:0.98,0:0.02/2:0.98,1,0,0:0.11/2:0.89,1,0:0.02/1:0.98,1,0,2,1,0,0:0.11/2:0.89,0,1,2,2,0:0.11/2:0.89,1,0:0.02/1:0.98,0:0.11/2:0.89,0:0.11/2:0.89,0,0,0,1,0:0.02/2:0.98,0,2,1,0:0.11/1:0.89,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.11/1:0.89,0:0.02/2:0.98,0:0.11/2:0.89,0,0,0,0:0.02/2:0.98,1,0,0,0,0,0:0.02/1:0.98,0:0.11/1:0.89,0,0,0,2,0:0.02/1:0.98,0:0.11/1:0.89,0:0.11/1:0.89,0,0,0,0:0.11/1:0.89,0:0.11/2:0.89,0:0.11/2:0.89,0:0.02/1:0.98,2,1,1,0:0.11/2:0.89,0:0.02/1:0.98,0:0.02/1:0.98,1,0:0.02/2:0.98,0:0.11/2:0.89,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0:0.11/1:0.89,2,0:0.02/1:0.98,2,0,0,0,0:0.02/1:0.98,0,1,1,0,0,0,1,0,0:0.11/1:0.89,0:0.02/1:0.98,2,0,1,0,1,0,1,0:0.02/2:0.98,0,0,0:0.02/2:0.98,2,0,2,0:0.11/2:0.89,0:0.11/2:0.89,1,2,1,1,0,0:0.02/2:0.98,0,0:0.02/1:0.98,0:0.02/1:0.98,0:0.02/1:0.98,0,1,0,0,0,0,0,1,0:0.11/1:0.89,1,0,0,0,0:0.11/1:0.89,1,0:0.02/1:0.98,0,2,2,0:0.02/1:0.98,0:0.02/2:0.98,0,1,2,0,2,2,0:0.02/1:0.98,1,0,0:0.02/1:0.98,0:0.02/2:0.98,0:0.02/2:0.98,1,0,0,0:0.11/1:0.89,2,0,1,0,0,0:0.02/1:0.98,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0,0:0.11/2:0.89
216_5,0,0,2,0,1,2,0,2,0,1,0,1,0,2,2,2,0,2,2,2,2,1,1,2,0,0,1,1,1,2,0,2,2,1,1,2,1,1,1,1,2,1,0,2,2,1,2,2,2,1,1,2,2,0,0,2,1,2,2,2,1,1,0,1,2,1,2,2,0,2,0,2,1,0,0,1,1,1,1,2,0,0,2,1,1,1,0,0,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,1,1,0,1,2,1,2,0,2,2,1,0,1,1,2,0,2,1,0,1,1,2,0,1,0,1,1,1,2,0,0,2,2,0,2,2,2,1,2,1,1,0,2,0,1,1,1,0,1,0,0,2,0,1,1,1,1,0,2,0,1,1,1,0,2,2,1,2,2,1,2,1,2,2,1,1,0,1,2,2,1,0,0,1,2,1,1,0,0,1,1,2,0,1,0,0,2
183_4,0,0:0.04/1:0.96,2,0,0,2,0,2,0,0,0,0,0:0.04/2:0.96,2,2,2,0,2,2,0:0.04/1:0.96,0:0.04/1:0.96,1,1,2,0,0:0.04/1:0.96,1,1,1,0,0,2,2,1,0,2,1,1,1,0,2,1,0:0.04/2:0.96,2,0,1,2,2,2,1,1,2,2,0,0,0,1,2,0,2,1,1,0:0.04/2:0.96,1,2,1,2,2,0,0,0,2,1,0,0:0.04/2:0.96,0,0:0.04/2:0.96,1,1,0,0:0.04/1:0.96,0,2,1,1,1,0:0.04/1:0.96,0,0,1,2,2,1,2,1,1,2,1,1,1,2,2,0,1,1,0:0.04/2:0.96,1,2,1,2,0,0,0,1,0:0.04/2:0.96,1,1,0,0,0,1,0,1,1,2,0,1,0,1,0,1,2,0,0,2,2,0:0.04/2:0.96,2,2,2,1,2,1,1,0,2,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,2,1,2,0,1,2,0,2,2,1,1,0:0.04/1:0.96,1,2,2,1,0,0:0.04/2:0.96,1,2,0,1,0,0,1,1,0,0,1,0,0:0.04/2:0.96,2
216_8,0,1,2,0,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,1,1,1,1,2,0,1,1,1,1,0,1,2,2,1,0,2,1,1,1,0,2,1,2,2,0,1,2,2,2,1,1,2,2,0,1,0,1,2,0,2,1,1,2,1,2,1,2,2,0,0,0,2,1,0,2,0,2,1,1,0,1,0,2,1,1,1,1,1,0,1,2,2,1,2,1,1,2,1,1,1,2,2,0,1,1,2,1,2,1,2,0,0,0,1,2,1,1,0,0,0,1,0,1,1,2,0,1,2,1,0,1,2,0,0,2,2,2,2,2,2,1,2,1,1,0,2,0,1,1,1,0,1,0,2,0,0,2,1,1,1,0,0,0,1,1,1,0,2,2,1,2,0,1,2,0,2,2,1,1,1,1,2,2,1,2,2,1,2,0,1,0,0,1,1,1,0,1,0,2,2
216_7,0,1,2,0,0,2,2,2,0,0,0,0,2,2,2,2,0,2,2,1,1,1,1,2,1,1,1,1,1,0,0,2,2,1,2,2,1,1,1,0,2,1,2,2,0,1,2,2,2,1,1,2,2,0,0,0,1,2,0,2,1,1,2,1,2,1,2,2,2,0,0,2,1,0,2,0,2,1,1,0,1,1,2,1,1,1,1,0,0,1,2,2,1,2,1,1,2,1,1,1,2,2,0,1,1,2,1,2,1,2,0,0,0,1,2,1,1,0,0,0,1,0,1,1,2,0,1,1,1,0,1,2,0,1,2,2,2,2,2,2,1,2,1,1,0,2,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,2,2,1,2,0,1,2,0,2,2,1,1,1,1,2,2,1,0,2,1,2,0,1,1,0,1,1,0,0,1,0,2,2
66_2,0,0,0:0.08/1:0.92,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.08/2:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.08/1:0.92,0,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.08/2:0.92,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/1:0.99,0,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.08/2:0.92,0,0,0,0,0:0.08/1:0.92,0,0,0,0:0.01/1:0.99,0,0,0,0,0,0,0,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0,0,0,0:0.08/2:0.92,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.08/1:0.92,0:0.08/2:0.92,0:0.08/1:0.92,0,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.08/2:0.92,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.08/2:0.92,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0,0,0,0:0.08/2:0.92,0,0:0.08/1:0.92,0,0,0:0.08/1:0.92,0:0.08/2:0.92
118_4,0:0.17/1:0.83,0,0:0.01/1:0.99,0,0:0.17/2:0.83,2,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,1,0,0:0.17/1:0.83,0:0.17/1:0.83,0,1,0:0.17/2:0.83,1,0:0.01/1:0.99,0,0,0,1,0,0:0.17/1:0.83,1,0:0.01/2:0.99,1,0,2,1,0,0:0.01/2:0.99,0:0.01/1:0.99,1,2,2,0:0.01/1:0.99,1,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,1,0,0,2,1,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.17/2:0.83,0,0:0.17/2:0.83,0:0.01/1:0.99,0:0.17/1:0.83,0,0:0.17/1:0.83,1,0:0.17/1:0.83,0,0,0,0,0,0:0.17/1:0.83,0,0,2,0:0.01/2:0.99,0,0,0:0.17/2:0.83,0:0.17/2:0.83,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,2,1,1,0,0,0:0.17/1:0.83,1,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0:0.17/1:0.83,2,0,2,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,1,0:0.17/2:0.83,0,0,1,0,0,0,2,0,1,0:0.01/2:0.99,1,0,1,0,0:0.17/2:0.83,0:0.01/2:0.99,0,2,0,2,0,0:0.01/2:0.99,1,2,1,1,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,1,0,0,0,0,0:0.17/2:0.83,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0:0.01/1:0.99,1,2,0:0.01/2:0.99,2,2,0,1,0,0:0.01/2:0.99,0,0:0.17/1:0.83,1,0:0.01/2:0.99,0,0,2,0:0.01/2:0.99,1,0,0:0.17/1:0.83,0,0:0.01/2:0.99,0:0.17/2:0.83,0:0.01/1:0.99,0:0.17/1:0.83,0,0:0.01/1:0.99,0:0.01/2:0.99
