[&R] ((((((216_3:0,216_4:0)207_2:0,(216_1:0,216_2:0)209_1:0)165_1:1.088,(216_5:0,216_6:0)210_5:2.088)120_1:0.004,((216_9:0.014,216_10:1.014)177_5:0.003,216_11:1.017)123_3:2.075)70_1:4.01,((216_14:0,216_15:0)179_9:0,216_13:0)129_5:4.103)23_1:1.897)I0;
I0,0,0,0,0,0,0,0,0,0,0
23_1,0,0:0.37/2:0.63,0,0,0,0,0:0.37/1:0.63,0,0:0.37/1:0.63,0
129_5,0,2,0,2,0,2,1,0,1,2
216_13,0,2,0,2,0,2,1,0,1,2
179_9,0,2,0,2,0,2,1,0,1,2
216_15,0,2,0,2,0,2,1,0,1,2
216_14,0,2,0,2,0,2,1,0,1,2
70_1,0:0.02/2:0.98,0:0.01/2:0.99,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0
123_3,2,2,2,0:0.01/1:0.99,1,0:0.01/2:0.99,1,0,1,0
216_11,2,2,2,1,1,2,1,0,1,1
177_5,2,2,2,0:0.01/1:0.99,1,0:0.01/2:0.99,1,0,1,0
216_10,2,2,2,1,1,2,1,1,1,0
216_9,2,2,2,1,1,2,1,0,1,0
120_1,0:0.02/2:0.98,0:0.01/2:0.99,0:0.02/2:0.98,0,0:0.02/1:0.98,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0
210_5,2,2,2,1,1,2,1,0,1,0
216_6,2,2,2,1,1,2,1,0,1,0
216_5,2,2,2,1,1,2,1,0,1,0
165_1,2,2,2,0,1,1,1,0,1,0
209_1,2,2,2,0,1,1,1,0,1,0
216_2,2,2,2,0,1,1,1,0,1,0
216_1,2,2,2,0,1,1,1,0,1,0
207_2,2,2,2,0,1,1,1,0,1,0
216_4,2,2,2,0,1,1,1,0,1,0
216_3,2,2,2,0,1,1,1,0,1,0
