[&R] (((((216_11:0,216_13:0)167_6:1.413,(216_9:0,216_10:0)168_5:2.413)119_4:1.803,((216_7:0.159,216_8:2.159)192_7:1.333,216_5:3.493)126_3:0.723)67_2:3.744,((216_1:0,216_2:0)182_1:1.036,216_4:0.036)126_1:5.924)11_1:0.04)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0,0,0,0,0,0:0.96/1:0.04,0,0,0,0
126_1,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99
216_4,0,1,0,0,1,1,1,0,2,1
182_1,2,1,0,0,1,1,1,0,2,1
216_2,2,1,0,0,1,1,1,0,2,1
216_1,2,1,0,0,1,1,1,0,2,1
67_2,0:0.05/2:0.95,0,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0,0,0:0.05/1:0.95,0
126_3,0:0.02/2:0.98,0,0:0.41/2:0.59,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0
216_5,2,1,2,1,0,1,2,0,1,1
192_7,2,0,0:0.04/2:0.96,1,0:0.11/1:0.89,1,0,0,1,0
216_8,2,1,2,1,1,1,0,2,1,0
216_7,2,0,2,1,1,1,0,0,1,0
119_4,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.19/1:0.81,0,0:0.01/1:0.99,0:0.19/2:0.81
168_5,2,2,0,1,1,1,1,0,1,2
216_10,2,2,0,1,1,1,1,0,1,2
216_9,2,2,0,1,1,1,1,0,1,2
167_6,2,0,0,1,0,1,1,1,1,2
216_13,2,0,0,1,0,1,1,1,1,2
216_11,2,0,0,1,0,1,1,1,1,2
