[&R] (((((216_11:0.036,216_13:1.036)167_6:2.047,(216_9:0.023,216_10:1.023)168_5:1.06)119_4:0.007,((216_7:0,216_8:0)192_7:0,216_5:0)126_3:4.09)67_2:2.432,((216_1:1.04,216_2:0.04)182_1:2.13,216_4:0.17)126_1:3.352)11_1:1.478)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0:0.26/1:0.74,0,0,0,0,0,0:0.26/2:0.74,0,0,0
126_1,0:0.01/1:0.99,0,0:0.05/1:0.95,0:0.05/2:0.95,0,0,0:0.01/2:0.99,0,0,0:0.05/1:0.95
216_4,1,0,1,2,0,0,2,0,0,1
182_1,1,0:0.02/2:0.98,1,2,0:0.02/1:0.98,0,2,0,0,1
216_2,1,2,1,2,1,0,2,0,0,1
216_1,1,2,1,2,1,0,2,2,0,1
67_2,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.04/2:0.96,0,0:0.04/2:0.96
126_3,1,0,2,0,2,2,2,2,2,2
216_5,1,0,2,0,2,2,2,2,2,2
192_7,1,0,2,0,2,2,2,2,2,2
216_8,1,0,2,0,2,2,2,2,2,2
216_7,1,0,2,0,2,2,2,2,2,2
119_4,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.03/2:0.97,0,0:0.03/2:0.97
168_5,1,0,0,0,0,0,2,2,0:0.02/1:0.98,2
216_10,1,0,2,0,0,0,2,2,1,2
216_9,1,0,0,0,0,0,2,2,1,2
167_6,1,0,0:0.02/2:0.98,0,0,0,2,2,0:0.02/2:0.98,2
216_13,1,0,2,0,2,0,2,2,2,2
216_11,1,0,2,0,0,0,2,2,2,2
