[&R] (((((216_11:2.02,216_13:2.02)167_6:0.001,(216_9:1.231,216_10:1.231)168_5:1.79)119_4:0.004,((216_7:0,216_8:0)192_7:1.959,216_5:3.959)126_3:1.066)67_2:4.931,((216_1:1.025,216_2:1.025)182_1:0.033,216_4:3.059)126_1:3.897)11_1:0.044)I0;
I0,0,0,0,0,0,0,0,0,0,0
11_1,0,0,0,0,0,0,0:0.96/2:0.04,0,0,0
126_1,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0
216_4,0,0,1,2,0,2,2,1,1,1
182_1,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0
216_2,0,1,0,2,0,2,2,1,0,0
216_1,0,0,0,2,1,2,2,1,0,0
67_2,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,2,0:0.01/2:0.99,0,0
126_3,2,0,1,1,0,0,2,2,0:0.47/1:0.53,0:0.47/1:0.53
216_5,2,1,1,1,1,1,2,2,1,1
192_7,2,0,1,1,2,0,2,2,1,1
216_8,2,0,1,1,2,0,2,2,1,1
216_7,2,0,1,1,2,0,2,2,1,1
119_4,2,0,1,1,0,0,2,2,0,0
168_5,2,0,1,1,0,0,2,2,0:0.11/2:0.89,0:0.11/1:0.89
216_10,2,0,1,1,0,1,2,2,2,1
216_9,2,0,1,1,0,2,2,2,2,1
167_6,2,0,1,1,0,0,2,2,0,0
216_13,2,1,1,1,0,2,2,2,0,0
216_11,2,0,1,1,2,1,2,2,0,0
