[&R] (((((216_6:1.044,216_7:0.044)205_4:2.162,(216_4:0,216_5:0)214_4:0.206)158_2:2.006,((216_2:0,216_3:0)212_2:1.306,216_1:2.306)165_1:0.906)109_1:0.909,((216_12:0,216_13:0)205_9:1.006,(216_14:0.005,216_15:2.005)207_12:0.001)150_4:1.115)62_1:2.878)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0,0,0,0:0.04/1:0.96,0:0.04/1:0.96,0,0,0:0.04/2:0.96
150_4,0,0,0,0:0.01/1:0.99,0,1,1,0,0,2
207_12,0,0,0,1,0,1,1,0,0,2
216_15,0,0,0,1,1,1,1,1,0,2
216_14,0,0,0,1,0,1,1,0,0,2
205_9,0,0,2,1,0,1,1,0,0,2
216_13,0,0,2,1,0,1,1,0,0,2
216_12,0,0,2,1,0,1,1,0,0,2
109_1,0,0,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.19/1:0.81,0,0:0.01/2:0.99
165_1,0,0,0,0,0,1,1,0:0.05/1:0.95,0:0.25/2:0.75,2
216_1,2,0,0,2,0,1,1,1,2,2
212_2,0,0,0,0,1,1,1,1,2,2
216_3,0,0,0,0,1,1,1,1,2,2
216_2,0,0,0,0,1,1,1,1,2,2
158_2,0,0,0:0.09/2:0.91,0,0:0.09/1:0.91,1,1,0:0.02/1:0.98,0,2
214_4,0,0,2,0,1,1,1,1,0,2
216_5,0,0,2,0,1,1,1,1,0,2
216_4,0,0,2,0,1,1,1,1,0,2
205_4,0:0.02/1:0.98,0,2,0:0.02/2:0.98,1,1,1,1,0,2
216_7,1,0,2,2,1,1,1,1,0,2
216_6,1,0,2,2,1,1,1,1,2,2
