[&R] (((((216_6:0,216_7:0)205_4:0.021,(216_4:0,216_5:0)214_4:1.021)158_2:1.991,((216_2:0,216_3:0)212_2:1.01,216_1:1.01)165_1:0.002)109_1:1.24,((216_12:0.026,216_13:1.026)205_9:1.073,(216_14:0,216_15:0)207_12:1.099)150_4:3.153)62_1:0.748)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0,0:0.25/2:0.75,0,0,0,0,0,0
150_4,0,0,0,0:0.01/2:0.99,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0
207_12,1,0,0,2,2,1,1,0,0,0
216_15,1,0,0,2,2,1,1,0,0,0
216_14,1,0,0,2,2,1,1,0,0,0
205_9,0,0:0.02/2:0.98,0,2,2,1,1,0,0,0
216_13,0,2,2,2,2,1,1,0,0,0
216_12,0,2,0,2,2,1,1,0,0,0
109_1,0,0,0,2,0,0,0,0,0,0:0.01/2:0.99
165_1,0,0,0,2,0,0,0,0,0,0:0.01/2:0.99
216_1,0,0,0,2,0,0,0,0,1,2
212_2,0,0,0,2,2,0,0,0,0,2
216_3,0,0,0,2,2,0,0,0,0,2
216_2,0,0,0,2,2,0,0,0,0,2
158_2,0:0.01/1:0.99,0,0,2,0,0,0,0:0.01/2:0.99,0,2
214_4,1,0,0,2,0,0,0,2,1,2
216_5,1,0,0,2,0,0,0,2,1,2
216_4,1,0,0,2,0,0,0,2,1,2
205_4,1,0,0,2,0,0,0,2,0,2
216_7,1,0,0,2,0,0,0,2,0,2
216_6,1,0,0,2,0,0,0,2,0,2
