[&R] (((((216_6:0,216_7:0)205_4:1.061,(216_4:0,216_5:0)214_4:0.061)158_2:4.325,((216_2:0,216_3:0)212_2:0,216_1:0)165_1:4.386)109_1:2.114,((216_12:0.022,216_13:1.022)205_9:1.03,(216_14:0,216_15:0)207_12:1.052)150_4:1.448)62_1:1.5)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0,0,0,0,0:0.25/1:0.75,0,0,0:0.25/2:0.75
150_4,0:0.03/1:0.97,0,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99
207_12,1,0,2,0,0,0,1,0,0,2
216_15,1,0,2,0,0,0,1,0,0,2
216_14,1,0,2,0,0,0,1,0,0,2
205_9,1,0,0,0,0,0:0.02/1:0.98,1,0,0,2
216_13,1,0,1,0,0,1,1,0,0,2
216_12,1,0,0,0,0,1,1,0,0,2
109_1,0,0:0.4/1:0.6,0,0:0.4/1:0.6,0,0,0:0.1/1:0.9,0:0.4/1:0.6,0,0:0.1/2:0.9
165_1,2,1,0,1,2,1,1,1,0,2
216_1,2,1,0,1,2,1,1,1,0,2
212_2,2,1,0,1,2,1,1,1,0,2
216_3,2,1,0,1,2,1,1,1,0,2
216_2,2,1,0,1,2,1,1,1,0,2
158_2,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,1,0:0.01/1:0.99,0:0.01/1:0.99,2
214_4,1,1,2,1,0,0,1,1,1,2
216_5,1,1,2,1,0,0,1,1,1,2
216_4,1,1,2,1,0,0,1,1,1,2
205_4,1,1,2,1,0,1,1,1,1,2
216_7,1,1,2,1,0,1,1,1,1,2
216_6,1,1,2,1,0,1,1,1,1,2
