[&R] (((((216_6:0,216_7:0)205_4:1.233,(216_4:0,216_5:0)214_4:1.233)158_2:2.381,((216_2:0,216_3:0)212_2:1.05,216_1:0.05)165_1:2.564)109_1:3.566,((216_12:0,216_13:0)205_9:1.415,(216_14:0,216_15:0)207_12:2.415)150_4:4.766)62_1:0.82)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0,0,0,0,0,0,0:0.59/1:0.41,0:0.59/1:0.41,0,0
150_4,0:0.08/2:0.92,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.08/1:0.92,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0
207_12,2,2,2,2,1,0,1,1,2,0
216_15,2,2,2,2,1,0,1,1,2,0
216_14,2,2,2,2,1,0,1,1,2,0
205_9,2,2,2,1,1,0,1,1,0,0
216_13,2,2,2,1,1,0,1,1,0,0
216_12,2,2,2,1,1,0,1,1,0,0
109_1,0,0,0:0.15/1:0.85,0,0,0:0.15/2:0.85,0:0.09/1:0.91,0:0.09/1:0.91,0,0:0.15/1:0.85
165_1,0,0:0.02/1:0.98,1,0,0:0.02/2:0.98,2,1,1,0,1
216_1,0,1,1,0,2,2,1,1,0,1
212_2,0,1,1,0,2,2,1,1,2,1
216_3,0,1,1,0,2,2,1,1,2,1
216_2,0,1,1,0,2,2,1,1,2,1
158_2,0,0,0:0.01/1:0.99,0:0.09/1:0.91,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.09/2:0.91,0:0.01/1:0.99
214_4,2,0,1,1,0,2,1,1,2,1
216_5,2,0,1,1,0,2,1,1,2,1
216_4,2,0,1,1,0,2,1,1,2,1
205_4,0,2,1,1,0,2,1,1,2,1
216_7,0,2,1,1,0,2,1,1,2,1
216_6,0,2,1,1,0,2,1,1,2,1
