[&R] (((((216_6:1.021,216_7:2.021)205_4:9.986,(216_4:1.002,216_5:0.002)214_4:13.005)158_2:23.514,((216_2:0,216_3:0)212_2:8.251,216_1:17.251)165_1:24.27)109_1:48.062,((216_12:1.051,216_13:4.051)205_9:19.008,(216_14:3.072,216_15:3.072)207_12:17.986)150_4:53.525)62_1:63.417)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62_1,0:0.14/1:0.86,0,0,0:0.14/2:0.86,0,0:0.14/1:0.86,0,0:0.14/2:0.86,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0:0.14/1:0.86,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0,0:0.14/1:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0:0.14/2:0.86,0:0.14/2:0.86,0:0.14/2:0.86,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0,0,0,0:0.14/1:0.86,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0,0:0.14/1:0.86,0,0,0,0:0.14/1:0.86,0,0,0,0,0:0.14/2:0.86,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/2:0.86,0,0,0,0,0,0,0,0,0,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0,0:0.14/1:0.86,0:0.14/2:0.86,0,0,0,0:0.14/1:0.86,0,0,0,0,0:0.14/2:0.86,0:0.14/1:0.86,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0,0:0.14/1:0.86,0:0.14/1:0.86,0,0:0.14/2:0.86,0,0:0.14/2:0.86,0,0:0.14/1:0.86,0,0,0,0:0.14/2:0.86,0,0,0,0:0.14/1:0.86,0,0,0,0,0:0.14/2:0.86,0,0:0.14/2:0.86,0,0,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0:0.14/2:0.86,0,0,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0,0,0:0.14/2:0.86,0:0.14/2:0.86,0:0.14/2:0.86,0:0.14/2:0.86,0,0,0,0:0.14/2:0.86,0,0,0,0:0.14/1:0.86,0:0.14/2:0.86,0:0.14/1:0.86,0:0.14/2:0.86,0,0:0.14/2:0.86,0:0.14/2:0.86,0
150_4,0:0.01/1:0.99,0:0.04/2:0.96,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0:0.04/1:0.96,0,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.01/2:0.99,0:0.04/1:0.96,0,0,0:0.04/1:0.96,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.04/2:0.96,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.04/2:0.96,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.04/1:0.96,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.04/1:0.96,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.04/2:0.96,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.04/2:0.96,0,0:0.04/2:0.96,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.01/1:0.99,0,0:0.04/2:0.96,0:0.04/1:0.96,0:0.01/1:0.99,0:0.04/2:0.96,0,0,0,0:0.01/2:0.99,0:0.04/2:0.96,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.04/1:0.96,0,0:0.04/2:0.96,0,0,0,0,0,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.04/1:0.96,0,0,0:0.01/1:0.99,0:0.04/2:0.96,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0:0.04/1:0.96,0,0,0,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/1:0.99,0:0.04/2:0.96,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.04/2:0.96,0:0.04/2:0.96,0,0:0.01/2:0.99,0,0:0.04/2:0.96,0:0.04/2:0.96,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.04/2:0.96,0,0,0,0:0.04/2:0.96,0,0:0.01/2:0.99,0,0,0,0:0.04/1:0.96,0:0.01/2:0.99,0,0,0:0.04/2:0.96,0,0:0.01/2:0.99,0:0.04/1:0.96,0:0.04/2:0.96,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.04/1:0.96,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.04/2:0.96,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/2:0.99,0:0.04/2:0.96
207_12,1,2,0,2,0,1,0,2,1,1,2,1,0,0,2,2,2,1,0,0,1,0,2,1,1,2,1,0,0,1,1,0,1,2,1,1,2,1,1,2,1,2,0,1,1,0,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,2,0,0,0,2,0,2,1,2,0,2,1,2,0,1,0,2,1,0,2,1,1,2,1,0,0,2,2,2,1,2,2,0,0,1,0,2,0,0,1,0,2,1,1,2,1,0,1,2,1,0,0,1,2,0,0,1,2,1,2,0,0,0,2,1,0,0,1,1,1,1,2,2,0,2,1,1,2,2,0,2,0,2,2,1,0,0,0,0,2,0,2,2,0,2,1,2,1,2,0,0,0,1,2,2,0,2,0,2,1,2,2,2,0,2,1,0,2,2,2,2,0,2,0,2,0,0,0,1,2,1,2,1,2,2,2
216_15,1,2,0,2,0,1,0,2,1,1,2,1,0,0,2,2,2,1,0,0,1,1,2,1,1,2,1,0,0,1,1,2,1,2,1,1,2,1,1,2,1,2,0,1,1,0,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,2,0,0,0,2,0,2,1,2,0,2,1,2,0,1,0,2,1,0,2,1,1,2,1,0,0,2,2,2,1,2,2,0,0,1,0,2,0,0,1,0,2,1,1,2,1,0,1,2,1,0,0,1,2,0,0,1,2,1,2,0,0,0,2,1,0,0,1,1,1,1,2,2,0,2,1,1,2,2,0,2,0,2,2,1,0,0,0,0,2,0,2,2,0,2,1,2,1,2,0,0,0,1,2,2,0,2,0,2,1,2,2,2,0,2,1,1,2,2,2,2,0,2,0,2,0,0,0,1,2,1,2,1,2,2,2
216_14,1,2,0,2,0,1,0,2,1,1,2,1,0,0,2,2,2,1,0,0,1,0,2,1,1,2,1,0,0,1,1,0,1,2,1,1,2,1,1,2,1,2,0,1,1,0,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,2,2,0,0,2,0,2,1,2,0,2,1,2,0,1,0,2,1,0,2,1,1,2,1,0,0,2,2,2,1,2,2,0,0,1,0,2,0,0,1,0,2,1,1,2,1,0,1,2,1,0,0,1,2,0,0,1,2,1,2,0,0,2,2,1,0,0,1,1,1,1,2,2,0,2,1,1,2,2,0,2,0,2,2,1,0,0,0,0,2,0,2,2,0,2,1,2,1,2,0,0,0,1,2,2,0,2,0,2,1,2,2,2,0,2,1,0,2,2,2,2,2,2,0,2,0,0,0,1,2,1,2,1,2,2,2
205_9,1,2,0,2,0,1,0,2,1,1,2,1,1,0,2,2,2,1,0,0,1,0,0,1,1,2,1,1,2,1,1,0,1,2,1,1,2,1,1,2,1,2,0,1,1,1,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,0,0,0,0,2,0,2,0,2,1,2,1,2,0,1,0,2,1,2,2,1,1,2,0,1,0,2,2,0,1,2,2,0,1,1,0,2,0,1,0,2,0,1,1,2,1,0,1,2,1,2,1,1,2,0,2,0,2,1,1,1,1,0,2,1,0,0,0,1,1,1,2,2,0,2,0,1,2,2,0,2,0,2,2,1,0,0,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,1,2,0,0,2,0,2,1,2,2,0,0,2,1,1,2,2,2,2,0,2,0,2,0,0,0,1,2,1,2,1,2,2,2
216_13,1,2,0,2,0,1,0,2,1,1,2,1,1,0,2,2,2,1,0,0,1,0,0,1,1,2,1,1,2,1,1,0,1,2,1,1,2,1,1,2,1,2,0,1,1,1,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,0,0,0,0,2,2,2,0,2,1,2,1,2,0,1,0,2,1,2,2,1,1,2,0,1,0,2,2,0,1,2,2,0,1,1,0,2,0,1,0,2,0,1,1,2,1,0,1,2,1,2,1,1,2,0,2,0,2,1,1,1,1,0,2,1,0,0,0,1,1,1,2,2,0,2,0,1,2,2,0,2,0,2,2,1,0,0,0,0,2,0,2,2,0,0,0,2,1,2,0,0,0,1,2,0,2,2,0,2,1,2,2,2,0,2,1,1,2,2,2,2,0,2,0,2,0,0,0,1,2,1,2,1,2,2,2
216_12,1,2,0,2,0,1,0,2,1,1,2,1,1,0,2,2,2,1,0,0,1,0,0,1,1,2,1,1,2,1,1,0,1,2,1,1,2,1,1,2,1,2,0,1,1,1,1,1,2,0,1,2,1,2,2,2,0,1,1,0,0,0,2,1,0,0,0,0,2,0,2,0,2,1,2,1,2,0,1,0,2,1,2,2,1,1,2,0,1,0,2,2,0,1,2,2,0,1,1,0,2,0,1,0,2,0,1,1,2,1,0,1,2,1,2,1,1,2,0,2,0,2,1,1,1,1,0,2,1,0,0,0,1,1,1,2,2,0,2,0,1,2,2,0,2,0,2,2,1,0,0,0,0,2,2,2,2,0,0,0,2,0,2,0,0,0,1,2,0,0,2,0,2,1,2,2,0,0,2,1,1,2,2,2,2,0,2,0,2,0,0,0,1,2,1,2,1,2,2,2
109_1,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0,0:0.07/2:0.93,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0:0.01/1:0.99,0,0:0.07/2:0.93,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.01/2:0.99,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0,0:0.01/1:0.99,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.01/2:0.99,0,0:0.07/2:0.93,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0:0.07/2:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0
165_1,1,0,0:0.05/1:0.95,2,0:0.05/1:0.95,1,1,2,0,1,2,0,2,0,1,0,2,2,2,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,2,2,1,2,1,2,0:0.05/2:0.95,0:0.05/2:0.95,1,1,1,1,2,0,0:0.05/1:0.95,2,0,2,2,2,0,1,1,0,2,2,0,1,1,0,1,0,2,0,0,0,1,2,2,1,2,0:0.05/2:0.95,0,1,0,1,0,0:0.05/2:0.95,2,1,1,0,0:0.05/2:0.95,0,2,0:0.05/2:0.95,2,1,2,2,0,0,2,1,0:0.05/1:0.95,1,2,0,1,0:0.05/1:0.95,0,1,2,1,0,1,2,0:0.05/1:0.95,1,0,1,0,2,0:0.05/1:0.95,0,2,1,1,2,0:0.05/2:0.95,0,2,0,1,1,0,0:0.05/2:0.95,1,1,0,2,0,2,0,1,0,0:0.05/2:0.95,0,2,2,0,0:0.05/2:0.95,1,2,0,1,0,2,2,2,0,0:0.05/1:0.95,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.05/2:0.95,2,2,0,2,2,2,0,2,0,0,2,0,0,2,0,0,2,0,0:0.05/2:0.95,2,2,2,2,0,0,2,2,0,0,2,1,2,1,2,2,2,2,0
