[&R] (((((216_9:4.068,216_10:2.068)202_8:7.641,216_8:13.709)164_4:17.237,((216_11:1.008,216_12:1.008)209_11:14.495,216_13:15.503)164_5:18.443)124_4:20.345,(((216_17:0.002,216_18:1.002)205_15:14.96,216_15:8.962)165_8:16.756,((216_21:3.049,216_22:2.049)201_15:9.991,(216_19:5.053,216_20:0.053)203_16:14.987)165_9:16.678)125_6:21.573)83_3:86.709)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83_3,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0,0:0.03/1:0.97,0,0,0,0,0,0,0,0:0.03/2:0.97,0,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0,0:0.03/1:0.97,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0,0,0,0,0:0.03/2:0.97,0:0.03/1:0.97,0,0:0.03/2:0.97,0,0,0,0:0.03/2:0.97,0,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0,0,0,0,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0,0,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0,0,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0,0,0,0:0.03/1:0.97,0,0,0,0:0.03/1:0.97,0:0.03/1:0.97,0,0,0,0,0,0,0,0,0,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/1:0.97,0:0.03/1:0.97
125_6,0,0,2,2,1,2,0,0:0.07/2:0.93,1,1,0,0,0,1,0,2,1,2,0,2,0,0,2,0:0.07/2:0.93,2,2,0,2,0,0,2,2,2,0,1,0,1,0,1,2,0,0,0:0.07/1:0.93,1,0,0,0:0.07/1:0.93,0,0,0,0,2,0,0,1,0,1,0,0,1,2,0:0.07/2:0.93,1,0,1,0,2,2,0,1,1,0,1,2,0,0,0,0,0,1,2,2,0,0,0,1,0,2,0:0.07/1:0.93,1,0,0:0.07/2:0.93,2,2,0,1,1,2,1,0,1,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,2,1,0,2,0,0,0:0.07/2:0.93,2,0:0.07/2:0.93,0:0.07/2:0.93,2,0:0.07/1:0.93,2,1,0,0,2,2,2,1,0,0,0,1,1,0,1,0,0,2,1,2,2,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0,0,0,2,2,1,1,2,2,0,0,0,0,2,0,2,0,0,0,0:0.07/2:0.93,2,1,2,2,1,0,0,0:0.07/1:0.93,1,2,0:0.07/2:0.93,0,0,0,0,1,0,0:0.07/2:0.93,0,1,1,0,0,0,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0,0,2,2,1,1
165_9,0,0:0.06/2:0.94,2,2,1,2,0,2,1,1,0,0,0,1,0,2,1,2,0,2,0,0,2,2,2,2,0:0.06/2:0.94,2,0,0,2,2,2,0:0.06/1:0.94,1,0,1,0,1,2,0:0.06/1:0.94,0,1,1,0,0:0.06/1:0.94,1,0,0,0,0,2,0,0:0.06/1:0.94,1,0,1,0,0,1,2,2,1,0,1,0,2,2,0,1,1,0,1,2,0,0,0:0.06/1:0.94,0,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,0,0,2,0,2,1,0,2,0,0,2,2,2,2,2,1,2,1,0:0.06/2:0.94,0,2,2,2,1,0,0,0:0.06/2:0.94,1,1,0,1,0,0,2,1,2,2,2,0,0:0.06/1:0.94,2,0:0.06/1:0.94,0,0,0:0.06/1:0.94,2,2,1,1,2,2,0,0,0,0,2,0,2,0,0,0:0.06/2:0.94,2,2,1,2,2,1,0,0:0.06/1:0.94,1,1,2,2,0,0,0,0,1,0:0.06/1:0.94,2,0,1,1,0,0:0.06/2:0.94,0,2,0,0,0,1,0,0,0,2,2,1,1
203_16,0,2,2,2,1,2,0,2,1,1,1,0,2,1,0,2,1,2,0,2,0,0,2,2,2,2,2,2,0,0,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,2,0,0,0,2,0,1,1,0,1,0,2,1,2,2,1,0,1,0,2,2,0,1,1,0,1,2,0,0,1,2,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,0,0,2,0,2,1,2,2,0,0,2,2,2,2,2,1,2,1,2,0,2,2,2,1,0,1,2,1,1,0,1,1,0,2,1,2,2,2,0,1,2,1,0,0,1,2,2,1,1,2,2,2,0,2,0,2,2,2,1,0,2,2,2,1,2,2,1,0,1,1,1,2,2,0,0,0,2,1,1,2,0,1,1,0,2,0,2,2,0,0,1,0,0,0,2,2,1,1
216_20,0,2,2,2,1,2,0,2,1,1,1,0,2,1,0,2,1,2,0,2,0,0,2,2,2,2,2,2,0,0,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,2,0,0,0,2,0,1,1,0,1,0,2,1,2,2,1,0,1,0,2,2,0,1,1,0,1,2,0,0,1,2,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,0,0,2,0,2,1,2,2,0,0,2,2,2,2,2,1,2,1,2,0,2,2,2,1,0,1,2,1,1,0,1,1,0,2,1,2,2,2,0,1,2,1,0,0,1,2,2,1,1,2,2,2,0,2,0,2,2,2,1,0,2,2,2,1,2,2,1,0,1,1,1,2,2,0,0,0,2,1,1,2,0,1,1,0,2,0,2,2,0,0,1,0,0,0,2,2,1,1
216_19,0,2,2,2,1,2,0,2,1,1,1,0,2,1,0,2,1,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,2,0,0,0,2,0,1,1,0,1,0,2,1,2,2,1,2,1,0,2,2,0,1,1,0,1,2,0,0,1,2,0,1,2,2,0,0,0,1,0,2,1,1,2,2,2,2,2,1,1,2,1,0,1,1,0,0,2,0,2,1,2,2,0,0,2,2,2,2,2,1,2,1,2,0,2,2,2,1,0,1,2,1,1,0,1,1,0,2,1,2,2,2,0,1,2,1,0,0,1,2,2,1,1,2,2,2,0,2,0,2,2,2,1,0,2,2,2,1,2,2,1,0,1,1,1,2,2,0,0,0,2,1,1,2,0,1,1,0,2,0,2,2,0,0,1,0,0,0,2,2,1,1
201_15,0,2,2,2,1,2,0,2,1,1,0,0,0,1,0,2,1,2,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1,2,2,1,0,1,0,2,2,2,1,1,0,1,2,0,0,1,0,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,2,1,2,0,2,1,0,2,1,0,2,2,2,2,2,1,2,1,2,0,2,2,2,1,0,0,2,1,1,0,1,0,0,2,1,2,2,2,0,1,2,1,0,0,1,2,2,1,1,2,2,0,0,0,0,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,1,2,2,0,0,1,0,1,1,2,2,1,1,0,2,0,2,1,0,0,1,0,0,0,2,2,1,1
216_22,0,2,2,2,1,2,0,2,1,1,0,0,0,1,0,2,1,2,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1,2,2,1,0,1,0,2,2,2,1,1,0,1,2,0,0,1,0,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,2,1,2,0,2,1,0,2,1,0,2,2,2,2,2,1,2,1,2,1,2,2,2,1,0,0,2,1,1,0,1,0,0,2,1,2,2,2,0,1,2,1,2,0,1,2,2,1,1,2,2,0,0,0,0,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,1,2,2,0,0,1,0,1,1,2,2,1,1,0,2,0,2,1,0,0,1,0,0,0,2,2,1,1
216_21,0,2,2,2,1,2,0,2,1,1,0,0,0,1,0,2,1,2,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,1,1,0,1,0,1,2,1,0,1,1,0,1,1,0,0,0,0,2,0,1,1,0,1,0,0,1,2,2,1,0,1,0,2,2,2,1,1,0,1,2,0,0,1,1,0,1,2,2,0,0,0,1,0,2,1,1,0,2,2,2,0,1,1,2,1,0,1,1,2,1,2,0,2,1,0,2,1,0,2,2,2,2,2,1,2,1,2,0,2,2,2,1,0,0,2,1,1,0,1,0,0,2,1,2,2,2,0,1,2,1,0,0,1,2,2,1,1,2,2,0,0,0,0,2,0,2,0,2,2,2,2,1,2,2,1,0,1,1,1,2,2,2,0,1,0,1,1,2,2,1,1,0,2,0,2,1,2,0,1,0,0,0,2,2,1,1
