[&R] (((((216_13:1.004,216_14:0.004)165_5:0.001,(216_8:0,216_9:0)214_7:1.005)121_3:2.783,((216_18:1.008,216_19:0.008)195_11:0.002,216_16:1.01)133_6:3.778)67_2:2.254,((216_5:1.094,216_7:0.094)173_3:2.238,216_4:0.332)121_1:5.71)20_1:0.958)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0,0:0.52/1:0.48,0,0:0.52/2:0.48,0,0,0,0,0,0
121_1,0:0.05/1:0.95,0:0.03/1:0.97,0:0.05/2:0.95,0:0.03/2:0.97,0:0.05/1:0.95,0,0:0.05/2:0.95,0,0:0.05/1:0.95,0
216_4,1,1,2,2,1,0,2,0,1,0
173_3,1,1,2,2,1,0:0.04/1:0.96,2,0:0.04/2:0.96,1,0
216_7,1,1,2,2,1,1,2,2,1,0
216_5,1,1,2,2,1,1,2,2,1,1
67_2,0,0:0.13/1:0.87,0:0.26/1:0.74,0:0.13/2:0.87,0,0:0.26/1:0.74,0,0,0,0
133_6,1,1,1,2,0,1,2,0,0,2
216_16,1,1,1,2,2,1,2,0,0,2
195_11,1,1,1,2,0,1,2,0,0,2
216_19,1,1,1,2,0,1,2,0,0,2
216_18,1,1,1,2,1,1,2,0,0,2
121_3,0,1,1,2,2,1,0,0,0,1
214_7,2,1,1,2,2,1,0,0,0,1
216_9,2,1,1,2,2,1,0,0,0,1
216_8,2,1,1,2,2,1,0,0,0,1
165_5,0,1,1,2,2,1,0,0,0,1
216_14,0,1,1,2,2,1,0,0,0,1
216_13,0,1,1,2,2,1,0,2,0,1
