[&R] (((((216_13:0.048,216_14:1.048)165_5:2.286,(216_8:0,216_9:0)214_7:1.334)121_3:1.036,((216_18:0,216_19:0)195_11:1.05,216_16:0.05)133_6:3.32)67_2:2.375,((216_5:0.039,216_7:2.039)173_3:0.004,216_4:2.043)121_1:4.703)20_1:1.254)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0,0,0,0,0,0:0.37/1:0.63,0,0:0.37/1:0.63,0,0
121_1,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,1,0:0.01/1:0.99,1,0:0.01/1:0.99,0
216_4,2,1,1,1,0,1,1,1,1,0
173_3,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,1,0:0.01/1:0.99,1,0:0.01/1:0.99,0
216_7,0,1,1,1,1,1,1,1,1,0
216_5,0,1,0,1,0,1,1,1,1,0
67_2,0,0,0:0.13/2:0.87,0,0,0:0.05/1:0.95,0,0:0.05/1:0.95,0:0.13/2:0.87,0
133_6,0,0:0.01/2:0.99,2,0,0:0.01/2:0.99,1,0:0.01/2:0.99,1,2,0
216_16,0,2,2,0,2,1,2,1,2,0
195_11,0,2,2,0,2,1,2,1,2,1
216_19,0,2,2,0,2,1,2,1,2,1
216_18,0,2,2,0,2,1,2,1,2,1
121_3,0,0,0:0.03/2:0.97,0,0,0:0.01/1:0.99,0:0.24/1:0.76,0:0.01/1:0.99,0:0.03/2:0.97,0
214_7,0,0,2,0,0,1,1,1,2,1
216_9,0,0,2,0,0,1,1,1,2,1
216_8,0,0,2,0,0,1,1,1,2,1
165_5,0:0.02/1:0.98,0:0.02/2:0.98,2,0,0,1,1,1,2,0
216_14,1,2,2,0,2,1,1,1,2,0
216_13,1,2,2,0,0,1,1,1,2,0
