[&R] (((((216_13:0,216_14:0)165_5:1.033,(216_8:0,216_9:0)214_7:0.033)121_3:2.754,((216_18:0,216_19:0)195_11:1.051,216_16:0.051)133_6:3.736)67_2:0.659,((216_5:1.027,216_7:0.027)173_3:0.014,216_4:2.041)121_1:4.405)20_1:2.554)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0:0.15/2:0.85,0,0:0.15/1:0.85,0,0,0,0:0.15/2:0.85,0,0,0
121_1,2,0:0.01/2:0.99,1,0,0:0.01/2:0.99,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0
216_4,2,2,1,1,2,2,2,1,1,0
173_3,2,0:0.01/2:0.99,1,0,0:0.01/2:0.99,0:0.01/2:0.99,2,0,0:0.01/1:0.99,0
216_7,2,2,1,0,2,2,2,0,1,0
216_5,2,2,1,0,2,2,2,0,1,1
67_2,0:0.08/2:0.92,0,0:0.08/1:0.92,0,0,0:0.54/1:0.46,0:0.08/2:0.92,0,0,0
133_6,2,0:0.01/1:0.99,1,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0,0:0.01/2:0.99,0
216_16,2,1,1,0,1,1,2,0,2,0
195_11,2,1,1,0,1,1,2,1,2,0
216_19,2,1,1,0,1,1,2,1,2,0
216_18,2,1,1,0,1,1,2,1,2,0
121_3,2,0,1,0,0,0:0.01/1:0.99,2,0:0.01/2:0.99,0:0.01/1:0.99,0
214_7,2,0,1,0,0,1,2,2,1,0
216_9,2,0,1,0,0,1,2,2,1,0
216_8,2,0,1,0,0,1,2,2,1,0
165_5,2,0,1,0,2,1,2,2,1,0
216_14,2,0,1,0,2,1,2,2,1,0
216_13,2,0,1,0,2,1,2,2,1,0
