[&R] (((((216_13:1.291,216_14:2.291)165_5:3.304,(216_8:1.021,216_9:0.021)214_7:2.574)121_3:0.705,((216_18:0,216_19:0)195_11:1.122,216_16:1.122)133_6:4.178)67_2:0.7,((216_5:2.007,216_7:0.007)173_3:0.002,216_4:1.009)121_1:3.991)20_1:0)I0;
I0,0,0,0,0,0,0,0,0,0,0
20_1,0,0,0,0,0,0,0,0,0,0
121_1,0,2,0,0,1,2,0,0,0,1
216_4,0,2,1,0,1,2,0,0,0,1
173_3,0,2,0,0,1,2,0,0,0,1
216_7,0,2,0,0,1,2,0,0,0,1
216_5,0,2,2,0,1,2,0,0,1,1
67_2,0,0,0:0.3/2:0.7,0,0,0,0,0,0,0
133_6,0:0.03/2:0.97,0:0.03/2:0.97,0:0.01/2:0.99,0,0,0,0,0:0.03/1:0.97,0:0.03/2:0.97,0
216_16,2,2,2,0,0,2,0,1,2,0
195_11,2,2,2,0,0,0,1,1,2,0
216_19,2,2,2,0,0,0,1,1,2,0
216_18,2,2,2,0,0,0,1,1,2,0
121_3,0,0,0:0.14/2:0.86,0,0,0:0.46/1:0.54,0,0,0,0
214_7,0,0,2,0,0,1,0,0:0.01/2:0.99,0:0.01/1:0.99,0
216_9,0,0,2,0,0,1,0,2,1,0
216_8,0,0,2,0,0,1,0,2,1,1
165_5,0,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/2:0.92,0,0:0.04/1:0.96,0:0.08/2:0.92,0,0,0
216_14,0,2,2,2,0,1,2,1,1,0
216_13,1,2,2,2,0,1,2,0,0,0
