[&R] (((((216_5:2.009,216_6:0.009)205_5:0.002,(216_7:0,216_8:0)207_7:2.011)169_3:1.082,(216_9:1.039,216_10:0.039)177_5:5.053)126_2:0.008,((216_1:0.003,216_2:1.003)187_1:0.002,(216_3:0,216_4:0)188_3:1.005)136_1:3.096)77_1:1.899)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0,0,0,0,0:0.05/2:0.95,0,0,0,0,0:0.05/2:0.95
136_1,1,0,2,0,2,2,0,0,0,2
188_3,1,0,2,0,2,2,2,0,0,2
216_4,1,0,2,0,2,2,2,0,0,2
216_3,1,0,2,0,2,2,2,0,0,2
187_1,1,0,2,0,2,2,0,0,0,2
216_2,1,0,2,0,2,2,0,2,0,2
216_1,1,0,2,0,2,2,0,0,0,2
126_2,0,0,0,0,0:0.05/2:0.95,0,0,0,0,0:0.05/2:0.95
177_5,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,2,0,0:0.01/2:0.99,0:0.01/1:0.99,0,2
216_10,0,2,2,2,2,0,2,1,0,2
216_9,0,2,2,2,2,2,2,1,0,2
169_3,0,0,0,0,2,0,0,0,0:0.01/2:0.99,2
207_7,2,2,0,0,2,0,0,0,2,2
216_8,2,2,0,0,2,0,0,0,2,2
216_7,2,2,0,0,2,0,0,0,2,2
205_5,0,0,0,0,2,0,0,0,0:0.01/2:0.99,2
216_6,0,0,0,0,2,0,0,0,2,2
216_5,2,0,1,0,2,0,0,0,2,2
