[&R] (((((216_5:0,216_6:0)205_5:1.151,(216_7:0,216_8:0)207_7:1.151)169_3:0.993,(216_9:0,216_10:0)177_5:1.145)126_2:0.957,((216_1:1.011,216_2:1.011)187_1:0.002,(216_3:0.035,216_4:1.035)188_3:0.978)136_1:1.089)77_1:3.898)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0:0.03/2:0.97,0,0,0:0.03/1:0.97,0,0,0:0.03/2:0.97,0,0:0.03/1:0.97,0
136_1,2,0,0:0.01/1:0.99,1,0,0,2,0,1,0
188_3,2,0,1,1,0,0,2,0:0.03/2:0.97,1,0
216_4,2,0,1,1,0,2,2,2,1,0
216_3,2,0,1,1,0,0,2,2,1,0
187_1,2,0,0:0.01/1:0.99,1,0,0,2,0,1,0
216_2,2,0,1,1,0,0,2,0,1,1
216_1,2,0,1,1,2,0,2,0,1,0
126_2,2,0,0,1,0,0,2,0,1,0:0.13/1:0.87
177_5,2,0,0,1,0,2,2,0,1,1
216_10,2,0,0,1,0,2,2,0,1,1
216_9,2,0,0,1,0,2,2,0,1,1
169_3,2,0:0.13/1:0.87,0,1,0,0,2,0,1,0:0.02/1:0.98
207_7,2,1,0,1,0,0,2,2,1,1
216_8,2,1,0,1,0,0,2,2,1,1
216_7,2,1,0,1,0,0,2,2,1,1
205_5,2,1,0,1,2,0,2,0,1,1
216_6,2,1,0,1,2,0,2,0,1,1
216_5,2,1,0,1,2,0,2,0,1,1
