[&R] (((((216_5:0,216_6:0)205_5:1.048,(216_7:0,216_8:0)207_7:0.048)169_3:0.972,(216_9:1.018,216_10:1.018)177_5:0.002)126_2:1.104,((216_1:1.049,216_2:0.049)187_1:1.122,(216_3:0,216_4:0)188_3:1.17)136_1:0.953)77_1:4.877)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0:0.02/2:0.98,0:0.02/2:0.98,0:0.02/1:0.98,0,0:0.02/1:0.98,0,0,0:0.02/1:0.98,0,0
136_1,2,2,1,0,1,0,0,1,0,0:0.15/2:0.85
188_3,2,2,1,0,1,2,0,1,0,2
216_4,2,2,1,0,1,2,0,1,0,2
216_3,2,2,1,0,1,2,0,1,0,2
187_1,2,2,1,0,1,0:0.04/1:0.96,0,1,0,0:0.01/2:0.99
216_2,2,2,1,0,1,1,0,1,0,2
216_1,2,2,1,2,1,1,0,1,0,2
126_2,2,2,1,0,1,0,0,1,0:0.02/1:0.98,0
177_5,2,2,1,0,1,0,0,1,0:0.02/1:0.98,0
216_10,2,2,1,0,1,0,0,1,1,2
216_9,2,2,1,0,1,0,2,1,1,0
169_3,2,2,1,0,1,0,0:0.05/2:0.95,1,1,0
207_7,2,2,1,0,1,0,2,1,1,0
216_8,2,2,1,0,1,0,2,1,1,0
216_7,2,2,1,0,1,0,2,1,1,0
205_5,2,2,1,0,1,0,2,1,1,2
216_6,2,2,1,0,1,0,2,1,1,2
216_5,2,2,1,0,1,0,2,1,1,2
