[&R] (((((216_5:0,216_6:0)205_5:0,(216_7:0,216_8:0)207_7:0)169_3:0.003,(216_9:1.002,216_10:1.002)177_5:0.001)126_2:1.3,((216_1:0,216_2:0)187_1:1.181,(216_3:1.195,216_4:1.195)188_3:0.986)136_1:2.123)77_1:3.697)I0;
I0,0,0,0,0,0,0,0,0,0,0
77_1,0,0,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/2:0.92,0,0,0,0
136_1,0:0.08/2:0.92,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0
188_3,0:0.01/2:0.99,0,1,1,1,2,0:0.16/1:0.84,0:0.01/1:0.99,0,0
216_4,2,0,1,1,1,2,1,1,2,0
216_3,2,0,1,1,1,2,1,1,1,0
187_1,2,0,1,1,1,2,0,1,0,2
216_2,2,0,1,1,1,2,0,1,0,2
216_1,2,0,1,1,1,2,0,1,0,2
126_2,0,0,1,1,1,2,0,0,0,1
177_5,0,0,1,1,1,2,0,0,0,1
216_10,0,0,1,1,1,2,0,2,0,1
216_9,0,0,1,1,1,2,0,0,2,1
169_3,0,0,1,1,1,2,0,0,0,1
207_7,0,0,1,1,1,2,0,0,0,1
216_8,0,0,1,1,1,2,0,0,0,1
216_7,0,0,1,1,1,2,0,0,0,1
205_5,0,0,1,1,1,2,0,0,0,1
216_6,0,0,1,1,1,2,0,0,0,1
216_5,0,0,1,1,1,2,0,0,0,1
