[&R] (((((216_5:4.121,216_6:3.121)205_5:11.32,(216_7:2.042,216_8:2.042)207_7:16.4)169_3:26.782,(216_9:16.146,216_10:10.146)177_5:19.078)126_2:28.737,((216_1:12.661,216_2:15.661)187_1:19.521,(216_3:9.564,216_4:7.564)188_3:14.618)136_1:42.778)77_1:79.04)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77_1,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0,0,0,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0:0.07/2:0.93,0,0,0,0:0.07/1:0.93,0,0,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.07/2:0.93,0,0,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0,0,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0,0,0,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93
136_1,2,2,0,2,0,0:0.05/2:0.95,1,1,0:0.05/1:0.95,0:0.05/2:0.95,0,0,0,0,1,1,0,0:0.05/2:0.95,0,0,0:0.05/2:0.95,0,1,0,0:0.05/1:0.95,1,0,0,1,0,0:0.05/1:0.95,2,2,1,1,0,0,0:0.05/2:0.95,1,0,0:0.05/1:0.95,1,0,0,2,1,1,2,2,2,0,0,0,0,0,1,0:0.05/2:0.95,0,2,0,0,1,0,0,0:0.05/2:0.95,0,0,1,2,0,1,0,0,1,0:0.05/2:0.95,1,1,0:0.05/2:0.95,0,0,0:0.05/1:0.95,0:0.05/2:0.95,0,0:0.05/2:0.95,2,0:0.05/1:0.95,0:0.05/2:0.95,0,2,1,2,0,0,2,2,0:0.05/1:0.95,2,2,0,2,1,0:0.05/2:0.95,0,2,0,0:0.05/1:0.95,0,0,2,0,0,0,1,0,0,0:0.05/2:0.95,0:0.05/2:0.95,1,0:0.05/1:0.95,2,0,2,2,2,2,0:0.05/2:0.95,2,1,2,1,0:0.05/2:0.95,2,0,1,2,1,0:0.05/1:0.95,1,2,1,0,0:0.05/1:0.95,0,0:0.05/1:0.95,2,0,0,1,1,2,1,0:0.05/1:0.95,0,2,0:0.05/1:0.95,0:0.05/1:0.95,0:0.05/1:0.95,2,0:0.05/1:0.95,2,2,0,0:0.05/2:0.95,0,0,0,0,1,0,2,0:0.05/2:0.95,1,0,0,0,0:0.05/1:0.95,0,2,0,0:0.05/2:0.95,1,0,2,0,0:0.05/2:0.95,0,0,0,1,2,0,2,0,2,0,1,2,2,2,2
188_3,2,2,0:0.04/2:0.96,2,0:0.04/1:0.96,2,1,1,1,2,0,0,0,0:0.04/2:0.96,1,1,0,2,0,0:0.04/1:0.96,2,0,1,0,1,1,0:0.04/1:0.96,0,1,0:0.04/2:0.96,1,2,2,1,1,0,0,2,1,0:0.04/2:0.96,1,1,0,0,2,1,1,2,2,2,0,0,0,0,0,1,2,0,2,0,0,1,0,0,2,0,0,1,2,0,1,0,0,1,2,1,1,2,0,0,1,2,0,2,2,1,2,0,2,1,2,0,0,2,2,1,2,2,0,2,1,2,0,2,0:0.04/1:0.96,1,0,0,2,0,0,0,1,0,0,2,2,1,1,2,0,2,2,2,2,2,2,1,2,1,2,2,0,1,2,1,1,1,2,1,0,1,0:0.04/2:0.96,1,2,0,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,0,2,0,0,0:0.04/2:0.96,0,1,0,2,2,1,0,0,0,1,0,2,0,2,1,0,2,0:0.04/2:0.96,2,0,0:0.04/2:0.96,0,1,2,0,2,0,2,0:0.04/1:0.96,1,2,2,2,2
216_4,2,2,2,2,1,2,1,1,1,2,0,0,0,2,1,1,0,2,0,1,2,0,1,0,1,1,1,0,1,2,1,2,2,1,1,0,0,2,1,2,1,1,2,0,2,1,1,2,2,2,0,0,0,0,0,1,2,0,2,0,0,1,0,2,2,0,0,1,2,0,1,0,0,1,2,1,1,2,0,0,1,2,0,2,2,1,2,0,2,1,2,0,0,2,2,1,2,2,0,2,1,2,1,2,1,1,0,0,2,0,1,1,1,0,0,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,0,1,2,1,1,1,2,1,0,1,2,1,2,1,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,0,2,0,0,2,0,1,0,2,2,1,0,0,0,1,0,2,0,2,1,0,2,2,2,0,2,0,1,2,0,2,0,2,1,1,2,2,2,2
216_3,2,2,2,2,1,2,1,1,1,2,1,0,0,2,1,1,1,2,0,1,2,0,1,0,1,1,1,0,1,2,1,2,2,1,1,0,1,2,1,2,1,1,0,0,2,1,1,2,2,2,0,0,2,0,0,1,2,0,2,0,0,1,0,0,2,0,0,1,2,1,1,0,0,1,2,1,1,2,0,0,1,2,0,2,2,1,2,0,2,1,2,2,0,2,2,1,2,2,0,2,1,2,2,2,1,1,1,0,2,0,0,0,1,0,0,2,2,1,1,2,0,2,2,2,2,2,2,1,2,1,2,2,0,1,2,1,1,1,2,1,0,1,2,1,2,0,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,0,2,0,0,2,0,1,0,2,2,1,0,0,0,1,1,2,0,2,1,0,2,2,2,0,2,0,1,2,0,2,0,2,1,1,2,2,2,2
187_1,2,2,0:0.08/1:0.92,2,0,2,1,1,1,2,0:0.08/2:0.92,0,0,0,1,1,0,2,0,0,2,0,1,0,1,1,0,0,1,0:0.08/1:0.92,1,2,2,1,1,0:0.08/2:0.92,0,2,1,0,1,1,0,0,2,1,1,2,2,2,0,0,0,0:0.08/2:0.92,0,1,2,0,2,0,0,1,0,0:0.08/2:0.92,2,0:0.08/1:0.92,0,1,2,0,1,0,0,1,2,1,1,2,0,0:0.08/1:0.92,1,2,0,2,2,1,2,0,2,1,2,0,0,2,2,1,2,2,0,2,1,2,0,2,0,1,0:0.08/1:0.92,0,2,0:0.08/1:0.92,0,0,1,0,0,2,2,1,1,2,0,2,2,2,2,2,2,1,2,1,2,2,0:0.08/2:0.92,1,2,1,1,1,2,1,0,1,0,1,2,0,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,0:0.08/1:0.92,2,0:0.08/2:0.92,0:0.08/1:0.92,0,0,1,0,2,2,1,0,0,0,1,0,2,0,2,1,0:0.08/2:0.92,2,0:0.08/1:0.92,2,0,0,0:0.08/1:0.92,1,2,0:0.08/2:0.92,2,0,2,0:0.08/2:0.92,1,2,2,2,2
216_2,2,2,1,2,0,2,1,1,1,2,2,1,2,0,1,1,2,2,0,0,2,0,1,0,1,1,2,2,1,1,1,2,2,1,1,2,0,2,1,0,1,1,0,0,2,1,1,2,2,2,0,0,0,2,0,1,2,0,2,2,0,1,0,2,2,1,1,1,2,0,1,0,2,1,2,1,1,2,0,1,1,2,0,2,2,1,2,0,2,1,2,0,0,2,2,1,2,2,1,2,1,2,1,2,1,1,1,0,2,1,1,0,1,0,0,2,2,1,1,2,0,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,1,0,1,0,1,2,0,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,1,2,2,1,0,0,1,0,2,2,1,0,2,0,1,0,2,1,2,1,2,2,1,2,0,0,1,1,2,2,2,0,2,2,1,2,2,2,2
216_1,2,2,1,2,0,2,1,1,1,2,2,2,0,0,1,1,0,2,0,0,2,0,1,0,1,1,0,0,1,1,1,2,2,1,1,2,0,2,1,0,1,1,1,0,2,1,1,2,2,2,0,0,0,2,0,1,2,2,2,0,0,1,0,2,2,1,2,1,2,0,1,0,0,1,2,1,1,2,0,1,1,2,0,2,2,1,2,0,2,1,2,0,2,2,2,1,2,2,0,2,1,2,0,2,0,1,1,0,2,1,0,0,1,0,0,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,1,0,1,0,1,2,0,0,1,1,2,1,1,0,2,1,1,1,2,1,2,2,1,2,2,1,0,2,1,1,2,2,1,1,1,0,1,0,2,0,2,1,2,2,1,2,0,1,1,1,2,2,2,0,2,2,1,2,2,2,2
126_2,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0:0.1/1:0.9,0:0.01/1:0.99,0:0.01/1:0.99,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0:0.1/1:0.9,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0,0:0.1/2:0.9,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0:0.1/2:0.9,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.01/1:0.99,0:0.1/2:0.9,0,0,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.1/1:0.9,0:0.1/2:0.9,0,0,0,0:0.1/1:0.9,0,0:0.01/2:0.99,0:0.1/2:0.9,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.1/2:0.9,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.1/2:0.9,0:0.01/2:0.99,0,0,0:0.1/1:0.9,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.1/2:0.9,0,0,0:0.01/2:0.99,0:0.1/2:0.9,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.1/1:0.9,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.1/1:0.9,0,0,0:0.1/1:0.9,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99
177_5,2,2,0,2,0,0:0.06/1:0.94,1,1,0:0.06/2:0.94,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,1,1,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0,0,1,0,0,1,0,0:0.06/2:0.94,2,2,1,1,0:0.06/2:0.94,0,0,1,0,0:0.01/2:0.99,1,0:0.06/1:0.94,0,2,1,1,2,2,2,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,1,0:0.06/1:0.94,0,2,0:0.01/1:0.99,0,1,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,1,2,0,1,0:0.06/2:0.94,0,1,0,1,1,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0,2,0:0.01/2:0.99,0,0,2,1,2,0:0.01/1:0.99,0,2,2,0:0.01/2:0.99,2,2,0,2,1,0:0.06/2:0.94,0:0.01/2:0.99,2,0,0:0.06/2:0.94,0:0.01/1:0.99,0,2,0,0:0.06/1:0.94,0,1,0,0:0.06/2:0.94,0,0,1,0,2,0:0.06/1:0.94,2,2,2,2,0,2,1,2,1,0,2,0,1,2,1,0:0.06/2:0.94,1,2,1,0,0:0.01/2:0.99,0:0.06/1:0.94,0:0.06/2:0.94,2,0:0.01/2:0.99,0,1,1,2,1,0:0.06/1:0.94,0,2,0,0,0,2,0,2,2,0,0:0.01/1:0.99,0,0,0,0,1,0,2,0,1,0,0,0:0.06/2:0.94,0,0,2,0:0.01/1:0.99,0,1,0,2,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,1,2,0,2,0,2,0,1,2,2,2,2
