[&R] (((((216_3:2.156,216_4:0.156)185_2:0.857,(216_1:0.012,216_2:2.012)187_1:0.001)126_1:3.342,(216_5:1.071,216_6:0.071)188_5:6.283)66_1:1.489,((216_9:0,216_10:0)202_10:0.415,(216_7:0,216_8:0)209_9:3.415)143_5:5.428)16_1:0.156)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0:0.84/2:0.16,0,0,0,0,0,0,0,0,0
143_5,0:0.06/2:0.94,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0
209_9,2,0,1,2,1,1,1,1,2,1
216_8,2,0,1,2,1,1,1,1,2,1
216_7,2,0,1,2,1,1,1,1,2,1
202_10,2,0,1,0,1,0,1,1,2,0
216_10,2,0,1,0,1,0,1,1,2,0
216_9,2,0,1,0,1,0,1,1,2,0
66_1,0:0.4/2:0.6,0,0,0:0.48/1:0.52,0:0.48/2:0.52,0,0,0,0,0
188_5,2,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99
216_6,2,1,0,1,2,2,1,0,2,2
216_5,2,1,0,1,2,2,1,1,2,2
126_1,2,0,2,1,2,0,0,0,0,1
187_1,2,0,2,1,2,0,0,0,0,1
216_2,2,0,2,1,2,0,1,0,2,1
216_1,2,0,2,1,2,0,0,0,0,1
185_2,2,0,2,1,2,0,0,0:0.15/2:0.85,0,1
216_4,2,0,2,1,2,0,0,2,0,1
216_3,2,0,2,1,2,0,1,2,1,1
