[&R] (((((216_3:0.034,216_4:1.034)185_2:0.979,(216_1:2.011,216_2:0.011)187_1:0.002)126_1:2.373,(216_5:0.123,216_6:2.123)188_5:2.263)66_1:2.456,((216_9:0,216_10:0)202_10:0,(216_7:0,216_8:0)209_9:0)143_5:5.842)16_1:0.158)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0,0,0,0,0,0,0,0,0:0.84/1:0.16,0
143_5,1,0,0,0,2,2,2,0,1,1
209_9,1,0,0,0,2,2,2,0,1,1
216_8,1,0,0,0,2,2,2,0,1,1
216_7,1,0,0,0,2,2,2,0,1,1
202_10,1,0,0,0,2,2,2,0,1,1
216_10,1,0,0,0,2,2,2,0,1,1
216_9,1,0,0,0,2,2,2,0,1,1
66_1,0,0:0.14/1:0.86,0,0,0,0,0,0:0.14/2:0.86,0:0.11/1:0.89,0
188_5,0:0.05/1:0.95,0:0.01/1:0.99,0,0,0:0.05/2:0.95,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0
216_6,1,1,0,0,2,0,2,2,1,2
216_5,1,1,0,0,2,0,0,2,1,0
126_1,0,1,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,2,1,0
187_1,0,1,1,0,0,0,2,2,1,0
216_2,0,1,1,0,0,0,2,2,1,0
216_1,0,1,1,1,0,0,2,2,1,2
185_2,0,1,1,0,0,0:0.03/1:0.97,2,2,1,0
216_4,2,1,1,0,0,1,2,2,1,0
216_3,0,1,1,0,0,1,2,2,1,0
