[&R] (((((216_3:0.059,216_4:1.059)185_2:1.134,(216_1:0,216_2:0)187_1:1.193)126_1:1.886,(216_5:1.036,216_6:1.036)188_5:0.043)66_1:2.545,((216_9:0.007,216_10:1.007)202_10:0.001,(216_7:0.042,216_8:1.042)209_9:0.966)143_5:3.616)16_1:2.376)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0,0,0,0,0:0.21/2:0.79,0:0.21/1:0.79,0,0:0.21/1:0.79,0,0
143_5,0,1,0,1,2,1,1,1,0,0
209_9,0,1,0,1,2,1,1,1,0:0.04/2:0.96,0
216_8,0,1,0,1,2,1,1,1,2,2
216_7,0,1,0,1,2,1,1,1,2,0
202_10,0,1,0,1,2,1,1,1,0,0
216_10,0,1,0,1,2,1,1,1,0,1
216_9,0,1,0,1,2,1,1,1,0,0
66_1,0,0,0:0.03/2:0.97,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.03/2:0.97,0
188_5,0,0,0:0.01/2:0.99,0,2,1,0,1,0:0.01/2:0.99,0
216_6,0,0,2,0,2,1,0,1,2,1
216_5,1,0,2,0,2,1,0,1,2,0
126_1,0,0:0.09/2:0.91,2,0:0.09/1:0.91,2,1,0,1,2,0
187_1,0,2,2,1,2,1,1,1,2,0
216_2,0,2,2,1,2,1,1,1,2,0
216_1,0,2,2,1,2,1,1,1,2,0
185_2,0,2,2,1,2,1,0:0.05/2:0.95,1,2,0
216_4,0,2,2,1,2,1,2,1,2,2
216_3,0,2,2,1,2,1,2,1,2,0
