[&R] (((((216_3:0.016,216_4:3.016)185_2:0.001,(216_1:0,216_2:0)187_1:2.017)126_1:0.007,(216_5:0,216_6:0)188_5:2.024)66_1:5.486,((216_9:1.035,216_10:0.035)202_10:4.748,(216_7:0,216_8:0)209_9:2.783)143_5:0.727)16_1:0.49)I0;
I0,0,0,0,0,0,0,0,0,0,0
16_1,0,0,0,0,0,0,0,0,0,0:0.51/1:0.49
143_5,0,0,0,0,0:0.52/1:0.48,0,0,0,0,0:0.26/1:0.74
209_9,0,2,0,0,1,0,2,0,0,1
216_8,0,2,0,0,1,0,2,0,0,1
216_7,0,2,0,0,1,0,2,0,0,1
202_10,0:0.01/2:0.99,0,0,0,1,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,1
216_10,2,0,0,0,1,1,1,0,2,1
216_9,2,2,0,0,1,1,1,0,2,1
66_1,1,0,2,0,2,0,1,2,0,1
188_5,1,0,2,1,2,1,1,2,0,1
216_6,1,0,2,1,2,1,1,2,0,1
216_5,1,0,2,1,2,1,1,2,0,1
126_1,1,0,2,0,2,0,1,2,0,1
187_1,1,1,2,0,2,2,1,2,0,1
216_2,1,1,2,0,2,2,1,2,0,1
216_1,1,1,2,0,2,2,1,2,0,1
185_2,1,0,2,0,2,0,1,2,0,1
216_4,1,0,2,2,2,1,1,2,1,1
216_3,1,0,2,0,2,0,1,2,0,1
