[&R] (((((216_7:0,216_8:0)207_5:1.163,216_10:0.163)130_4:2.333,(((216_14:1.008,216_15:0.008)213_13:0.001,216_16:0.01)173_8:1.394,((216_18:0,216_19:0)215_18:0,216_21:0)177_11:1.404)130_5:1.093)81_2:3.485,((216_5:0,216_6:0)213_5:2.123,216_4:0.123)171_2:2.858)31_1:3.019)I0;
I0,0,0,0,0,0,0,0,0,0,0
31_1,0,0:0.25/1:0.75,0,0,0:0.25/1:0.75,0,0:0.25/2:0.75,0,0,0:0.25/1:0.75
171_2,0,0:0.01/1:0.99,0:0.04/1:0.96,0,0:0.01/1:0.99,0:0.04/2:0.96,0:0.01/2:0.99,0,0,0:0.01/1:0.99
216_4,0,1,1,0,1,2,2,0,0,1
213_5,0,1,1,2,1,2,2,0,2,1
216_6,0,1,1,2,1,2,2,0,2,1
216_5,0,1,1,2,1,2,2,0,2,1
81_2,0:0.12/2:0.88,0:0.03/1:0.97,0,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0:0.12/2:0.88,0:0.12/2:0.88,0:0.03/1:0.97
130_5,0:0.03/2:0.97,0:0.01/1:0.99,0:0.27/2:0.73,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.03/2:0.97,0:0.03/2:0.97,0:0.01/1:0.99
177_11,2,1,2,1,1,0,2,2,2,1
216_21,2,1,2,1,1,0,2,2,2,1
215_18,2,1,2,1,1,0,2,2,2,1
216_19,2,1,2,1,1,0,2,2,2,1
216_18,2,1,2,1,1,0,2,2,2,1
173_8,2,1,2,0,1,0:0.01/1:0.99,2,2,2,1
216_16,2,1,2,0,1,1,2,2,2,1
213_13,2,1,2,0,1,0:0.01/1:0.99,2,2,2,1
216_15,2,1,2,0,1,1,2,2,2,1
216_14,2,1,2,2,1,1,2,2,2,1
130_4,0:0.01/2:0.99,1,0:0.07/1:0.93,0,1,0:0.07/2:0.93,2,0:0.01/2:0.99,0:0.01/2:0.99,1
216_10,2,1,1,0,1,2,2,2,2,1
207_5,2,1,1,1,1,2,2,2,2,1
216_8,2,1,1,1,1,2,2,2,2,1
216_7,2,1,1,1,1,2,2,2,2,1
