[&R] (((((216_1:0,216_2:0)200_1:2.79,(216_3:0,216_4:0)205_3:3.79)151_1:0.247,((216_7:1.027,216_8:0.027)193_4:1.043,(216_5:0,216_6:0)199_3:1.07)152_3:0.966)107_1:0.006,(((216_10:0,216_11:0)206_10:1.047,216_9:2.047)162_5:0.004,((216_14:0,216_15:0)208_13:0.069,(216_12:0,216_13:0)213_12:1.069)162_6:0.982)112_3:3.991)62_1:2.958)I0;
I0,0,0,0,0,0,0,0,0,0,0
62_1,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0
112_3,1,0,1,0,1,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
162_6,1,0,1,0:0.07/2:0.93,1,2,0,2,1,2
213_12,1,0,1,2,1,2,1,2,1,2
216_13,1,0,1,2,1,2,1,2,1,2
216_12,1,0,1,2,1,2,1,2,1,2
208_13,1,0,1,2,1,2,0,2,1,2
216_15,1,0,1,2,1,2,0,2,1,2
216_14,1,0,1,2,1,2,0,2,1,2
162_5,1,0,1,0,1,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99
216_9,1,0,1,1,1,2,2,2,1,2
206_10,1,2,1,0,1,2,0,2,1,2
216_11,1,2,1,0,1,2,0,2,1,2
216_10,1,2,1,0,1,2,0,2,1,2
107_1,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0,0
152_3,1,0:0.07/2:0.93,1,0,1,0,0,0,0,0
199_3,1,2,1,0,1,0,2,0,0,0
216_6,1,2,1,0,1,0,2,0,0,0
216_5,1,2,1,0,1,0,2,0,0,0
193_4,1,2,1,0:0.03/1:0.97,1,0,0,0,0,0
216_8,1,2,1,1,1,0,0,0,0,0
216_7,1,2,1,1,1,0,2,0,0,0
151_1,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.76/2:0.24,0,0,0
205_3,1,1,1,0,1,0,2,1,0,2
216_4,1,1,1,0,1,0,2,1,0,2
216_3,1,1,1,0,1,0,2,1,0,2
200_1,1,0,1,1,1,0,2,0,1,0
216_2,1,0,1,1,1,0,2,0,1,0
216_1,1,0,1,1,1,0,2,0,1,0
