cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
I0,0,0,0,0,0,0,0,0,0,0
I1,1,1,1,1,1,0,1,2,1,0
I2,1,1,1,1,1,0,1,2,1,2
216_4,1,1,1,1,1,0,1,2,1,2
216_3,1,1,1,1,1,0,1,2,1,2
I3,1,1,1,1,1,0,1,2,1,0
216_2,1,1,1,1,1,0,1,2,1,0
216_1,1,1,1,1,1,0,1,2,1,2
I4,2,0,0,0,0,0,0,0,0,0
I5,2,0,0,2,0,0,0,0,0,0
I6,2,0,0,2,1,0,0,0,0,0
I7,2,0,0,2,1,0,0,0,0,0
216_30,2,0,0,2,1,1,2,0,0,0
216_29,2,0,0,2,1,0,0,0,0,0
I8,2,0,0,2,1,0,0,0,1,0
I9,2,0,2,2,1,0,0,2,1,0
216_28,2,0,2,2,1,0,0,2,1,0
216_27,2,0,2,2,1,0,0,2,1,0
I10,2,0,0,2,1,0,0,0,1,2
216_26,2,0,0,2,1,0,0,0,1,2
216_25,2,0,0,2,1,0,0,0,1,2
I11,2,2,1,2,1,0,0,0,0,0
I12,2,2,1,2,1,0,0,0,0,2
216_24,2,2,1,2,1,0,0,0,0,2
216_23,2,2,1,2,1,0,2,0,0,2
I13,2,2,1,2,1,0,0,0,2,0
216_22,2,2,1,2,1,2,0,2,2,2
216_21,2,2,1,2,1,0,2,0,2,0
I14,2,0,0,0,0,0,2,1,0,0
I15,2,2,1,0,0,2,2,1,2,0
I16,2,2,1,0,0,2,2,1,2,0
I17,2,2,1,0,0,2,2,1,2,0
216_16,2,2,1,0,0,2,2,1,2,0
216_15,2,2,1,0,0,2,2,1,2,0
I18,2,2,1,0,0,2,2,1,2,2
216_14,2,2,1,0,0,2,2,1,2,2
216_13,2,2,1,0,0,2,2,1,2,2
I19,2,2,1,0,0,2,2,1,2,2
216_17,2,2,1,2,0,2,2,1,2,2
I20,2,2,1,0,0,2,2,1,2,2
216_20,2,2,1,0,0,2,2,1,2,2
216_19,2,2,1,0,0,2,2,1,2,2
I21,2,0,0,0,0,0,2,1,0,0
I22,2,0,0,0,0,0,2,1,0,0
I23,2,0,0,0,0,0,2,1,0,0
216_8,2,0,0,0,0,0,2,1,0,0
216_7,2,0,0,0,0,0,2,1,0,0
I24,2,0,0,0,0,2,2,1,0,0
216_6,2,0,0,0,2,2,2,1,0,0
216_5,2,0,0,0,1,2,2,1,0,0
I25,2,0,0,0,1,0,2,1,1,2
216_9,2,0,2,1,1,0,2,1,1,2
216_12,2,0,0,0,1,0,2,1,1,2
Evolve tree: [&R] (((((216_12:0.324,216_9:0.324)I25:0.228,((216_5:0.07200000000000001,216_6:0.07200000000000001)I24:0.234,(216_7:0.066,216_8:0.066)I23:0.24)I22:0.246)I21:0.234,(((216_19:0.042,216_20:0.042)I20:0.24,216_17:0.28200000000000003)I19:0.24,((216_13:0.066,216_14:0.066)I18:0.21,(216_15:0.018000000000000002,216_16:0.018000000000000002)I17:0.258)I16:0.246)I15:0.264)I14:0.258,(((216_21:0.24,216_22:0.24)I13:0.276,(216_23:0.216,216_24:0.216)I12:0.3)I11:0.264,(((216_25:0.042,216_26:0.042)I10:0.222,(216_27:0.018000000000000002,216_28:0.018000000000000002)I9:0.246)I8:0.24,(216_29:0.228,216_30:0.228)I7:0.276)I6:0.276)I5:0.264)I4:0.246,((216_1:0.054,216_2:0.054)I3:0.264,(216_3:0.018000000000000002,216_4:0.018000000000000002)I2:0.3)I1:0.972)I0:0;
