cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_4,1,0,2,1,1,1,0,1,2,1
216_3,1,0,2,1,1,1,0,1,2,1
216_2,1,0,2,1,1,1,0,1,2,1
216_1,1,0,2,1,1,1,0,1,2,1
216_30,0,1,2,0,0,1,1,0,0,1
216_29,0,1,2,0,0,1,1,1,0,1
216_28,0,1,2,0,0,1,1,0,0,1
216_27,0,1,2,0,0,1,1,0,0,1
216_26,0,1,2,0,0,1,1,0,0,1
216_25,0,1,2,0,0,1,1,0,0,1
216_24,1,0,2,0,0,1,1,0,0,1
216_23,1,2,2,0,0,1,1,0,0,1
216_22,0,0,2,0,1,0,1,2,0,1
216_21,2,0,2,0,0,0,1,0,0,1
216_16,2,1,0,0,0,0,1,0,2,1
216_15,2,1,0,0,0,0,1,0,2,1
216_14,2,0,0,0,0,0,1,2,0,1
216_13,2,0,0,0,0,0,1,2,0,1
216_17,0,0,0,0,0,0,1,2,0,1
216_20,0,0,2,0,0,0,1,2,0,1
216_19,0,0,2,1,0,0,1,2,0,1
216_8,0,2,0,0,0,0,1,1,2,1
216_7,0,2,0,0,0,0,1,0,2,1
216_6,0,0,0,0,0,0,1,2,0,1
216_5,0,0,0,0,0,0,1,2,0,1
216_9,0,1,0,2,0,1,1,0,0,1
216_12,0,1,2,2,0,0,1,0,0,1
